a	art+m.एक@art+f.एक@art+n.एक
agglomeration	n+f.संग्रह@n+m.एकत्रीकरण
aggravate	v.चिडवणे@v.वाढवणे
aggravated	a.गंभीर
aggravating	a.चिडवणारा@v.चिडवत आहे
aggravation	n+f.चिडचिड@n+n.तीव्रता
aggregate	n+m.एकूण@a.एकत्रित@v.एकत्र करणे
aggregated	a.एकत्रित
aggregates	n+m.एकूण@vt.एकत्र करतो
aggregating	v.एकत्रित करत आहे
aggregation	n+f.एकत्रीकरण
aggression	n+f.आक्रमकता
aggressive	a.आक्रमक@a.उग्र
aggressively	ad.आक्रमकपणे
aggressiveness	n+f.आक्रमकता
aggressor	n+m.आक्रमक
aggrieved	a.दुखावलेला
agile	a.चपळ
agility	n+f.चपळता
aging	n+n.वृद्धत्व@a.वयोवृद्ध
agios	n+m.अजिओस
agitated	a.अस्वस्थ@v.अस्वस्थ केले
agitation	n+f.आंदोलन
agitator	n+m.आंदोलक@n+m.खळबळ निर्माण करणारा
agnes	n+f.अॅग्नेस
agnew	n.अॅग्न्यू
agni	n+m.अग्नी
agnostic	n+m.अज्ञेयवादी@a.अज्ञेयवादी
agnosticism	n+m.अज्ञेयवाद
ago	ad.पूर्वी
agonist	n+m.अॅगोनिस्ट
agonists	n.उत्तेजक
agonizing	a.वेदनादायक@v.तळमळणे
agony	n+f.वेदना
agora	n+f.बाजारपेठ
agr	n.एजीआर
agra	n.आग्रा
agrarian	a.कृषीविषयक
agree	vi.सहमत होणे
agreeable	a.सहमत@a.आनंददायी
agreed	v.सहमत झाले
agreeing	vt.सहमत होणे
agreement	n+m.करार
agreements	n+m.करार
agrees	v.सहमत होतो@v.मान्य करतो
agribusiness	n+m.कृषी व्यवसाय
agric	n+f.कृषी
agricola	n+m.अग्रिकोला
agricultural	a.शेतीविषयक
agriculture	n+f.शेती
agrippa	n+m.अग्रिप्पा
agronomic	a.कृषीशास्त्रीय
agronomy	n+f.कृषीशास्त्र
aguilar	n.अगिलार
aguirre	n.अगिरे
agustin	n+m.अगस्तिन
aha	int.अहा
ahab	n+m.अहाब
ahead	ad.पुढे
ahem	int.खाकरणे
ahmad	n.अहमद
ahmadinejad	n.अहमदीनेजाद
ahmed	n+m.अहमद
ahoy	int.अहोय
aid	n+f.मदत@vt.मदत करणे
aida	n.आयडा
aide	n+m.सहाय्यक
aided	a.मदत केलेला
aides	n+m.सहाय्यक
aiding	vt.मदत करणे
aids	n+f.मदत@n+m.एड्स
aiken	n.आयकेन
aikido	n+m.आयकिडो
ail	v.आजारी असणे
aileen	n.आयलीन
ailing	a.आजारी
ailment	n+m.आजार@n+f.व्याधी
ailments	n.आजार
aim	n+n.उद्दिष्ट@vt.लक्ष्य ठेवणे
aimed	a.उद्देशित@v.लक्ष्य केले
aimee	n.एमी
aiming	vt.लक्ष्य करणे
aims	n+f.उद्दिष्टे@v.लक्ष्य करतो
ain	n.ऐन
air	n+f.हवा@n+m.वायू
airbag	n+m.एअरबॅग
airbags	n.एअरबॅग
airborne	a.हवाई
airbrush	n+m.एअरब्रश@vt.एअरब्रश करणे
airbus	n.एअरबस
aircraft	n+n.विमान
aircrew	n+m.विमान कर्मचारी
airdrie	n+m.एअरड्री
aired	a.प्रसारित
airedale	n+m.एअरडेल कुत्रा
aires	n+m.एअर्स
airfare	n+m.विमान भाडे
airfares	n+n.विमान भाडे
airfield	n+m.विमानतळ
airfields	n+m.हवाई क्षेत्रे
airflow	n+m.वायुप्रवाह
airframe	n+n.विमानाची चौकट
airing	n+f.हवा देणे
airlift	n+m.हवाई वाहतूक@vt.हवाई वाहतूक करणे
airline	n+f.विमान कंपनी
airliner	n+m.प्रवासी विमान
airliners	n+m.pl.विमाने
airlines	n+f.विमान कंपन्या
airmail	n+m.हवाई टपाल
airman	n+m.वायुसैनिक
airmen	n.वायुसैनिक
airplay	n+m.रेडिओ प्रसारण
airport	n+n.विमानतळ
airports	n+m.विमानतळ
airs	n+m.हवा@vt.दाखवतो
airship	n+n.हवाई जहाज
airshow	n+m.एअरशो
airspace	n+m.हवाई क्षेत्र
airspeed	n+m.हवाई वेग
airstrike	n+m.हवाई हल्ला
airstrip	n+f.धावपट्टी
airtight	a.हवाबंद
airtime	n+m.प्रसारण वेळ
airwaves	n.वायुतरंग
airway	n+m.वायुमार्ग
airways	n+f.वायुमार्ग@n+f.विमान कंपनी
airworthiness	n+f.हवाईयोग्यता
airy	a.हवेशीर
ais	n.एआयएस
aisha	n+f.आयशा
aisle	n+m.मार्ग
aisles	n.मार्गिका
ait	n+n.छोटे बेट
aitken	n.एटकेन
ajax	n+m.अजॅक्स
ajmer	n.अजमेर
aka	ad.उर्फ@ad.म्हणूनही ओळखले जाणारे
akbar	n.अकबर
akin	a.समान
akita	n.अकिता
akron	n+m.अॅक्रॉन
al	n+m.अल
ala	prep.प्रमाणे
alabama	n+m.अलाबामा
alabaster	n+m.अलाबास्टर@a.शुभ्र
aladdin	n.अलादीन
alameda	n+f.अलामेडा
alamo	n+m.अलामो
alamogordo	n+m.अॅलामोगोर्डो
alan	n+m.अॅलन
alana	n.अलाना
alanine	n+n.अॅलानाइन
alarm	n+m.गजर@vt.सावध करणे
alarmed	a.घाबरलेला
alarming	a.चिंताजनक
alarms	n+f.अलार्म@vt.सावध करणे
alas	int.अरेरे
alaska	n+m.अलास्का
alaskan	a.अलास्कन@n+m.अलास्कन
alb	n+m.आल्ब
alba	n+f.अल्बा
alban	n.अल्बन
albania	n+n.अल्बेनिया
albanian	a.अल्बेनियन@n+m.अल्बेनियन व्यक्ती
albanians	n.अल्बेनियन लोक
albany	n+n.अल्बनी
albatross	n+m.अल्बाट्रॉस
albedo	n+m.अल्बेडो
albee	n+m.अल्बी
albeit	conj.जरी
albemarle	n.अल्बमार्ल
albert	n+m.अल्बर्ट
alberta	n+n.अल्बर्टा
alberto	n+m.अल्बर्टो
albino	n+m.अल्बिनो
albion	n+m.अल्बियन
albright	n.अल्ब्राइट
album	n+m.अल्बम
albumin	n+m.अल्ब्युमिन
albums	n+m.अल्बम
albuquerque	n+n.अल्बुकर्क
alcatraz	n.अल्काट्राझ
alchemist	n+m.रसायनशास्त्रज्ञ
alchemy	n+f.रसायनशास्त्र
alcoa	n.अल्कोआ
alcohol	n+m.अल्कोहोल
alcoholic	a.मद्यपी@n+m.मद्यपी व्यक्ती
alcoholics	n.मद्यपी
alcoholism	n+m.मद्यपान व्यसन
alcohols	n.अल्कोहोल
alcott	n+m.अल्कॉट
alcove	n+f.कोनाडा@n+m.आले
ald	n.अल्ड
aldehyde	n+m.अल्डिहाइड
alden	n.अल्डेन
alder	n+m.अल्डर वृक्ष
alderman	n+m.नगरसेवक
aldermen	n+m.नगरसेवक
aldershot	n.अल्डरशॉट
aldo	n.आल्डो
aldosterone	n+n.अल्डोस्टेरॉन
ale	n+f.एल बिअर
alec	n.अलेक
alejandro	n.अलेहांद्रो
aleph	n+m.अलेफ
alert	n+f.सतर्कता@a.सतर्क@vt.सावध करणे
alerted	vt.सावध केलेला
alerting	vt.सावध करणे
alertness	n+f.सतर्कता@n+n.जागरूकता
alerts	n+f.सतर्कता
ales	n.एल बिअर
aleutian	a.अलेउशियन
alex	n+m.अलेक्स
alexander	n+m.अलेक्झांडर
alexandra	n+f.अलेक्झांड्रा
alexandria	n+f.अलेक्झांड्रिया
alexandrite	n+m.अलेक्झांड्राइट रत्न
alexei	n.अलेक्सी
alexia	n+f.वाचनक्षमतेचा अभाव
alexis	n+f.अलेक्सिस
alfalfa	n+f.अल्फाल्फा
alfonso	n.अल्फोन्सो
alford	n.अल्फोर्ड
alfred	n+m.अल्फ्रेड
alfredo	n.अल्फ्रेडो
alg	n.अल्ग
algae	n+f.शैवाल
algal	a.शैवालाचा
algebra	n+f.बीजगणित
algebraic	a.बीजगणितीय
algebras	n.बीजगणित
alger	n.अल्जर
algeria	n+n.अल्जीरिया
algerian	a.अल्जेरियन@n+m.अल्जेरियन व्यक्ती
algiers	n.अल्जियर्स
algonquin	n.अल्गोंक्विन
algorithm	n+m.अल्गोरिदम
algorithmic	a.अल्गोरिदमिक
algorithms	n+m.अल्गोरिदम@n+f.कलनविधी
alhambra	n.अलहंब्रा
ali	n+m.अली
alias	n+m.उपनाम@n+n.टोपणनाव
aliases	n+m.उपनाव
aliasing	n+n.अलायझिंग
alibi	n+m.अन्यत्र असल्याचा पुरावा
alicante	n.अलिकांते
alice	n+f.अॅलिस
alicia	n+f.अलिशिया
alien	n+m.परग्रहवासी@a.परकीय
alienate	v.दुरावणे@v.वेगळे करणे
alienated	v.दूर केले@a.परका केलेला
alienating	v.दुरावणे@a.परकेपणा आणणारा
alienation	n+f.परकेपणा
aliens	n+m.परदेशी@n+m.परग्रहवासी
alight	v.उतरणे@a.पेटलेला
align	vt.संरेखित करणे@vt.जुळवणे
aligned	a.संरेखित@v.जुळवणे
aligning	vt.संरेखित करणे
alignment	n+f.संरेखन@n+m.जुळवणी
alignments	n.संरेखन
aligns	v.संरेखित करतो@v.जुळवतो
alike	a.सारखा@ad.एकसारखे
alimentation	n+f.पोषण
alimony	n+f.पोटगी
aline	v.रेषेत आणणे@n+f.अलाइन
aliphatic	a.अॅलिफॅटिक
alisa	n.अलिसा
alisha	n+f.अलिशा
alison	n+f.अॅलिसन
alissa	n+f.अलिसा
alistair	n.अलिस्टेअर
alive	a.जिवंत
alk	n+m.अल्क
alkali	n+m.अल्कली
alkaline	a.क्षारीय
alkalinity	n+f.क्षारता
alkaloids	n+m.pl.अल्कलॉइड
alkyl	n+m.अल्काइल
all	a.सर्व@pron.सगळे
allah	n+m.अल्लाह
allahabad	n.अलाहाबाद
allan	n+m.अॅलन
allegation	n+m.आरोप
allegations	n+f.आरोप
allege	vt.आरोप करणे
alleged	a.कथित@v.आरोप केला
allegedly	ad.कथितपणे
alleges	vt.आरोप करणे
allegheny	n.अलेगेनी
allegiance	n+f.निष्ठा
alleging	vt.आरोप करणे
