reside	vi.cư trú
separates	v.tách@n.áo tách
separated	v.tách@a.riêng biệt
splitting	v.tách@a.chẻ
impacted	v.tác động@a.bị tác động
weakened	v.suy yếu
degraded	v.suy thoái
derive	v.suy ra
inferred	v.suy ra
mull	v.suy nghĩ@n.Mull
contemplated	v.suy nghĩ
muse	v.suy ngẫm@n.nàng thơ
ponder	v.suy ngẫm
collapse	v.sụp đổ@n.sự sụp đổ
collapsed	v.sụp đổ@a.đã sụp đổ
swell	v.sưng@n.sự sưng@a.tuyệt vời
bark	v.sủa@n.vỏ cây
fix	v.sửa@n.sửa chữa
fixing	v.sửa@n.sửa chữa
fixes	v.sửa@n.bản sửa lỗi
corrected	v.sửa@a.được sửa
amend	v.sửa đổi@v.tu chính
amending	v.sửa đổi@n.việc sửa đổi
modding	v.sửa đổi
modifying	v.sửa đổi
revise	v.sửa đổi
revising	v.sửa đổi
repairing	v.sửa chữa@n.việc sửa chữa
repair	v.sửa chữa@n.sửa chữa
repaired	v.sửa chữa@a.đã sửa chữa
rectify	v.sửa chữa
correcting	v.sửa
barking	v.sủa
employ	v.sử dụng@v.thuê
employing	v.sử dụng@v.thuê
utilizes	v.sử dụng@v.tận dụng
use	v.sử dụng@n.sử dụng
uses	v.sử dụng@n.cách sử dụng
utilized	v.sử dụng@a.được sử dụng
utilize	v.sử dụng
utilizing	v.sử dụng
spamming	v.spam
live	v.sống@a.trực tiếp
survive	v.sống sót@v.tồn tại
survived	v.sống sót@a.sống sót
surviving	v.sống sót@a.còn sống
dwell	v.sống
painted	v.sơn@v.vẽ@a.được sơn
boil	v.sôi@n.mụn nhọt
drafted	v.soạn thảo@a.đã soạn thảo@a.được tuyển chọn
feared	v.sợ@a.bị sợ
evacuate	v.sơ tán
comparing	v.so sánh@v.đối chiếu
compare	v.so sánh
compares	v.so sánh
possessed	v.sở hữu@a.bị ám
owning	v.sở hữu
owns	v.sở hữu
possess	v.sở hữu
possesses	v.sở hữu
possessing	v.sở hữu
digitize	v.số hóa
dread	v.sợ hãi@n.sợ hãi
spawning	v.sinh sản
spawn	v.sinh ra@n.trứng
will	v.sẽ@n.ý chí
gonna	v.sẽ
shall	v.sẽ
shalt	v.sẽ
would	v.sẽ
raves	v.say sưa@n.tiệc rave
arrange	v.sắp xếp@v.thu xếp
arranged	v.sắp xếp@a.được sắp xếp
arranging	v.sắp xếp
merging	v.sáp nhập@n.việc sáp nhập
typeset	v.sắp chữ
copying	v.sao chép@n.sao chép
copied	v.sao chép@a.được sao chép
compose	v.sáng tác@v.bao gồm
composed	v.sáng tác@a.bình tĩnh
screened	v.sàng lọc@a.được sàng lọc
hunt	v.săn@v.đi săn@n.cuộc săn
produces	v.sản xuất@v.tạo ra
producing	v.sản xuất@v.tạo ra
manufacture	v.sản xuất@n.sản xuất
manufactures	v.sản xuất@n.sản xuất
produce	v.sản xuất@n.sản phẩm
manufactured	v.sản xuất@a.được sản xuất
hunts	v.săn
err	v.sai
charging	v.sạc@v.tính phí
recharge	v.sạc lại
dismiss	v.sa thải@v.bác bỏ
firing	v.sa thải@n.bắn
dismissed	v.sa thải@a.bị sa thải
fired	v.sa thải@a.bị sa thải
withdrawn	v.rút@a.bị rút lui
shortened	v.rút ngắn
retreats	v.rút lui@n.rút lui
withdrew	v.rút lui
abbreviated	v.rút gọn
abridged	v.rút gọn
drained	v.rút cạn@a.kiệt sức
withdraw	v.rút
rang	v.rung
vibrate	v.rung
vibrating	v.rung
wash	v.rửa@v.giặt@n.sự rửa
washed	v.rửa@a.được rửa
christen	v.rửa tội
laundering	v.rửa tiền
rinse	v.rửa
dropped	v.rơi@v.thả@v.giảm
falling	v.rơi@v.ngã@a.đang rơi
fallen	v.rơi@v.ngã@a.đã ngã
falls	v.rơi@n.thác
leave	v.rời@n.nghỉ phép
fall	v.rơi@n.mùa thu
drops	v.rơi@n.giọt
departed	v.rời đi
leak	v.rò rỉ@n.rò rỉ
leaking	v.rò rỉ
lurk	v.rình rập
ringing	v.reo@n.tiếng chuông
forge	v.rèn@v.giả mạo
forged	v.rèn@a.giả mạo@a.đã rèn
wrought	v.rèn@a.được rèn
roast	v.rang@n.thịt nướng
roasted	v.rang@a.rang
binds	v.ràng buộc@v.gắn kết
scattering	v.rải rác@n.tán xạ
scatter	v.rải rác
strut	v.rải bước@n.thanh chống
sprinkle	v.rắc
ruled	v.ra quyết định@a.có kẻ ngang
launching	v.ra mắt@n.phóng
dictate	v.ra lệnh
flowering	v.ra hoa@n.việc ra hoa
signalling	v.ra hiệu
decides	v.quyết định
deciding	v.quyết định
donate	v.quyên góp@v.hiến tặng
donated	v.quyên góp@a.được quyên góp
donating	v.quyên góp
stipulate	v.quy định
stipulated	v.quy định
attributed	v.quy cho@a.được quy cho
ascribe	v.quy cho
swept	v.quét@v.đã quét
sweep	v.quét@n.sự quét
scan	v.quét@n.quét
scanning	v.quét@n.quét
scanned	v.quét@a.được quét
forgotten	v.quên@a.bị lãng quên
forget	v.quên
forgetting	v.quên
spin	v.quay@v.xoay@n.sự quay
turning	v.quay@v.rẽ@n.sự quay
spins	v.quay@n.quay
turn	v.quay@n.lượt
turns	v.quay@n.lượt
spinning	v.quay@n.kéo sợi
dial	v.quay số@n.mặt số
filming	v.quay phim@n.việc quay phim
filmed	v.quay phim
redial	v.quay lại số
revolving	v.quay
spun	v.quay
advertised	v.quảng cáo@a.được quảng cáo
advertise	v.quảng cáo
tout	v.quảng cáo
cared	v.quan tâm@v.đã quan tâm
cares	v.quan tâm@n.quan tâm
care	v.quan tâm@n.chăm sóc
observe	v.quan sát@v.tuân thủ
observes	v.quan sát
observing	v.quan sát
administering	v.quản lý@v.thực thi
administer	v.quản lý@v.thi hành
administered	v.quản lý@v.điều hành
manage	v.quản lý
manages	v.quản lý
regulate	v.quản lý
humping	v.quan hệ
overload	v.quá tải@n.quá tải
ping	v.ping@n.tiếng kêu
pings	v.ping@n.ping
sprays	v.phun@n.xịt
squirt	v.phun@n.tia nước
squirting	v.phun@n.phun nước
gushing	v.phun ra
spew	v.phun ra
erupt	v.phun
spraying	v.phun
serves	v.phục vụ@v.phụng sự
cater	v.phục vụ
catered	v.phục vụ
serve	v.phục vụ
recover	v.phục hồi@v.lấy lại
recovered	v.phục hồi@a.được phục hồi
recovering	v.phục hồi
depend	v.phụ thuộc@v.tùy thuộc
depends	v.phụ thuộc
veto	v.phủ quyết@n.phủ quyết
deny	v.phủ nhận@v.từ chối
topped	v.phủ lên@a.được phủ lên
launched	v.phóng@v.ra mắt
launches	v.phóng@n.ra mắt
interviewing	v.phỏng vấn@n.việc phỏng vấn
interviewed	v.phỏng vấn@a.được phỏng vấn
zoom	v.phóng to@n.phóng to
enlarge	v.phóng to
exaggerate	v.phóng đại
ordained	v.phong chức
bask	v.phơi nắng
coordinate	v.phối hợp@n.tọa độ
coordinating	v.phối hợp@a.phối hợp
coordinated	v.phối hợp@a.được phối hợp
exposed	v.phơi bày@v.tiếp xúc@a.bị lộ
expose	v.phơi bày
disseminate	v.phổ biến
disseminated	v.phổ biến
transcribed	v.phiên âm
approves	v.phê duyệt@v.tán thành
approve	v.phê duyệt@v.chấp thuận
approving	v.phê duyệt@a.tán thành
ratified	v.phê chuẩn
grows	v.phát triển@v.trồng
grown	v.phát triển@v.lớn@a.trưởng thành
grew	v.phát triển@v.lớn lên
thrive	v.phát triển mạnh
develop	v.phát triển
develops	v.phát triển
grow	v.phát triển
thriving	v.phát triển
broadcast	v.phát sóng@n.phát sóng
airs	v.phát sóng@n.không khí
aired	v.phát sóng@a.được phát sóng
arise	v.phát sinh@v.nảy sinh
arising	v.phát sinh@v.nảy sinh
incurred	v.phát sinh@v.gánh chịu
arises	v.phát sinh
glow	v.phát sáng@n.ánh sáng
glowing	v.phát sáng@a.phát sáng
emit	v.phát ra
emitted	v.phát ra
invented	v.phát minh@a.được phát minh
invent	v.phát minh
replay	v.phát lại@n.phát lại
rebroadcast	v.phát lại
discovered	v.phát hiện@v.khám phá
detect	v.phát hiện@v.dò tìm
detected	v.phát hiện@a.được phát hiện
spotted	v.phát hiện@a.có đốm
uncovered	v.phát hiện@a.bị phát hiện
detecting	v.phát hiện
detects	v.phát hiện
spotting	v.phát hiện
release	v.phát hành@n.phát hành
issuing	v.phát hành
releasing	v.phát hành
restate	v.phát biểu lại
pronounced	v.phát âm@a.rõ rệt
fined	v.phạt
penalize	v.phạt
braking	v.phanh
partitioning	v.phân vùng
react	v.phản ứng
resent	v.phẫn uất
analysed	v.phân tích@a.đã phân tích
parsing	v.phân tích cú pháp
analyse	v.phân tích
analysing	v.phân tích
parse	v.phân tích
dispersed	v.phân tán
distribute	v.phân phối@v.phân phát
redistributed	v.phân phối lại@a.được phân phối lại
redistribute	v.phân phối lại
dispensing	v.phân phối
distributing	v.phân phối
branching	v.phân nhánh
complaining	v.phàn nàn@n.việc phàn nàn
complain	v.phàn nàn
complained	v.phàn nàn
fragmented	v.phân mảnh
categorized	v.phân loại@a.được phân loại
classify	v.phân loại
diverge	v.phân kỳ
decompose	v.phân hủy
opposed	v.phản đối@a.phản đối
opposing	v.phản đối@a.đối lập
oppose	v.phản đối
opposes	v.phản đối
striving	v.phấn đấu@n.sự phấn đấu
strive	v.phấn đấu
strives	v.phấn đấu
polarized	v.phân cực@a.phân cực
reassign	v.phân công lại
mirrored	v.phản chiếu
allocate	v.phân bổ
allocated	v.phân bổ
allot	v.phân bổ
allotted	v.phân bổ
discriminate	v.phân biệt đối xử
differentiate	v.phân biệt
differentiated	v.phân biệt
distinguish	v.phân biệt
distinguishing	v.phân biệt
reflects	v.phản ánh@v.phản chiếu
reflected	v.phản ánh@a.được phản ánh
reflecting	v.phản ánh
committing	v.phạm@v.cam kết
fade	v.phai@n.hiệu ứng mờ dần
subjected	v.phải chịu@a.bị phải chịu
aby	v.phải chịu
gotta	v.phải
must	v.phải
faded	v.phai
outlined	v.phác thảo@a.được phác thảo
outlining	v.phác thảo
breaks	v.phá vỡ@v.nghỉ@n.khoảng nghỉ
break	v.phá vỡ@n.giờ nghỉ
broke	v.phá vỡ@a.hết tiền
blend	v.pha trộn@n.hỗn hợp
blends	v.pha trộn@n.hỗn hợp
diluted	v.pha loãng@a.bị pha loãng
destroy	v.phá hủy@v.tiêu diệt
ruin	v.phá hủy@n.tàn tích
destroyed	v.phá hủy@a.bị phá hủy
demolish	v.phá hủy
destroying	v.phá hủy
destroys	v.phá hủy
destruct	v.phá hủy
undermine	v.phá hoại
stabilized	v.ổn định
embrace	v.ôm@v.chấp nhận
hug	v.ôm@n.cái ôm
snuggle	v.ôm ấp
embraced	v.ôm
embracing	v.ôm
lodged	v.ở trọ
pollute	v.ô nhiễm
stayed	v.ở lại@v.lưu trú
staying	v.ở lại@v.lưu trú
stay	v.ở lại@n.sự ở lại
cracking	v.nứt@n.việc nứt@a.tuyệt vời
cracked	v.nứt@a.bị nứt
swallowing	v.nuốt@n.việc nuốt
swallow	v.nuốt@n.chim én
swallowed	v.nuốt
pamper	v.nuông chiều
bake	v.nướng
grilling	v.nướng
foster	v.nuôi dưỡng@v.thúc đẩy@a.nuôi
bred	v.nuôi dưỡng
fostering	v.nuôi dưỡng
nurture	v.nuôi dưỡng
nurturing	v.nuôi dưỡng
submitting	v.nộp@v.đệ trình
submits	v.nộp
vomiting	v.nôn mửa@n.nôn mửa
barf	v.nôn
float	v.nổi@v.trôi@n.phao
speaks	v.nói@v.phát biểu
talks	v.nói@v.nói chuyện@n.cuộc đàm phán
talked	v.nói@v.nói chuyện
telling	v.nói@v.kể@a.có ý nghĩa
tells	v.nói@v.kể
bridging	v.nối@n.việc nối
floats	v.nổi@n.nổi
talk	v.nói@n.cuộc nói chuyện
spoke	v.nói@n.căm
floating	v.nổi@a.thả nổi
spoken	v.nói@a.được nói
bluff	v.nói phét@n.vách đá
revolt	v.nổi loạn@n.nổi loạn
emerged	v.nổi lên@a.nổi lên
emerging	v.nổi lên@a.mới nổi
emerge	v.nổi lên
stutter	v.nói lắp
babble	v.nói lảm nhảm@n.lảm nhảm
jabber	v.nói lảm nhảm@n.Jabber
raging	v.nổi giận
lied	v.nói dối@v.đã nói dối
say	v.nói
says	v.nói
speak	v.nói
tell	v.nói
blasts	v.nổ@n.vụ nổ
burst	v.nổ@n.vụ nổ
blooms	v.nở@n.nở
bursts	v.nổ@n.nổ
pops	v.nổ@n.nhạc pop
hatch	v.nở@n.cửa sập
owed	v.nợ@a.bị nợ
implode	v.nổ trong
bloom	v.nở hoa@n.hoa
blooming	v.nở hoa@a.nở hoa
owe	v.nợ
owes	v.nợ
blasting	v.nổ
explode	v.nổ
exploded	v.nổ
exploding	v.nổ
relisted	v.niêm yết lại
sealed	v.niêm phong@a.được niêm phong
yield	v.nhường@v.mang lại@n.sản lượng
yielding	v.nhượng bộ
dyed	v.nhuộm
staining	v.nhuộm
dip	v.nhúng@n.sự giảm
embedded	v.nhúng@a.nhúng@a.được nhúng
embed	v.nhúng
embedding	v.nhúng
shrug	v.nhún vai@n.cái nhún vai
grouped	v.nhóm lại
stuffing	v.nhồi@n.nhồi
remembered	v.nhớ@v.được ghi nhớ
misses	v.nhớ@v.bỏ lỡ
miss	v.nhớ@n.cô
recall	v.nhớ lại@v.thu hồi@n.sự thu hồi
recollect	v.nhớ lại
drip	v.nhỏ giọt@n.nhỏ giọt
dripping	v.nhỏ giọt
remember	v.nhớ
remembering	v.nhớ
remembers	v.nhớ
look	v.nhìn@n.cái nhìn
peek	v.nhìn trộm@n.cái nhìn thoáng qua
sees	v.nhìn thấy@v.thấy
behold	v.nhìn thấy
overlooking	v.nhìn ra@v.bỏ qua
gaze	v.nhìn chằm chằm@n.cái nhìn
glare	v.nhìn chằm chằm@n.ánh sáng chói
stare	v.nhìn chằm chằm
stared	v.nhìn chằm chằm
staring	v.nhìn chằm chằm
fasting	v.nhịn ăn@n.nhịn ăn
contaminated	v.nhiễm@a.bị nhiễm
infected	v.nhiễm@a.bị nhiễm
tuck	v.nhét
tucked	v.nhét
dance	v.nhảy@n.điệu nhảy
jump	v.nhảy@n.cú nhảy
jumps	v.nhảy@n.cú nhảy
leap	v.nhảy@n.bước nhảy
jumping	v.nhảy@a.nhảy
jumped	v.nhảy@a.đã nhảy
wink	v.nháy mắt@n.cái nháy mắt
jive	v.nhảy jive@n.nhảy jive
skydive	v.nhảy dù
mosh	v.nhảy điên cuồng
enter	v.nhập@v.vào
entering	v.nhập@v.vào
enters	v.nhập@v.vào
click	v.nhấp@n.nhấp
enlisted	v.nhập ngũ@a.đã nhập ngũ
enlist	v.nhập ngũ
reenter	v.nhập lại
import	v.nhập khẩu@n.nhập khẩu
imported	v.nhập khẩu@a.nhập khẩu
importing	v.nhập khẩu
restock	v.nhập hàng lại
clicked	v.nhấp
mock	v.nhạo báng@a.giả
knead	v.nhào
receives	v.nhận@v.tiếp nhận
multiply	v.nhân@v.tăng lên
remarked	v.nhận xét
perceive	v.nhận thức@v.cảm nhận
perceived	v.nhận thức@a.được cảm nhận
realize	v.nhận ra@v.thực hiện
realized	v.nhận ra@v.thực hiện
realizing	v.nhận ra@v.thực hiện
recognize	v.nhận ra@v.công nhận
realised	v.nhận ra@a.được thực hiện
realise	v.nhận ra
realizes	v.nhận ra
adopt	v.nhận nuôi@v.áp dụng
adopting	v.nhận nuôi@v.áp dụng
adopts	v.nhận nuôi
wince	v.nhăn mặt@n.cái nhăn mặt
emphasized	v.nhấn mạnh@a.được nhấn mạnh
accentuate	v.nhấn mạnh
emphasise	v.nhấn mạnh
emphasize	v.nhấn mạnh
emphasizes	v.nhấn mạnh
emphasizing	v.nhấn mạnh
breed	v.nhân giống@n.giống
gotten	v.nhận được@v.có được
duplicates	v.nhân đôi@n.bản sao
duplicated	v.nhân đôi
identifying	v.nhận dạng@v.xác định
identify	v.nhận dạng
cloned	v.nhân bản
replicate	v.nhân bản
gets	v.nhận
receive	v.nhận
multiplied	v.nhân
aimed	v.nhắm@v.hướng tới
aiming	v.nhắm@n.việc nhắm
sip	v.nhấm nháp@n.ngụm
targeting	v.nhắm mục tiêu@n.nhắm mục tiêu
targeted	v.nhắm mục tiêu@a.được nhắm mục tiêu
munch	v.nhai@n.Munch
chew	v.nhai
chewing	v.nhai
chomp	v.nhai
prompt	v.nhắc@a.kịp thời@n.lời nhắc
prompted	v.nhắc@a.được nhắc
prompts	v.nhắc nhở@n.nhắc nhở
reminded	v.nhắc nhở@a.được nhắc nhở
remind	v.nhắc nhở
reminds	v.nhắc nhở
admire	v.ngưỡng mộ@v.chiêm ngưỡng
admired	v.ngưỡng mộ
ceased	v.ngừng@a.đã ngừng
discontinued	v.ngừng@a.bị ngừng
condense	v.ngưng tụ
cease	v.ngừng
discontinue	v.ngừng
slept	v.ngủ@v.đã ngủ
sleeps	v.ngủ@n.giường ngủ
sleep	v.ngủ@n.giấc ngủ
sleeping	v.ngủ@a.đang ngủ
implies	v.ngụ ý@v.hàm ý
imply	v.ngụ ý
doss	v.ngủ
seated	v.ngồi@a.được ngồi
straddle	v.ngồi chếch
sits	v.ngồi
extrapolate	v.ngoại suy
leaning	v.nghiêng@n.khuynh hướng
tilt	v.nghiêng@n.độ nghiêng
lean	v.nghiêng@a.gầy@a.tinh gọn
tipped	v.nghiêng
grinding	v.nghiền@n.việc nghiền
crush	v.nghiền@n.sự nghiền nát
grind	v.nghiền@n.công việc vất vả
crushed	v.nghiền@a.bị nghiền
researched	v.nghiên cứu@a.đã nghiên cứu
researching	v.nghiên cứu
crushing	v.nghiền
mash	v.nghiền
toying	v.nghịch
thinks	v.nghĩ@v.cho rằng
quit	v.nghỉ@v.bỏ
figured	v.nghĩ ra@a.được tính toán
devise	v.nghĩ ra
devised	v.nghĩ ra
rests	v.nghỉ ngơi@n.chỗ nghỉ
resting	v.nghỉ ngơi@a.đang nghỉ
rested	v.nghỉ ngơi
suspect	v.nghi ngờ@n.nghi phạm@a.đáng ngờ
suspects	v.nghi ngờ@n.nghi phạm
suspected	v.nghi ngờ@a.bị nghi ngờ
retired	v.nghỉ hưu@a.nghỉ hưu
retire	v.nghỉ hưu
retiring	v.nghỉ hưu
think	v.nghĩ
ween	v.nghĩ
sounding	v.nghe có vẻ@n.đo sâu
sounded	v.nghe có vẻ@a.được phát ra
hear	v.nghe
hears	v.nghe
listen	v.nghe
interrupt	v.ngắt@n.ngắt
interrupted	v.ngắt lời@a.bị gián đoạn
disconnect	v.ngắt kết nối@n.sự ngắt kết nối
disconnected	v.ngắt kết nối
swoon	v.ngất
yawn	v.ngáp@n.cái ngáp
flooded	v.ngập lụt
hum	v.ngân nga@n.tiếng vo ve
preventing	v.ngăn chặn@v.phòng ngừa
prevented	v.ngăn chặn@a.được ngăn chặn
deter	v.ngăn chặn
prevent	v.ngăn chặn
prevents	v.ngăn chặn
inhibit	v.ngăn cản
preclude	v.ngăn cản
soak	v.ngâm
soaked	v.ngâm
fell	v.ngã@v.rơi
tumble	v.ngã
detailing	v.nêu chi tiết@n.chi tiết
nestle	v.nép mình
nestled	v.nép mình
compress	v.nén@n.nén
compressed	v.nén@a.được nén
ought	v.nên
should	v.nên
throw	v.ném@v.quăng@n.cú ném
throws	v.ném@v.quăng
pitches	v.ném@n.sân
cast	v.ném@n.dàn diễn viên
fling	v.ném@n.cuộc tình
thrown	v.ném@a.bị ném
lob	v.ném cao@n.cú ném cao
pitching	v.ném bóng@n.việc ném bóng
tasted	v.nếm
hurl	v.ném
pitched	v.ném
threw	v.ném
throwing	v.ném
tossed	v.ném
dodge	v.né@v.tránh@n.Dodge
bounce	v.nảy@n.sự nảy
arose	v.nảy sinh@v.đã nảy sinh
bounced	v.nảy
bouncing	v.nảy
cook	v.nấu ăn@n.đầu bếp
reloaded	v.nạp lại
raising	v.nâng@v.nuôi@v.đưa lên
lift	v.nâng@v.nhấc@n.thang máy
lifting	v.nâng@n.cử tạ
lifted	v.nâng@a.được nâng
raises	v.nâng lên@n.tăng lương
upgrade	v.nâng cấp@n.nâng cấp
upgraded	v.nâng cấp@a.được nâng cấp
upgrading	v.nâng cấp
elevated	v.nâng cao@a.cao
heighten	v.nâng cao
heightened	v.nâng cao
linger	v.nán lại
tarry	v.nán lại
lie	v.nằm@v.nói dối@n.lời nói dối
lies	v.nằm@v.nói dối@n.lời nói dối
lying	v.nằm@v.nói dối@a.đang nằm
grab	v.nắm@v.lấy
situated	v.nằm@a.nằm ở
grabbing	v.nắm lấy
grabs	v.nắm lấy
grasp	v.nắm bắt@n.sự nắm bắt
seized	v.nắm bắt@a.bị tịch thu
seize	v.nắm bắt
sucking	v.mút@v.hút
wants	v.muốn@n.nhu cầu
wanting	v.muốn@a.thiếu
borrowed	v.mượn@a.đã mượn
borrow	v.mượn
wanna	v.muốn
want	v.muốn
purchase	v.mua@n.mua
buys	v.mua@n.giao dịch mua
acquired	v.mua lại@v.có được@a.mắc phải
