a	art+m.un@art+f.una
agronomy	n+f.agronomía
aguilar	n+m.Aguilar
aguirre	n+m.Aguirre
agustin	n+m.Agustín
aha	int.ajá
ahab	n+m.Ahab
ahead	ad.adelante
ahem	int.ejem
ahmad	n+m.Ahmad
ahmadinejad	n+m.Ahmadineyad
ahmed	n+m.Ahmed
ahoy	int.ahoy@int.barco a la vista
aid	n+f.ayuda@v.ayudar
aida	n+f.Aida
aide	n+m.asistente@n+f.asistente
aided	a+m.asistido@a+f.asistida
aides	n+m+pl.asistentes@n+m+pl.ayudantes
aiding	vt.ayudando
aids	n+m.SIDA@v.ayuda
aiken	n+m.Aiken
aikido	n+m.aikido
ail	vt.aquejar@vi.estar enfermo
aileen	n+f.Aileen
ailing	a.enfermo@a.achacoso
ailment	n+f.dolencia@n+m.achaque
ailments	n+m+pl.padecimientos@n+f+pl.dolencias
aim	n+m.objetivo@v.apuntar
aimed	a+m.dirigido@a+f.dirigida
aimee	n+f.Aimee
aiming	v.apuntando
aims	n+m.objetivos@vt.apunta
ain	a.propio@a+f.propia
air	n+m.aire
airbag	n+m.airbag
airbags	n+m+pl.airbags@n+f+pl.bolsas de aire
airborne	a+m.aerotransportado@a+f.aerotransportada
airbrush	n+m.aerógrafo@vt.retocar con aerógrafo
airbus	n+m.Airbus
aircraft	n+m.avión
aircrew	n+f.tripulación aérea
airdrie	n+m.Airdrie
aired	vt.emitió@a+m.emitido@a+f.emitida
airedale	n+m.airedale
aires	n+m.Aires
airfare	n+f.tarifa aérea
airfares	n+f+pl.tarifas aéreas
airfield	n+m.aeródromo
airfields	n+m+pl.aeródromos
airflow	n+m.flujo de aire
airframe	n+m.fuselaje@n+f.célula de avión
airing	n+f.emisión@vt.emitiendo
airlift	n+m.puente aéreo@vt.transportar por avión
airline	n+f.aerolínea
airliner	n+m.avión de pasajeros
airliners	n+m+pl.aviones de pasajeros
airlines	n+f.aerolíneas
airmail	n+m.correo aéreo
airman	n+m.aviador
airmen	n+m+pl.aviadores
airplay	n+f.difusión radiofónica
airport	n+m.aeropuerto
airports	n+m.aeropuertos
airs	n+m+pl.aires@vt.emite
airship	n+m.dirigible
airshow	n+m.espectáculo aéreo
airspace	n+m.espacio aéreo
airspeed	n+f.velocidad aerodinámica
airstrike	n+m.ataque aéreo
airstrip	n+f.pista de aterrizaje
airtight	a+m.hermético@a+f.hermética
airtime	n+m.tiempo de emisión
airwaves	n+f+pl.ondas de radio
airway	n+f.vía aérea
airways	n+f.vías aéreas@n+f.aerolíneas
airworthiness	n+f.aeronavegabilidad
airy	a.aireado@a+f.aireada@a.ligero@a+f.ligera
ais	n+m.AIS
aisha	n+f.Aisha
aisle	n+m.pasillo
aisles	n+m+pl.pasillos
ait	n+f.isleta
aitken	n+m.Aitken
ajax	n+m.Ajax
ajmer	n+m.Ajmer
aka	ad.también conocido como
akbar	n+m.Akbar
akin	a.similar@a.emparentado
akita	n+m.akita
akron	n+m.Akron
al	prep.al
ala	n+f.ala
alabama	n+f.Alabama
alabaster	n+m.alabastro
aladdin	n+m.Aladino
alameda	n+f.alameda@n+f.Alameda
alamo	n+m.Álamo
alamogordo	n+m.Alamogordo
alan	n+m.Alan
alana	n+f.Alana
alanine	n+f.alanina
alarm	n+f.alarma@v.alarmar
alarmed	a+m.alarmado@a+f.alarmada
alarming	a.alarmante
alarms	n+f+pl.alarmas
alas	int.ay@int.lamentablemente
alaska	n+f.Alaska
alaskan	a+m.alasqueño@a+f.alasqueña@n+m.alasqueño
alb	n+f.alba
alba	n+f.Alba
alban	n+m.Albán
albania	n+f.Albania
albanian	a+m.albanés@a+f.albanesa@n+m.albanés@n+f.albanesa
albanians	n+m+pl.albaneses@n+f+pl.albanesas
albany	n+m.Albany
albatross	n+m.albatros
albedo	n+m.albedo
albee	n+m.Albee
albeit	conj.aunque
albemarle	n+m.Albemarle
albert	n+m.Albert
alberta	n+f.Alberta
alberto	n+m.Alberto
albino	n+m.albino@n+f.albina@a+m.albino@a+f.albina
albion	n+m.Albión
albright	n+m.Albright
album	n+m.álbum
albumin	n+f.albúmina
albums	n+m.álbumes
albuquerque	n+m.Albuquerque
alcatraz	n+m.Alcatraz
alchemist	n+m.alquimista
alchemy	n+f.alquimia
alcoa	n+m.Alcoa
alcohol	n+m.alcohol
alcoholic	a+m.alcohólico@a+f.alcohólica@n+m.alcohólico@n+f.alcohólica
alcoholics	n+m+pl.alcohólicos@n+f+pl.alcohólicas
alcoholism	n+m.alcoholismo
alcohols	n+m+pl.alcoholes
alcott	n+m.Alcott
alcove	n+f.alcoba@n+m.nicho
ald	n+m.concejal
aldehyde	n+m.aldehído
alden	n+m.Alden
alder	n+m.aliso
alderman	n+m.concejal
aldermen	n+m+pl.concejales
aldershot	n+m.Aldershot
aldo	n+m.Aldo
aldosterone	n+f.aldosterona
ale	n+f.cerveza ale
alec	n+m.Alec
alejandro	n+m.Alejandro
aleph	n+f.álef
alert	n+f.alerta@a+m.alerta@a+f.alerta@v.alertar
alerted	vt.alertó@a+m.alertado@a+f.alertada
alerting	vt.alertando
alertness	n+f.vigilancia@n+m.estado de alerta
alerts	n+f.alertas@v.alerta
ales	n+f+pl.cervezas ale
aleutian	a+m.aleutiano@a+f.aleutiana
alex	n+m.Álex
alexander	n+m.Alejandro
alexandra	n+f.Alexandra
alexandria	n+f.Alejandría
alexandrite	n+f.alejandrita
alexei	n+m.Alexei
alexia	n+f.alexia@n+f.Alexia
alexis	n+m.Alexis@n+f.Alexis
alfalfa	n+f.alfalfa
alfonso	n+m.Alfonso
alford	n+m.Alford
alfred	n+m.Alfred
alfredo	n+m.Alfredo
alg	n+f.álgebra
algae	n+f+pl.algas
algal	a.algal
algebra	n+f.álgebra
algebraic	a+m.algebraico@a+f.algebraica
algebras	n+f+pl.álgebras
alger	n+m.Alger
algeria	n+f.Argelia
algerian	n+m.argelino@n+f.argelina@a+m.argelino@a+f.argelina
algiers	n+m.Argel
algonquin	n+m.algonquino@a.algonquino
algorithm	n+m.algoritmo
algorithmic	a+m.algorítmico@a+f.algorítmica
algorithms	n+m.algoritmos
alhambra	n+f.Alhambra
ali	n+m.Ali
alias	n+m.alias@ad.alias
aliases	n+m+pl.alias@n+m+pl.seudónimos
aliasing	n+m.aliasing@n+m.solapamiento
alibi	n+f.coartada
alicante	n+m.Alicante
alice	n+f.Alicia
alicia	n+f.Alicia
alien	n+m.extraterrestre@n+f.extraterrestre@a+m.extranjero@a+f.extranjera
alienate	vt.alienar@vt.enajenar
alienated	vt.alienó@a+m.alienado@a+f.alienada
alienating	vt.alienando@a.alienante
alienation	n+f.alienación@n+m.alejamiento
aliens	n+m+pl.extraterrestres@n+m+pl.alienígenas
alight	vi.apearse@a.encendido
align	vt.alinear
aligned	a+m.alineado@a+f.alineada
aligning	v.alineando
alignment	n+f.alineación
alignments	n+f+pl.alineaciones
aligns	vt.alinea
alike	a+m.parecido@a+f.parecida@ad.igual
alimentation	n+f.alimentación
alimony	n+f.pensión alimenticia
aline	vt.alinear@n+f.Aline
aliphatic	a+m.alifático@a+f.alifática
alisa	n+f.Alisa
alisha	n+f.Alisha
alison	n+f.Alison
alissa	n+f.Alissa
alistair	n+m.Alistair
alive	a+m.vivo@a+f.viva
alk	n+f.alk.
alkali	n+m.álcali
alkaline	a+m.alcalino@a+f.alcalina
alkalinity	n+f.alcalinidad
alkaloids	n+m+pl.alcaloides
alkyl	n+m.alquilo@a.alquílico
all	a+m.todo@a+f.toda@pron.todo
allah	n+m.Alá
allahabad	n+m.Allahabad
allan	n+m.Allan
allegation	n+f.alegación@n+f.acusación
allegations	n+f+pl.acusaciones@n+f+pl.alegaciones
allege	vt.alegar@vt.afirmar
alleged	a+m.supuesto@a+f.supuesta@a+m.presunto@a+f.presunta
allegedly	ad.presuntamente
alleges	vt.alega
allegheny	n+m.Allegheny
allegiance	n+f.lealtad@n+f.fidelidad
alleging	vt.alegando
allegorical	a+m.alegórico@a+f.alegórica
allegory	n+f.alegoría
allegra	n+f.Allegra
allegro	n+m.allegro@ad.allegro
allele	n+m.alelo
alleles	n+m+pl.alelos
allelic	a+m.alélico@a+f.alélica
allen	n+m.Allen
allende	n+m.Allende
allentown	n+m.Allentown
allergen	n+m.alérgeno
allergenic	a+m.alergénico@a+f.alergénica
allergens	n+m+pl.alérgenos
allergic	a+m.alérgico@a+f.alérgica
allergies	n+f+pl.alergias
allergy	n+f.alergia
alleviate	vt.aliviar
alleviated	vt.alivió@a+m.aliviado@a+f.aliviada
alleviating	vt.aliviando
alleviation	n+m.alivio@n+f.mitigación
alley	n+m.callejón
alleys	n+m+pl.callejones
alliance	n+f.alianza
alliances	n+f+pl.alianzas
allie	n+f.Allie
allied	a+m.aliado@a+f.aliada
allies	n+m.aliados@n+f.aliadas
alligator	n+m.caimán
alligators	n+m+pl.caimanes
allison	n+f.Allison
allium	n+m.allium
allocate	vt.asignar
allocated	a+m.asignado@a+f.asignada@v.asignó
allocates	vt.asigna@vt.distribuye
allocating	vt.asignando
allocation	n+f.asignación
allocations	n+f+pl.asignaciones
allocator	n+m.asignador
allot	vt.asignar@vt.repartir
allotment	n+f.parcela@n+f.asignación
allotments	n+f+pl.asignaciones@n+m+pl.huertos
allotted	vt.asignó@a+m.asignado@a+f.asignada
allow	v.permitir
allowable	a+m.permitido@a+f.permitida
allowance	n+f.asignación@n+m.subsidio
allowances	n+f+pl.asignaciones
allowed	a+m.permitido@a+f.permitida@v.permitió
allowing	v.permitiendo
allows	v.permite
alloy	n+f.aleación
alloys	n+f+pl.aleaciones
allstate	n+m.Allstate
alluded	vi.aludió
allure	n+m.atractivo@n+f.seducción
alluring	a.seductor@a.atractivo
allusion	n+f.alusión
allusions	n+f+pl.alusiones
alluvial	a.aluvial
ally	n+m.aliado@n+f.aliada@vt.aliar
allyn	n+m.Allyn
allyson	n+f.Allyson
alma	n+f.alma
almanac	n+m.almanaque
almanacs	n+m+pl.almanaques
almaty	n+f.Almaty
almighty	a+m.todopoderoso@a+f.todopoderosa
almond	n+f.almendra
almonds	n+f+pl.almendras
almost	ad.casi
alms	n+f+pl.limosnas
aloe	n+m.aloe
aloft	ad.en alto@ad.arriba
aloha	int.aloha@n+m.aloha
alone	ad.solo@a+m.solo@a+f.sola
along	prep.a lo largo de
alongside	prep.junto a
alonzo	n+m.Alonzo
aloof	a+m.distante@a+f.distante@ad.apartado
alopecia	n+f.alopecia
aloud	ad.en voz alta
alp	n+m.alpe
alpaca	n+f.alpaca
alpacas	n+f+pl.alpacas
alpert	n+m.Alpert
alpha	n+f.alfa
alphabet	n+m.alfabeto
alphabetic	a+m.alfabético@a+f.alfabética
alphabetical	a+m.alfabético@a+f.alfabética
alphabetically	ad.alfabéticamente
alphabets	n+m+pl.alfabetos
alphanumeric	a+m.alfanumérico@a+f.alfanumérica
alphanumerical	a+m.alfanumérico@a+f.alfanumérica
alphonse	n+m.Alfonso
alpine	a+m.alpino@a+f.alpina
alps	n+m+pl.Alpes
already	ad.ya
alright	ad.bien@a+m.bien@a+f.bien
alsace	n+f.Alsacia
also	ad.también
alston	n+m.Alston
alt	n+m.alt
alta	n+f.Alta
altair	n+m.Altair
altar	n+m.altar
altars	n+m+pl.altares
alter	vt.alterar
alteration	n+f.alteración
alterations	n+f+pl.alteraciones
altercation	n+m.altercado
altered	a+m.alterado@a+f.alterada
altering	v.alterando
alternate	a+m.alternativo@a+f.alternativa@vi.alternar
alternately	ad.alternativamente
alternates	vt.alterna@n+m+pl.suplentes
alternating	a.alternante@v.alternando
alternation	n+f.alternancia
alternative	n+f.alternativa@a+m.alternativo@a+f.alternativa
alternatively	ad.alternativamente
alternatives	n+f.alternativas
alternator	n+m.alternador
alternators	n+m+pl.alternadores
alters	vt.altera@vt.modifica
although	conj.aunque
altimeter	n+m.altímetro
altitude	n+f.altitud
altitudes	n+f+pl.altitudes
altman	n+m.Altman
alto	n+m.alto@n+f.contralto
altogether	ad.completamente@ad.en total
alton	n+m.Alton
altona	n+f.Altona
altoona	n+m.Altoona
altos	n+m+pl.altos
altruism	n+m.altruismo
altruistic	a+m.altruista@a+f.altruista
alum	n+m.alumbre@n+m.exalumno@n+f.exalumna
alumina	n+f.alúmina
aluminium	n+m.aluminio
alumna	n+f.exalumna@n+f.graduada
alumnae	n+f+pl.exalumnas
alumni	n+m.egresados
alumnus	n+m.exalumno@n+m.egresado
alums	n+m+pl.alumbre@n+m+pl.exalumnos
alva	n+m.Alva
alvarado	n+m.Alvarado
alvarez	n+m.Álvarez
alvaro	n+m.Álvaro
alveolar	a.alveolar
alvin	n+m.Alvin
always	ad.siempre
alyson	n+f.Alyson
alyssa	n+f.Alyssa
alzheimer	n+m.Alzheimer
am	v.soy@v.estoy
amadeus	n+m.Amadeus
amalgam	n+f.amalgama
amalgamated	vt.fusionó@a+m.fusionado@a+f.fusionada
amalgamation	n+f.fusión@n+f.amalgamación
amanda	n+f.Amanda
amaranth	n+m.amaranto
amaretto	n+m.amaretto
amarillo	n+m.Amarillo@a.amarillo
amaryllis	n+f.amarilis
amassed	vt.acumuló@a+m.acumulado@a+f.acumulada
amateur	n+m.aficionado@n+f.aficionada@a+m.amateur@a+f.amateur
amateurs	n+m.aficionados@n+f.aficionadas
amaze	vt.asombrar
amazed	a+m.asombrado@a+f.asombrada
amazement	n+m.asombro@n+f.estupefacción
amazes	vt.asombra
amazing	a+m.increíble@a+f.increíble
amazingly	ad.asombrosamente@ad.increíblemente
amazon	n+m.Amazon
amazons	n+f+pl.amazonas
ambassador	n+m.embajador@n+f.embajadora
ambassadors	n+m+pl.embajadores@n+f+pl.embajadoras
amber	n+m.ámbar@n+f.Amber
ambiance	n+m.ambiente@n+f.atmósfera
ambience	n+m.ambiente@n+f.atmósfera
ambient	a+m.ambiental@a+f.ambiental
ambiguities	n+f+pl.ambigüedades
ambiguity	n+f.ambigüedad
ambiguous	a+m.ambiguo@a+f.ambigua
ambit	n+m.ámbito
ambition	n+f.ambición
ambitions	n+f+pl.ambiciones
ambitious	a+m.ambicioso@a+f.ambiciosa
ambivalence	n+f.ambivalencia
ambivalent	a.ambivalente
ambler	n+m.paseante@n+m.Ambler
ambrose	n+m.Ambrosio
ambrosia	n+f.ambrosía
ambulance	n+f.ambulancia
ambulances	n+f+pl.ambulancias
ambulatory	a+m.ambulatorio@a+f.ambulatoria
ambush	n+f.emboscada@vt.emboscar
ambushed	vt.emboscó@a+m.emboscado@a+f.emboscada
amelia	n+f.Amelia
ameliorate	vt.mejorar@vt.aliviar
amen	int.amén
amenable	a.receptivo@a.susceptible
amend	vt.enmendar
amended	a+m.enmendado@a+f.enmendada@v.enmendó
amending	v.enmendando
amendment	n+f.enmienda
amendments	n+f.enmiendas
amends	n+f.reparación@vt.enmienda
amenities	n+f.comodidades@n+f.servicios
amenity	n+f.amenidad@n+f.comodidad
amer	n+m.Amer
america	n+f.América
american	a+m.americano@a+f.americana
americana	n+f.americana
americanism	n+m.americanismo
americans	n+m.americanos
americas	n+f.Américas
amethyst	n+f.amatista
amharic	n+m.amárico@a+m.amárico@a+f.amárica
amherst	n+m.Amherst
ami	n+m.amigo@n+m.Ami
amiable	a.amable@a.afable
amicable	a+m.amistoso@a+f.amistosa@a+m.amigable@a+f.amigable
amid	prep.en medio de
amide	n+f.amida
amidst	prep.en medio de
amie	n+f.Amie
amiga	n+f.amiga@n+f.Amiga
amigo	n+m.amigo
amigos	n+m+pl.amigos
amin	n+m.Amín
amine	n+f.amina
amines	n+f+pl.aminas
amino	n+m.amino
amir	n+m.emir@n+m.Amir
amis	n+m.Amis
amish	a.amish@n+m+pl.amish
amiss	a.mal@ad.mal
amity	n+f.amistad
amman	n+m.Ammán
ammo	n+f.munición
ammon	n+m.Amón
ammonia	n+m.amoníaco
ammonium	n+m.amonio
ammunition	n+f.munición
amnesia	n+f.amnesia
amnesty	n+f.amnistía
amniotic	a+m.amniótico@a+f.amniótica
amoco	n+m.Amoco
amoeba	n+f.ameba
amok	ad.enloquecidamente
amon	n+m.Amón
among	prep.entre
amongst	prep.entre
amor	n+m.amor
amorous	a+m.amoroso@a+f.amorosa
amorphous	a+m.amorfo@a+f.amorfa
amortisation	n+f.amortización
amortization	n+f.amortización
amortized	vt.amortizó@a+m.amortizado@a+f.amortizada
amos	n+m.Amós
amount	n+f.cantidad@n+m.monto
amounted	vi.ascendió a
amounting	vi.ascendiendo a
amounts	n+f.cantidades
amour	n+m.amor
amoxicillin	n+f.amoxicilina
amp	n+m.amperio@n+m.amplificador
ampere	n+m.amperio
ampersand	n+m.et@n+m.signo &
amphetamine	n+f.anfetamina
amphetamines	n+f+pl.anfetaminas
amphibian	n+m.anfibio@a.anfibio
amphibians	n+m+pl.anfibios
amphibious	a+m.anfibio@a+f.anfibia
amphitheatre	n+m.anfiteatro
ampicillin	n+f.ampicilina
ample	a+m.amplio@a+f.amplia
amplification	n+f.amplificación
amplified	a+m.amplificado@a+f.amplificada@vt.amplificó
amplifier	n+m.amplificador
amplifiers	n+m+pl.amplificadores
amplify	vt.amplificar
amplifying	vt.amplificando
amplitude	n+f.amplitud
amplitudes	n+f+pl.amplitudes
amply	ad.ampliamente@ad.abundantemente
amps	n+m+pl.amperios@n+m+pl.amplificadores
amputation	n+f.amputación
amputee	n+m.amputado@n+f.amputada
amritsar	n+m.Amritsar
amsterdam	n+m.Ámsterdam
amt	n+f.cantidad
amtrak	n+m.Amtrak
amu	n+f.uma
amulet	n+m.amuleto
amulets	n+m+pl.amuletos
amuse	vt.divertir@vt.entretener
amused	a+m.divertido@a+f.divertida@vt.divirtió
amusement	n+f.diversión
amusements	n+m+pl.entretenimientos@n+f+pl.diversiones
amusing	a+m.divertido@a+f.divertida
amway	n+m.Amway
amy	n+f.Amy
amygdala	n+f.amígdala
amylase	n+f.amilasa
amyloid	n+m.amiloide@a.amiloide
an	art+m.un@art+f.una
ana	n+f.Ana
anabolic	a+m.anabólico@a+f.anabólica
anaconda	n+f.anaconda
anaemia	n+f.anemia
anaerobic	a+m.anaerobio@a+f.anaerobia
anaesthesia	n+f.anestesia
anaesthetic	n+m.anestésico@a+m.anestésico@a+f.anestésica
anagram	n+m.anagrama
anagrams	n+m+pl.anagramas
anaheim	n+m.Anaheim
anal	a+m.anal@a+f.anal
analgesia	n+f.analgesia
analgesic	n+m.analgésico@a+m.analgésico@a+f.analgésica
analgesics	n+m+pl.analgésicos
analog	a+m.analógico@a+f.analógica
analogies	n+f+pl.analogías
analogous	a+m.análogo@a+f.análoga
analogs	n+m+pl.análogos
analogue	n+m.análogo@a+m.analógico@a+f.analógica
analogues	n+m+pl.análogos
analogy	n+f.analogía
analyse	vt.analizar
analysed	vt.analizó@a+m.analizado@a+f.analizada
analyser	n+m.analizador
analysers	n+m+pl.analizadores
analyses	n+m.análisis
analysing	v.analizando
analysis	n+m.análisis
analyst	n+m.analista@n+f.analista
analysts	n+m.analistas@n+f.analistas
analytic	a+m.analítico@a+f.analítica
analytical	a+m.analítico@a+f.analítica
analytically	ad.analíticamente
anamorphic	a+m.anamórfico@a+f.anamórfica
anaphylaxis	n+f.anafilaxia@n+m.choque anafiláctico
anarchism	n+m.anarquismo
anarchist	n+m.anarquista@a.anarquista
anarchists	n+m+pl.anarquistas
anarchy	n+f.anarquía
anas	n+m.Anas
anastasia	n+f.Anastasia
anat	n+f.anat.
anathema	n+m.anatema
anatole	n+m.Anatole
anatolia	n+f.Anatolia
anatolian	a+m.anatolio@a+f.anatolia
anatomic	a+m.anatómico@a+f.anatómica
anatomical	a+m.anatómico@a+f.anatómica
anatomically	ad.anatómicamente
anatomy	n+f.anatomía
ancestor	n+m.antepasado@n+m.ancestro
ancestors	n+m+pl.antepasados
ancestral	a.ancestral
ancestries	n+f+pl.ascendencias@n+m+pl.linajes
ancestry	n+f.ascendencia
anchor	n+f.ancla@vt.anclar
anchorage	n+m.Anchorage
anchored	a+m.anclado@a+f.anclada@vt.ancló
anchoring	vt.anclando@n+m.anclaje
anchorman	n+m.presentador
anchors	n+f+pl.anclas@vt.ancla
ancient	a+m.antiguo@a+f.antigua
ancients	n+m+pl.antiguos
ancillary	a.auxiliar@a.secundario
ancona	n+f.Ancona
and	conj.y
andalusia	n+f.Andalucía
andaman	n+m.Andamán
andante	n+m.andante@ad.andante
andean	a+m.andino@a+f.andina
andersen	n+m.Andersen
anderson	n+m.Anderson
andes	n+m+pl.Andes
andorra	n+f.Andorra
andorran	a+m.andorrano@a+f.andorrana@n+m.andorrano@n+f.andorrana
andre	n+m.André
andrea	n+f.Andrea
andrei	n+m.Andrei
andres	n+m.Andrés
andretti	n+m.Andretti
andrew	n+m.Andrés
andrews	n+m.Andrews
androgen	n+m.andrógeno
android	n+m.android@n+m.androide
andromeda	n+f.Andrómeda
andros	n+m.Andros
andy	n+m.Andy
ane	n+m.ano
anecdotal	a+m.anecdótico@a+f.anecdótica
anecdote	n+f.anécdota
anecdotes	n+f+pl.anécdotas
anemone	n+f.anémona
aneurysm	n+m.aneurisma
aneurysms	n+m+pl.aneurismas
anew	ad.de nuevo@ad.otra vez
angel	n+m.ángel
angela	n+f.Angela
angeles	n+m.Ángeles
angelic	a+m.angélico@a+f.angélica
angelica	n+f.Angélica
angelina	n+f.Angelina
angeline	n+f.Angeline
angelique	n+f.Angélica
angell	n+m.Angell
angelo	n+m.Angelo
angelou	n+f.Angelou
angels	n+m.ángeles
angelus	n+m.ángelus
anger	n+f.ira@n+m.enojo
angered	vt.enfureció@a+m.enfurecido@a+f.enfurecida
angers	n+m.Angers@vt.enfurece
angie	n+f.Angie
angina	n+f.angina
angiogenesis	n+f.angiogénesis
angiography	n+f.angiografía
angioplasty	n+f.angioplastia
angiotensin	n+f.angiotensina
angkor	n+m.Angkor
angle	n+m.ángulo
angled	a+m.inclinado@a+f.inclinada@a.en ángulo
angler	n+m.pescador con caña
anglers	n+m+pl.pescadores
angles	n+m+pl.ángulos
anglesey	n+m.Anglesey
anglia	n+f.Anglia
anglian	a+m.anglio@a+f.anglia
anglican	a+m.anglicano@a+f.anglicana@n+m.anglicano
angling	n+f.pesca con caña
anglo	a+m.anglosajón@a+f.anglosajona
angola	n+f.Angola
angolan	a+m.angoleño@a+f.angoleña@n+m.angoleño@n+f.angoleña
angora	n+m.angora@a.de angora
angrily	ad.enojadamente@ad.con ira
angry	a+m.enfadado@a+f.enfadada@a+m.enojado@a+f.enojada
angst	n+f.angustia
anguilla	n+f.Anguila
anguish	n+f.angustia@n+m.tormento
angular	a.angular
angus	n+m.Angus
anhydride	n+m.anhídrido
anhydrous	a+m.anhidro@a+f.anhidra
anil	n+m.añil
anim	n+f.animación
anima	n+f.ánima
animal	n+m.animal
animals	n+m.animales
animas	n+f+pl.ánimas
animate	vt.animar@a+m.animado@a+f.animada
animated	a+m.animado@a+f.animada
animating	vt.animando
animation	n+f.animación
animations	n+f+pl.animaciones
animator	n+m.animador@n+f.animadora
animators	n+m+pl.animadores
anime	n+m.anime
animosity	n+f.animosidad
anion	n+m.anión
anions	n+m+pl.aniones
anise	n+m.anís
anisotropic	a+m.anisotrópico@a+f.anisotrópica
anisotropy	n+f.anisotropía
anita	n+f.Anita
anjou	n+m.Anjou
ankara	n+f.Ankara
ankh	n+m.anj
ankle	n+m.tobillo
ankles	n+m+pl.tobillos
anklet	n+f.tobillera@n+f.pulsera de tobillo
anklets	n+f+pl.tobilleras@n+f+pl.pulseras de tobillo
ann	n+f.Ana
anna	n+f.Ana
annabel	n+f.Annabel
annabelle	n+f.Annabelle
annals	n+m+pl.anales
annapolis	n+f.Annapolis
anne	n+f.Ana
annealed	vt.recoció@a+m.recocido@a+f.recocida
annealing	n+m.recocido@vt.recociendo
annecy	n+m.Annecy
annenberg	n+m.Annenberg
annette	n+f.Annette
annex	n+m.anexo@vt.anexar
annexation	n+f.anexión
annexed	vt.anexó@a+m.anexado@a+f.anexada
annexes	n+m+pl.anexos@vt.anexa
annie	n+f.Annie
annihilation	n+f.aniquilación
anniversaries	n+m+pl.aniversarios
anniversary	n+m.aniversario
annotate	vt.anotar
annotated	a+m.anotado@a+f.anotada
annotation	n+f.anotación
annotations	n+f+pl.anotaciones
announce	vt.anunciar
announced	v.anunció@a+m.anunciado@a+f.anunciada
announcement	n+m.anuncio
announcements	n+m.anuncios
announcer	n+m.locutor@n+f.locutora
announcers	n+m+pl.locutores@n+f+pl.locutoras
announces	vt.anuncia
announcing	v.anunciando
annoy	vt.molestar@vt.fastidiar
annoyance	n+f.molestia@n+m.fastidio
annoyances	n+f+pl.molestias@n+m+pl.fastidios
annoyed	a+m.molesto@a+f.molesta@vt.molestó
annoying	a+m.molesto@a+f.molesta
annoys	vt.molesta@vt.irrita
annual	a+m.anual@a+f.anual
annualized	a+m.anualizado@a+f.anualizada
annually	ad.anualmente
annuals	n+f+pl.plantas anuales@n+m+pl.anuarios
annuities	n+f+pl.anualidades@n+f+pl.rentas vitalicias
annuity	n+f.anualidad
annular	a.anular
annulment	n+f.anulación
annunciation	n+f.Anunciación
anode	n+m.ánodo
anodized	a+m.anodizado@a+f.anodizada
anointed	vt.ungió@a+m.ungido@a+f.ungida
anointing	vt.ungiendo@n+f.unción
anomalies	n+f+pl.anomalías
anomalous	a+m.anómalo@a+f.anómala
anomaly	n+f.anomalía
anon	ad.pronto@n+m.anónimo
anonymity	n+m.anonimato
anonymous	a+m.anónimo@a+f.anónima
