the	art+m.o@art+f.a
watch	v.assistir@v.observar@n+m.relógio
included	a+m.incluído@a+f.incluída@v.incluiu
feel	v.sentir@n+f.sensação
though	conj.embora@conj.apesar de
bank	n+m.banco
risk	n+m.risco@v.arriscar
thanks	n+m.agradecimentos@int.obrigado
everything	pron.tudo
deals	n+m.negócios@n+f.ofertas@v.lida
various	a+m.vários@a+f.várias
words	n+f.palavras
linux	n+m.Linux
jul	n+m.jul
production	n+f.produção
commercial	a+m.comercial@a+f.comercial@n+m.comercial
james	n+m.James
weight	n+m.peso
town	n+f.cidade@n+f.vila
heart	n+m.coração
advertising	n+f.publicidade@v.anunciando
received	v.recebeu@a+m.recebido@a+f.recebida
choose	v.escolher
treatment	n+m.tratamento
newsletter	n+m.boletim informativo
archives	n+m.arquivos
points	n+m.pontos@v.aponta
knowledge	n+m.conhecimento
magazine	n+f.revista
error	n+m.erro
camera	n+f.câmera
jun	n+m.jun
girl	n+f.menina@n+f.garota
currently	ad.atualmente
construction	n+f.construção
toys	n+m.brinquedos
registered	a+m.registrado@a+f.registrada@v.registrou
clear	a+m.claro@a+f.clara@v.limpar
golf	n+m.golfe
receive	v.receber
domain	n+m.domínio
methods	n+m.métodos
chapter	n+m.capítulo
makes	v.faz@v.fabrica
protection	n+f.proteção
policies	n+f.políticas
loan	n+m.empréstimo@v.emprestar
wide	a+m.largo@a+f.larga@a+m.amplo@a+f.ampla
beauty	n+f.beleza
manager	n+m.gerente@n+f.gerente
india	n+f.Índia
position	n+f.posição@n+m.cargo
taken	v.tomado@a+m.levado@a+f.levada
sort	n+m.tipo@v.classificar@v.ordenar
listings	n+f.listagens@n+m.anúncios
models	n+m.modelos
michael	n+m.Michael
known	a+m.conhecido@a+f.conhecida@v.conhecido
half	n+f.metade@a+m.meio@a+f.meia
cases	n+m.casos@n+f.caixas
step	n+m.passo@n+f.etapa@v.pisar
engineering	n+f.engenharia
florida	n+f.Flórida
simple	a+m.simples@a+f.simples
quick	a+m.rápido@a+f.rápida
none	pron.nenhum@pron.nenhuma@pron.nada
wireless	a+m.sem fio@a+f.sem fio@n+m.wireless
license	n+f.licença@v.licenciar
paul	n+m.Paulo
friday	n+f.sexta feira
lake	n+m.lago
whole	a+m.inteiro@a+f.inteira@a+m.todo@a+f.toda
annual	a+m.anual@a+f.anual
published	a+m.publicado@a+f.publicada@v.publicou
later	ad.depois@ad.mais tarde
basic	a+m.básico@a+f.básica
sony	n+f.Sony
shows	n+m.shows@n+m.espetáculos@v.mostra
corporate	a+m.corporativo@a+f.corporativa
google	n+m.Google
church	n+f.igreja
method	n+m.método
purchase	n+f.compra@v.comprar
customers	n+m.clientes
active	a+m.ativo@a+f.ativa
response	n+f.resposta
practice	n+f.prática@v.praticar
hardware	n+m.hardware
figure	n+f.figura@n+m.número@v.calcular
materials	n+m.materiais
fire	n+m.fogo@n+m.incêndio@v.disparar@v.demitir
holiday	n+m.feriado@n+f.férias
chat	n+m.bate papo@v.conversar
enough	ad.bastante@a+m.suficiente@a+f.suficiente
designed	a+m.projetado@a+f.projetada@v.projetou
along	prep.ao longo de@ad.junto
among	prep.entre
death	n+f.morte
writing	n+f.escrita@v.escrevendo
speed	n+f.velocidade
countries	n+m.países
loss	n+f.perda
face	n+m.rosto@n+f.face@v.enfrentar
brand	n+f.marca
discount	n+m.desconto@v.descontar
higher	a+m.mais alto@a+f.mais alta@a+m.superior@a+f.superior
effects	n+m.efeitos
created	v.criou@a+m.criado@a+f.criada
remember	v.lembrar
standards	n+m.padrões@n+f.normas
oil	n+m.óleo@n+m.petróleo
bit	n+m.bit@n+m.pouco@n+m.pedaço
yellow	a+m.amarelo@a+f.amarela@n+m.amarelo
political	a+m.político@a+f.política
increase	n+m.aumento@v.aumentar
advertise	v.anunciar
kingdom	n+m.reino
base	n+f.base@v.basear
near	prep.perto de@a+m.perto@a+f.perto@ad.perto
environmental	a+m.ambiental@a+f.ambiental
thought	n+m.pensamento@v.pensou
stuff	n+m.material@n+f.coisa
french	a+m.francês@a+f.francesa@n+m.francês
storage	n+m.armazenamento
japan	n+m.Japão
doing	v.fazendo
loans	n+m.empréstimos
shoes	n+m.sapatos
entry	n+f.entrada
stay	v.ficar@n+f.estadia
nature	n+f.natureza
orders	n+m.pedidos@n+f.ordens@v.ordena
availability	n+f.disponibilidade
africa	n+f.África
summary	n+m.resumo
turn	v.virar@v.girar@n+f.vez@n+f.volta
mean	v.significar@a+m.mau@a+f.má@a+m.médio@a+f.média
growth	n+m.crescimento
notes	n+f.notas@v.anota
agency	n+f.agência
king	n+m.rei
monday	n+f.segunda feira
european	a+m.europeu@a+f.europeia@n+m.europeu@n+f.europeia
activity	n+f.atividade
copy	n+f.cópia@v.copiar
although	conj.embora@conj.apesar de
drug	n+f.droga@n+m.medicamento
pics	n+f.fotos
western	a+m.ocidental@a+f.ocidental@n+m.faroeste
income	n+f.renda@n+m.rendimento
force	n+f.força@v.forçar
cash	n+m.dinheiro@n+m.caixa
employment	n+m.emprego
overall	a+m.geral@a+f.geral@ad.no geral
bay	n+f.baía
river	n+m.rio
commission	n+f.comissão
package	n+m.pacote
contents	n+m.conteúdos@n+m.índice
seen	v.visto@a+m.visto@a+f.vista
players	n+m.jogadores@n+f.jogadoras
engine	n+m.motor@n+f.máquina
port	n+m.porto@n+f.porta
album	n+m.álbum
regional	a+m.regional@a+f.regional
stop	v.parar@n+f.parada
supplies	n+m.suprimentos@n+f.provisões@v.fornece
started	v.começou@v.iniciou@a+m.iniciado@a+f.iniciada
administration	n+f.administração
bar	n+m.bar@n+f.barra
institute	n+m.instituto@v.instituir
views	n+f.visualizações@n+f.opiniões@v.visualiza
plans	n+m.planos@v.planeja
double	a+m.duplo@a+f.dupla@v.dobrar
dog	n+m.cachorro@n+m.cão
build	v.construir@n+f.construção
screen	n+f.tela
exchange	n+f.troca@n+m.câmbio@v.trocar
types	n+m.tipos@v.digita
soon	ad.em breve@ad.logo
sponsored	a+m.patrocinado@a+f.patrocinada@v.patrocinou
lines	n+f.linhas
electronic	a+m.eletrônico@a+f.eletrônica
continue	v.continuar
across	prep.através de@prep.do outro lado de
benefits	n+m.benefícios@v.beneficia
needed	a+m.necessário@a+f.necessária@v.precisou
season	n+f.temporada@n+f.estação
apply	v.aplicar@v.candidatar se
someone	pron.alguém
held	v.segurou@v.realizou@a+m.realizado@a+f.realizada
anything	pron.qualquer coisa@pron.algo
printer	n+f.impressora
condition	n+f.condição
effective	a+m.eficaz@a+f.eficaz@a+m.efetivo@a+f.efetiva
believe	v.acreditar@v.crer
organization	n+f.organização
effect	n+m.efeito
asked	v.perguntou@v.pediu
eur	n+m.euro
mind	n+f.mente@v.importar se
sunday	n+m.domingo
selection	n+f.seleção
casino	n+m.cassino
lost	a+m.perdido@a+f.perdida@v.perdeu
tour	n+m.passeio@n+f.excursão@n+f.turnê
menu	n+m.menu@n+m.cardápio
volume	n+m.volume
cross	n+f.cruz@v.atravessar@v.cruzar
anyone	pron.qualquer um@pron.alguém
mortgage	n+f.hipoteca@v.hipotecar
hope	n+f.esperança@v.esperar
silver	n+f.prata@a+m.prateado@a+f.prateada
corporation	n+f.corporação
wish	n+m.desejo@v.desejar
inside	prep.dentro de@ad.dentro@n+m.interior
solution	n+f.solução
mature	a+m.maduro@a+f.madura@v.amadurecer
role	n+m.papel@n+f.função
rather	ad.bastante@ad.antes@ad.preferivelmente
weeks	n+f.semanas
addition	n+f.adição@n+m.acréscimo
came	v.veio@v.chegou
supply	n+m.fornecimento@n+f.oferta@v.fornecer
nothing	pron.nada
certain	a+m.certo@a+f.certa
executive	n+m.executivo@n+f.executiva@a+m.executivo@a+f.executiva
running	v.correndo@a+m.em funcionamento@n+f.corrida
lower	a+m.inferior@a+f.inferior@v.abaixar@a+m.mais baixo@a+f.mais baixa
necessary	a+m.necessário@a+f.necessária
union	n+f.união@n+m.sindicato
according	prep.de acordo com
clothing	n+f.roupa@n+m.vestuário
mon	n+f.seg
com	n+m.com
particular	a+m.particular@a+f.particular
fine	a+m.bom@a+f.boa@n+f.multa@ad.bem
names	n+m.nomes@v.nomeia
robert	n+m.Roberto
homepage	n+f.página inicial
hour	n+f.hora
gas	n+m.gás@n+f.gasolina
skills	n+f.habilidades
six	n+m.seis@a+m.seis@a+f.seis
bush	n+m.arbusto@n+m.Bush
islands	n+f.ilhas
advice	n+m.conselho
career	n+f.carreira
military	a+m.militar@a+f.militar@n+m.militar
rental	n+m.aluguel@a+m.de aluguel
decision	n+f.decisão
leave	v.sair@v.deixar@n+f.licença
british	a+m.britânico@a+f.britânica
teens	n+m.adolescentes
huge	a+m.enorme@a+f.enorme
sat	v.sentou
woman	n+f.mulher
facilities	n+f.instalações
zip	n+m.CEP@n+m.zíper@v.comprimir
bid	n+m.lance@n+f.oferta@v.oferecer
kind	n+m.tipo@a+m.gentil@a+f.gentil
sellers	n+m.vendedores@n+f.vendedoras
middle	n+m.meio@a+m.médio@a+f.média
move	v.mover@n+m.movimento@n+f.mudança
cable	n+m.cabo
opportunities	n+f.oportunidades
taking	v.tomando@v.levando
values	n+m.valores@v.valoriza
division	n+f.divisão
coming	v.vindo@a+m.vindouro@a+f.vindoura
tuesday	n+f.terça feira
object	n+m.objeto@v.objetar
lesbian	n+f.lésbica@a+f.lésbica
appropriate	a+m.apropriado@a+f.apropriada@v.apropriar
machine	n+f.máquina
logo	n+m.logotipo@n+f.logo
length	n+m.comprimento@n+f.extensão
actually	ad.na verdade@ad.realmente
nice	a+m.legal@a+f.legal@a+m.agradável@a+f.agradável
score	n+m.placar@n+f.pontuação@v.marcar
statistics	n+f.estatísticas
client	n+m.cliente@n+f.cliente
returns	n+m.retornos@n+f.devoluções@v.retorna
capital	n+f.capital@n+m.capital
follow	v.seguir
sample	n+f.amostra@v.amostrar
investment	n+m.investimento
sent	v.enviou@a+m.enviado@a+f.enviada
shown	v.mostrado@a+m.mostrado@a+f.mostrada
saturday	n+m.sábado
christmas	n+m.Natal
england	n+f.Inglaterra
culture	n+f.cultura
band	n+f.banda@n+f.faixa
flash	n+m.flash@v.piscar
lead	v.liderar@n+f.liderança@n+m.chumbo
george	n+m.Jorge
choice	n+f.escolha
went	v.foi@v.foi
starting	v.começando@a+m.inicial@a+f.inicial
registration	n+m.registro@n+f.inscrição
fri	n+f.sex
thursday	n+f.quinta feira
courses	n+m.cursos
consumer	n+m.consumidor@n+f.consumidora
airport	n+m.aeroporto
foreign	a+m.estrangeiro@a+f.estrangeira
artist	n+m.artista@n+f.artista
outside	prep.fora de@ad.fora@n+m.exterior
furniture	n+m.móveis@n+f.mobília
levels	n+m.níveis
channel	n+m.canal
letter	n+f.carta@n+f.letra
mode	n+m.modo
phones	n+m.telefones
ideas	n+f.ideias
wednesday	n+f.quarta feira
structure	n+f.estrutura@v.estruturar
fund	n+m.fundo@v.financiar
summer	n+m.verão
allow	v.permitir
degree	n+m.grau@n+m.diploma
contract	n+m.contrato@v.contratar@v.contrair
button	n+m.botão
releases	n+m.lançamentos@v.lança@v.libera
wed	n+f.qua@v.casar
homes	n+f.casas@n+m.lares
super	a+m.super@a+f.super@ad.super
male	a+m.masculino@a+f.masculina@n+m.macho
matter	n+f.matéria@n+m.assunto@v.importar
custom	a+m.personalizado@a+f.personalizada@n+m.costume
virginia	n+f.Virgínia
almost	ad.quase
took	v.levou@v.pegou
located	a+m.localizado@a+f.localizada@v.localizou
multiple	a+m.múltiplo@a+f.múltipla
asian	a+m.asiático@a+f.asiática@n+m.asiático@n+f.asiática
distribution	n+f.distribuição
editor	n+m.editor@n+f.editora
inn	n+f.pousada@n+m.albergue
industrial	a+m.industrial@a+f.industrial
cause	n+f.causa@v.causar
potential	n+m.potencial@a+m.potencial@a+f.potencial
song	n+f.canção@n+f.música
ltd	a.limitada
los	art+m.os
focus	n+m.foco@v.focar
late	a+m.tardio@a+f.tardia@ad.tarde
fall	v.cair@n+f.queda@n+m.outono
featured	a+m.destacado@a+f.destacada@v.destacou
idea	n+f.ideia
rooms	n+m.quartos@n+f.salas
female	a+f.feminina@a+m.feminino@n+f.fêmea
responsible	a+m.responsável@a+f.responsável
inc	n+f.incorporada
communications	n+f.comunicações
win	v.ganhar@n+f.vitória
associated	a+m.associado@a+f.associada@v.associou
thomas	n+m.Tomás
primary	a+m.primário@a+f.primária@a+m.principal@a+f.principal
cancer	n+m.câncer
numbers	n+m.números
reason	n+f.razão@n+m.motivo
tool	n+f.ferramenta
browser	n+m.navegador
spring	n+f.primavera@n+f.mola@n+f.fonte
foundation	n+f.fundação@n+m.alicerce
answer	n+f.resposta@v.responder
voice	n+f.voz
friendly	a+m.amigável@a+f.amigável
schedule	n+m.cronograma@n+f.agenda@v.agendar
documents	n+m.documentos
communication	n+f.comunicação
purpose	n+m.propósito@n+f.finalidade
feature	n+f.característica@n+m.recurso
bed	n+f.cama
comes	v.vem@v.chega
police	n+f.polícia
everyone	pron.todos@pron.todo mundo
independent	a+m.independente@a+f.independente
approach	n+f.abordagem@v.abordar@v.aproximar
cameras	n+f.câmeras
brown	a+m.marrom@a+f.marrom@n+m.marrom
physical	a+m.físico@a+f.física
operating	a+m.operacional@v.operando
hill	n+m.morro@n+f.colina
maps	n+m.mapas@v.mapeia
medicine	n+f.medicina@n+m.remédio
deal	n+m.negócio@n+m.acordo@v.lidar
hold	v.segurar@v.manter@n+m.porão
ratings	n+f.classificações@n+f.avaliações
chicago	n+f.Chicago
forms	n+m.formulários@n+f.formas@v.forma
glass	n+m.vidro@n+m.copo
happy	a+m.feliz@a+f.feliz
tue	n+f.ter
smith	n+m.ferreiro@n+m.Smith
wanted	a+m.procurado@a+f.procurada@v.queria
developed	a+m.desenvolvido@a+f.desenvolvida@v.desenvolveu
thank	v.agradecer
safe	a+m.seguro@a+f.segura@n+m.cofre
unique	a+m.único@a+f.única
survey	n+f.pesquisa@n+m.levantamento@v.pesquisar
prior	a+m.anterior@a+f.anterior@prep.antes de
telephone	n+m.telefone@v.telefonar
sport	n+m.esporte
ready	a+m.pronto@a+f.pronta
feed	v.alimentar@n+f.alimentação@n+m.feed
animal	n+m.animal
sources	n+f.fontes
mexico	n+m.México
population	n+f.população
regular	a+m.regular@a+f.regular
secure	a+m.seguro@a+f.segura@v.assegurar
navigation	n+f.navegação
operations	n+f.operações
therefore	ad.portanto@ad.por isso
ass	n+m.burro@n+m.traseiro
simply	ad.simplesmente
evidence	n+f.evidência@n+f.prova
station	n+f.estação
christian	a+m.cristão@a+f.cristã@n+m.cristão@n+f.cristã
round	a+m.redondo@a+f.redonda@n+f.rodada@prep.ao redor de
paypal	n+m.PayPal
understand	v.entender@v.compreender
option	n+f.opção
master	n+m.mestre@a+m.mestre@v.dominar
valley	n+m.vale
recently	ad.recentemente
probably	ad.provavelmente
thu	n+f.qui
rentals	n+m.aluguéis
sea	n+m.mar
built	a+m.construído@a+f.construída@v.construiu
publications	n+f.publicações
blood	n+m.sangue
cut	v.cortar@n+m.corte
worldwide	a+m.mundial@a+f.mundial@ad.mundialmente
improve	v.melhorar
connection	n+f.conexão
publisher	n+f.editora@n+m.editor
hall	n+m.salão@n+m.corredor
larger	a+m.maior@a+f.maior
anti	prep.anti
networks	n+f.redes
earth	n+f.terra
parents	n+m.pais
nokia	n+f.Nokia
impact	n+m.impacto@v.impactar
transfer	n+f.transferência@v.transferir
introduction	n+f.introdução
kitchen	n+f.cozinha
strong	a+m.forte@a+f.forte
tel	n+m.tel
carolina	n+f.Carolina
wedding	n+m.casamento
properties	n+f.propriedades
hospital	n+m.hospital
ground	n+m.chão@n+m.solo@n+m.terreno
overview	n+f.visão geral@n+m.resumo
ship	n+m.navio@v.enviar
accommodation	n+f.acomodação@n+m.alojamento
owners	n+m.proprietários@n+f.proprietárias
disease	n+f.doença
excellent	a+m.excelente@a+f.excelente
paid	a+m.pago@a+f.paga@v.pagou
italy	n+f.Itália
perfect	a+m.perfeito@a+f.perfeita@v.aperfeiçoar
hair	n+m.cabelo@n+m.pelo
opportunity	n+f.oportunidade
kit	n+m.kit
classic	a+m.clássico@a+f.clássica@n+m.clássico
basis	n+f.base
command	n+m.comando@v.comandar
cities	n+f.cidades
william	n+m.Guilherme
express	a+m.expresso@a+f.expressa@v.expressar
anal	a+m.anal@a+f.anal
award	n+m.prêmio@v.premiar
distance	n+f.distância
tree	n+f.árvore
peter	n+m.Pedro
assessment	n+f.avaliação
ensure	v.garantir@v.assegurar
thus	ad.assim@ad.portanto
wall	n+f.parede@n+m.muro
involved	a+m.envolvido@a+f.envolvida@v.envolveu
extra	a+m.extra@a+f.extra@n+m.extra
especially	ad.especialmente
interface	n+f.interface
pussy	n+f.vagina@n+m.gatinho
partners	n+m.parceiros@n+f.parceiras
budget	n+m.orçamento@a+m.econômico@a+f.econômica
rated	a+m.classificado@a+f.classificada@v.classificou
guides	n+m.guias@v.guia
success	n+m.sucesso
maximum	n+m.máximo@a+m.máximo@a+f.máxima
operation	n+f.operação
existing	a+m.existente@a+f.existente
quite	ad.bastante@ad.bem
selected	a+m.selecionado@a+f.selecionada@v.selecionou
boy	n+m.menino@n+m.garoto
amazon	n+f.Amazônia@n+f.Amazon
patients	n+m.pacientes
restaurants	n+m.restaurantes
beautiful	a+m.bonito@a+f.bonita@a+m.lindo@a+f.linda
warning	n+m.aviso@n+f.advertência
wine	n+m.vinho
locations	n+f.localizações@n+m.locais
horse	n+m.cavalo
vote	n+m.voto@v.votar
forward	ad.adiante@a+m.dianteiro@a+f.dianteira@v.encaminhar
flowers	n+f.flores
stars	n+f.estrelas
significant	a+m.significativo@a+f.significativa
lists	n+f.listas@v.lista
technologies	n+f.tecnologias
owner	n+m.dono@n+f.dona@n+m.proprietário@n+f.proprietária
retail	n+m.varejo@a+m.varejista@a+f.varejista
animals	n+m.animais
useful	a+m.útil@a+f.útil
directly	ad.diretamente
manufacturer	n+m.fabricante
ways	n+f.maneiras@n+m.caminhos
est	v.é
son	n+m.filho
providing	v.fornecendo@conj.desde que
rule	n+f.regra@v.governar
mac	n+m.Mac
housing	n+f.habitação@n+m.alojamento
takes	v.leva@v.toma
iii	n+m.III
bring	v.trazer
searches	n+f.buscas@v.busca
max	n+m.máximo@a+m.máximo@a+f.máxima
trying	v.tentando
mother	n+f.mãe
authority	n+f.autoridade
considered	a+m.considerado@a+f.considerada@v.considerou
told	v.disse@v.contou
traffic	n+m.tráfego@n+m.trânsito
programme	n+m.programa
joined	v.juntou@v.entrou@a+m.unido@a+f.unida
input	n+f.entrada@n+m.input@v.inserir
strategy	n+f.estratégia
feet	n+m.pés
agent	n+m.agente
valid	a+m.válido@a+f.válida
bin	n+f.lixeira@n+m.recipiente
modern	a+m.moderno@a+f.moderna
senior	a+m.sênior@a+f.sênior@n+m.idoso@n+f.idosa
ireland	n+f.Irlanda
sexy	a+m.sexy@a+f.sexy
teaching	n+m.ensino@v.ensinando
door	n+f.porta
grand	a+m.grandioso@a+f.grandiosa@n+m.mil dólares
testing	n+m.teste@v.testando
trial	n+m.julgamento@n+m.teste@n+f.prova
charge	n+f.carga@n+f.cobrança@v.cobrar@v.carregar
units	n+f.unidades
instead	ad.em vez disso@prep.em vez de
canadian	a+m.canadense@a+f.canadense@n+m.canadense@n+f.canadense
cool	a+m.legal@a+f.legal@a+m.fresco@a+f.fresca@v.esfriar
normal	a+m.normal@a+f.normal
wrote	v.escreveu
enterprise	n+f.empresa
ships	n+m.navios@v.envia
entire	a+m.inteiro@a+f.inteira@a+m.todo@a+f.toda
educational	a+m.educacional@a+f.educacional
leading	a+m.líder@a+f.líder@v.liderando
metal	n+m.metal@a+m.metálico@a+f.metálica
positive	a+m.positivo@a+f.positiva
fitness	n+f.aptidão física@n+m.fitness
chinese	a+m.chinês@a+f.chinesa@n+m.chinês
opinion	n+f.opinião
asia	n+f.Ásia
football	n+m.futebol@n+m.futebol americano
abstract	a+m.abstrato@a+f.abstrata@n+m.resumo
uses	n+m.usos@v.usa
output	n+f.saída@n+m.output@n+f.produção
funds	n+m.fundos@v.financia
greater	a+m.maior@a+f.maior
likely	a+m.provável@a+f.provável@ad.provavelmente
develop	v.desenvolver
employees	n+m.funcionários@n+f.funcionárias
artists	n+m.artistas@n+f.artistas
alternative	n+f.alternativa@a+m.alternativo@a+f.alternativa
processing	n+m.processamento@v.processando
responsibility	n+f.responsabilidade
resolution	n+f.resolução
java	n+f.Java
guest	n+m.convidado@n+f.convidada@n+m.hóspede
seems	v.parece
publication	n+f.publicação
pass	v.passar@n+m.passe@n+f.passagem
relations	n+f.relações
trust	n+f.confiança@v.confiar
van	n+f.van@n+f.furgoneta
contains	v.contém
session	n+f.sessão
multi	a.multi
photography	n+f.fotografia
republic	n+f.república
fees	n+f.taxas@n+m.honorários
components	n+m.componentes
vacation	n+f.férias
century	n+m.século
academic	a+m.acadêmico@a+f.acadêmica
assistance	n+f.assistência@n+f.ajuda
completed	a+m.concluído@a+f.concluída@v.concluiu
skin	n+f.pele
graphics	n+m.gráficos@n+f.imagens
indian	a+m.indiano@a+f.indiana@n+m.indiano@n+f.indiana
prev	a.anterior
ads	n+m.anúncios
mary	n+f.Maria
expected	a+m.esperado@a+f.esperada@v.esperou
ring	n+m.anel@n+f.argola@v.tocar
grade	n+f.nota@n+m.grau@n+f.série
dating	n+m.namoro@v.namorando
pacific	n+m.Pacífico@a+m.pacífico@a+f.pacífica
mountain	n+f.montanha
organizations	n+f.organizações
pop	n+m.pop@v.estourar
filter	n+m.filtro@v.filtrar
mailing	n+m.envio@n+f.correspondência
vehicle	n+m.veículo
longer	a+m.mais longo@a+f.mais longa@ad.mais tempo
consider	v.considerar
int	n+m.inteiro
northern	a+m.norte@a+f.norte@a+m.setentrional@a+f.setentrional
behind	prep.atrás de@ad.atrás
panel	n+m.painel
floor	n+m.chão@n+m.andar@n+m.piso
german	a+m.alemão@a+f.alemã@n+m.alemão
buying	v.comprando@n+f.compra
match	n+f.partida@n+m.jogo@n+m.fósforo@v.combinar
proposed	a+m.proposto@a+f.proposta@v.propôs
default	n+m.padrão@n+f.inadimplência@a+m.padrão@a+f.padrão
require	v.exigir@v.requerer
iraq	n+m.Iraque
boys	n+m.meninos@n+m.garotos
outdoor	a+m.ao ar livre@a+f.ao ar livre@a+m.externo@a+f.externa
deep	a+m.profundo@a+f.profunda@ad.profundamente
morning	n+f.manhã
otherwise	ad.caso contrário@ad.de outra forma
allows	v.permite
rest	n+m.descanso@n+m.resto@v.descansar
protein	n+f.proteína
plant	n+f.planta@n+f.fábrica@v.plantar
reported	v.relatou@a+m.relatado@a+f.relatada
hit	v.bater@n+m.sucesso@n+f.batida
transportation	n+m.transporte
pool	n+f.piscina@n+m.grupo
mini	a+m.mini@a+f.mini
politics	n+f.política
partner	n+m.parceiro@n+f.parceira
disclaimer	n+f.isenção de responsabilidade@n+m.aviso legal
authors	n+m.autores@n+f.autoras
boards	n+m.conselhos@n+f.placas
faculty	n+f.faculdade@n+m.corpo docente
parties	n+f.festas@n+m.partidos
fish	n+m.peixe@v.pescar
membership	n+f.afiliação@n+f.adesão
mission	n+f.missão
eye	n+m.olho
sense	n+m.sentido@n+f.sensação@v.sentir
modified	a+m.modificado@a+f.modificada@v.modificou
pack	n+m.pacote@v.empacotar
released	a+m.lançado@a+f.lançada@v.lançou
stage	n+m.palco@n+f.etapa@n+f.fase
internal	a+m.interno@a+f.interna
goods	n+m.bens@n+f.mercadorias
recommended	a+m.recomendado@a+f.recomendada@v.recomendou
born	a+m.nascido@a+f.nascida@v.nasceu
unless	conj.a menos que@conj.a não ser que
richard	n+m.Ricardo
detailed	a+m.detalhado@a+f.detalhada
