آب	n+m.abe
أزعج	v.bothered@v.annoyed@v.ruffled@v.vexed
أزقة	n+f.alleys
أزقة خلفية	n+f.mews
أزمات	n+f.crises
أزمة	n+f.crisis@n+f.crunch@n+f.meltdown
أزمنة	n+f.tenses
أزهار	n+f.blooms@n+f.blossoms
أزهار سوسن	n+f.irises
أزهر	v.flowered
أزواج	n+m.couples@n+f.pairs@n+m.spouses@n+m.husbands@n+f.pairings
أزوي	a.azo
أزياء	n+f.costumes@n+f.fashions
أزياء راقية	n+f.couture
أزيد	n+m.azide
أزيز	n+f.sizzle
أس	n+m.exponent
أسئلة	n+f.questions@n+f.ques
أسئلة شائعة	n+f.faqs
أساء	v.offended@v.displeased
أساء استخدام	v.misused
أساء القراءة	v.misread
أساء تفسير	v.misinterpreted
أساء تمثيل	v.misrepresented
أسابيع	n+f.weeks
أساتذة	n+m.professors@n+m.dons@n+m.profs
أساس	n+m.foundation@n+m.basis@n+f.footing@n+m.groundwork@n+m.underpinning
أساساً	ad.primarily@ad.basically@ad.essentially
أساسي	a+m.basic@a+m.primary@a+m.core@a+m.essential@a+m.elementary@a+m.fundamental@a.underlying@a.integral@a.cardinal@a.paramount@a.staple@a.elemental@a.primal@a.seminal@a.rudimentary
أساسيات	n+f.basics@n+f.essentials@n+f.fundamentals@n+f.grounding@n+f.abcs
أساسية	a+f.basic@a+f.primary@a+f.core@a+f.essential@a+f.elementary@a+f.fundamental
أساطير	n+f.legends@n+f.myths@n+f.mythology
أساطيل	n+f.fleets
أسافين	n+f.wedges
أساقفة	n+m.bishops
أساليب	n+f.methods@n+f.styles@n+f.modalities
أساور	n+f.bracelets@n+f.bangles
أساور معصم	n+f.wristbands
أسباب	n+f.reasons@n+f.causes@n+m.grounds
أسبارتام	n+m.aspartame
أسبرجر	n+m.asperger
أسبرين	n+m.aspirin
أسبستوس	n+m.asbestos
أسبق	a.earlier
أسبقية	n+f.precedence
أسبوع	n+m.week
أسبوع عمل	n+m.workweek
أسبوعان	n+m.fortnight
أسبوعي	a+m.weekly
أسبوعياً	ad.weekly
أسبوعية	a+f.weekly
أستاذ	n+m.professor@n+m.prof
أستاذ كبير	n+m.grandmaster
أستاذة	n+f.professor
أستاذة فخرية	n+f.emerita
أستاذية	n+f.professorship
أسترالاسي	a.australasian
أسترالي	a+m.australian@n+m.australian@n+m.aussie@n+f.aust
أستراليا	n+f.australia@n+f.aus
أسترالية	a+f.australian@n+f.australian
أستراليون	n+m.australians@n+m.aussies
أستريد	n+f.astrid
أستوريا	n+f.astoria
أستورياس	n+f.asturias
أستون	n+m.aston
أستي	n+f.asti
أستير	n+m.astaire
أستيل كولين	n+m.acetylcholine
أسخن	a.hotter
أسد	n+m.lion
أسد جبلي	n+m.cougar
أسر	n+f.households@n+m.captivity@v.captivated@v.enthralled
أسراب	n+m.shoals@n+f.squadrons@n+f.swarms
أسرار	n+f.secrets@n+f.arcana
أسرار مقدسة	n+f.sacraments
أسرة	n+f.family@n+m.household@n+f.beds@n+f.menage
أسرة أطفال	n+f.cribs@n+f.bassinets
أسرة قابلة للطي	n+f.cots
أسرة قطار	n+f.berths
أسرج	v.saddled
أسرع	a.faster@ad.faster@a.quicker@a.quickest@v.sped@v.hurried@v.hastened
أسرى	n+m.captives
أسس	v.est@n+f.foundations@v.instituted@n+f.underpinnings
أسطح	n+f.surfaces@n+f.decks@n+f.rooftops
أسطح مكتب	n+f.desktops
أسطر	n+f.lines
أسطر جديدة	n+f.newlines
أسطوانات	n+f.cylinders
أسطوانة	n+m.roller@n+f.cylinder@n+f.cyl
أسطوانة طباعة	n+f.platen
أسطواني	a.cylindrical
أسطورة	n+f.legend@n+f.myth@n+m.mythos
أسطوري	a.legendary@a.mythical@a.mythic@a.mythological@a.fabled
أسطول	n+m.fleet@n+f.armada
أسطول صغير	n+f.flotilla
أسعار	n+f.prices@n+f.rates@n+f.quotes
أسعار تذاكر الطيران	n+f.airfares
أسعد	a.happier@a.happiest
أسف	n+f.regrets
أسفار	n+f.travels
أسفل	ad.down@n+m.bottom
أسفلت	n+m.asphalt
أسقط	v.dropped@v.downed@v.toppled@v.floored@v.felled
أسقف	n+m.bishop@n+f.ceilings@n+m.roofs@n+f.canopies
أسقفي	a.episcopal
أسكت	v.silenced@v.hushed
أسكر	v.intoxicated
أسكن	v.quartered
أسكوت	n+m.ascot
أسكوربي	a.ascorbic
أسلاف	n+m.ancestors@n+m.predecessors@n+m.antecedents
أسلافي	a.ancestral
أسلاك	n+m.wiring@n+m.wires@n+f.cords
أسلحة	n+f.arms@n+f.weapons@n+m.ordnance@n+f.weaponry@n+f.armament
أسلحة نارية	n+f.firearms
أسلحة نووية	n+f.nukes
أسلوب	n+m.style@n+m.method@n+m.fashion@n+m.manner
أسلوبي	a.stylistic
أسماء	n+f.names@n+m.nouns
أسماء مستخدمين	n+f.usernames
أسماء مستعارة	n+f.aliases@n+f.nicknames
أسماء ملفات	n+f.filenames
أسماك	n+m.fishes
أسماك البلطي	n+f.cichlids
أسماك قرش	n+m.sharks
أسمال	n+m.rags
أسمدة	n+f.fertilizers@n+f.fertilisers
أسمر	a.tan@a.brunette@a.dun
أسمر ضارب للصفرة	a.tawny
أسمك	a.thicker
أسمن	a.plumper@a.fatter
أسمنتات	n+f.cements
أسنان	n+f.teeth
أسند	v.propped
أسند لمصادر خارجية	v.outsourced
أسهل	a.easier@a.easiest
أسهم	n+f.stock@n+f.shares@n+f.stocks@n+m.arrows@n+f.equities
أسهم صناعية	n+f.industrials
أسوأ	a.worst@a.worse@ad.worse
أسوار	n+f.fences
أسواق	n+f.markets@n+f.marketplaces@n+f.marts
أسوان	n+f.aswan
أسود	a+m.black@n+m.black@a.ebony@n+m.lions@a.blk@a.negro@a.sable
أسود جبلية	n+m.cougars
أسي	a.exponential
أسيء فهمه	v.misunderstood
أسياخ	n+f.skewers@n+f.spits
أسيتات	n+m.acetate
أسيتامينوفين	n+m.acetaminophen
أسيتون	n+m.acetone
أسيتيل	n+m.acetyl
أسيتيلين	n+m.acetylene
أسير	n+m.captive@a.captive
أسير حرب	n+m.pow
أسيزي	n+f.assisi
أسيف	a.sorrowful
أسيكلوفير	n+m.acyclovir
أسيل	n+m.acyl
أسيموف	n+m.asimov
أسّس	v.predicated
أشاد	v.hailed@v.commended@v.lauded
أشار	v.indicated@v.pointed@v.waved@v.alluded@v.motioned@v.signalled
أشار بإصبعه	v.fingered
أشانتي	n+m.ashanti
أشباح	n+m.ghosts@n+f.phantoms@n+m.spooks
أشبال	n+m.cubs
أشباه موصلات	n+f.semiconductors
أشبع	v.impregnated@v.imbued
أشتون	n+m.ashton
أشجار	n+f.trees
أشجار الأقداس	n+m.hollies
أشجار القيقب	n+m.maples
أشجار المانغروف	n+f.mangroves
أشجار بلوط	n+m.oaks
أشجار تنوب	n+f.firs
أشجار دردار	n+m.elms
أشجار سيكويا	n+f.redwoods
أشجار صنوبر	n+m.pines
أشخاص	n+m.persons
أشخاص ما	n+m.someones
أشد	a.tighter
أشد صرامة	a.strictest
أشد صلابة	a.firmer
أشرار	n+m.villains
أشرطة	n+f.tapes@n+f.cassettes@n+f.ribbons
أشرطة أدوات	n+f.toolbars
أشرطة جانبية	n+f.sidebars
أشرطة فيديو	n+f.videotapes
أشرعة	n+f.sails
أشرف على	v.overseen@v.oversaw
أشرق	v.shone
أشرم	n+m.ashram
أشع	v.irradiated@v.radiated
أشعة	n+f.rays
أشعة تحت حمراء	n+f.infrared
أشعة فوق بنفسجية	n+m.ultraviolet
أشعث	a.shaggy@a.bushy
أشعل	v.sparked@v.ignited@v.kindled
أشعّ	v.beamed
أشقاء	n+m.siblings
أشقر	a+m.blonde@a.blond
أشكال	n+f.shapes
أشكال بيضاوية	n+f.ovals
أشكال موجية	n+f.waveforms
أشكروفت	n+m.ashcroft
أشكنازي	a.ashkenazi@n+m.ashkenazi
أشن	n+m.lichen
أشنات	n+f.lichens
أشهب	a.roan
أشهر	n+f.months@n+m.mos
أشواك	n+f.thorns@n+m.spines@n+f.barbs@n+f.quills
أشياء	n+f.things@n+m.stuff@n+f.objects@n+f.stuffs@n+f.somethings
أشياء بالية	n+f.obsoletes
أشياء ثمينة	n+f.valuables
أشياء زائلة	n+f.ephemera
أشياء غير ملائمة	n+f.misfits
أشيب	a.hoary
أشير	n+m.asher
أصابع	n+f.fingers
أصابع قدم	n+m.toes
أصالة	n+f.authenticity@n+f.originality
أصباغ	n+f.dyes@n+f.pigments@n+f.hues
أصبت	int.touche
أصبح	v.became
أصبح قديماً	v.obsoleted
أصح	a.healthiest@a.sounder
أصحاب امتياز	n+m.franchisees
أصحاب رؤية	n+m.visionaries
أصحاب عمل	n+m.employers
أصحاب فنادق	n+m.hoteliers
أصحاب مصلحة	n+m.stakeholders
أصحاب مطاعم	n+m.restaurateurs
أصحاب منازل	n+m.homeowners@n+m.householders
أصحاب نُزُل	n+m.innkeepers
أصداء	n+f.echoes@n+f.resonances
أصداف	n+f.shells
أصداف بحرية	n+f.seashells
أصدر	v.released@v.issued@v.promulgated@v.emitted
أصدر مرسوماً	v.decreed
أصدق	a.truer
أصدقاء	n+m.friends@n+m.buddies@n+m.pals@n+m.amigos@n+m.boyfriends@n+m.homies@n+m.chums
أصدقاء مقربون	n+m.intimates@n+m.cronies
أصر	v.persisted
أصرَّ	v.insisted
أصعب	a.harder@a.hardest@a.tougher@a.toughest
أصغر	a.smaller@a.younger@a.smallest@a.youngest
أصفاد	n+f.cuffs@n+f.handcuffs
أصفار	n+f.zeros@n+f.zeroes@n+f.ciphers
أصفر	a+m.yellow@n+m.yellow
أصفر بُني	a.ochre
أصفر فاتح	a.buff
أصفرار	n+m.yellows
أصل	n+m.origin@n+m.asset@n+m.descent@n+m.provenance@n+f.parentage
أصلاً	ad.originally
أصلح	v.fixed@v.repaired@v.reformed@v.mended
أصلح إصلاحاً شاملاً	v.overhauled
أصلع	a.bald@a.hairless@n+m.baldy
أصلي	a+m.original@a+m.native@a.genuine@a.indigenous@a.aboriginal@a.orig@a.primordial@a.archetypal
أصلية	a+f.original@a+f.native
أصم	a.deaf
أصماغ	n+f.glues
أصناف مزروعة	n+f.cultivars
أصنام	n+f.idols@n+f.fetishes
أصوات	n+f.votes@n+f.sounds@n+f.voices
أصوات رافضة	n+f.nays
أصوات رفض	n+f.noes
أصوات غنائية	n+f.vocals
أصوات موافقة	n+f.ayes@n+f.yeas
أصول	n+f.assets@n+f.origins@n+f.originals
أصول غير ملموسة	n+f.intangibles
أصولي	n+m.fundamentalist@a.fundamentalist
أصولية	n+f.fundamentalism
أصوليون	n+m.fundamentalists
أصيص	n+f.planter
أصيل	a.authentic@n+m.thoroughbred@a.thoroughbred@a.blooded@a.purebred
أضاء	v.lighted
أضاع	v.misplaced
أضاف	v.added
أضايق	v.distressed
أضجر	v.bore
أضجع	v.bedded
أضداد	n+f.opposites@n+f.antonyms
أضرار	n+f.damages@n+f.harms
أضرار مدنية	n+f.torts
أضرحة	n+f.shrines
أضعف	a.weaker@a.weakest
أضفى مظهراً عتيقاً	v.antiqued
أضل	v.misled
أضلاع	n+f.ribs
أضواء	n+f.lights@n+f.spotlight
أضواء خافتة	n+f.dims
أضواء خلفية	n+f.taillights
أضواء كاشفة	n+f.spotlights
أضواء وامضة	n+f.strobes
أضيق	a.tighter@a.narrower
أطاح	v.ousted
أطاع	v.obeyed
أطال	v.protracted
أطالس	n+f.atlases
أطايب	n+f.delicacies
أطباء	n+m.doctors@n+m.physicians
أطباء أسنان	n+m.dentists
أطباء أعصاب	n+m.neurologists
أطباء أقدام	n+m.podiatrists
أطباء أورام	n+m.oncologists
أطباء بيطريون	n+m.veterinarians
أطباء توليد	n+m.obstetricians
أطباء جلدية	n+m.dermatologists
أطباء سريريون	n+m.clinicians
أطباء عظام	n+m.osteopaths
أطباء عيون	n+m.ophthalmologists
أطباء قلب	n+m.cardiologists
أطباء نفسيون	n+m.psychiatrists@n+m.shrinks
أطباق	n+f.dishes
أطباق رئيسية	n+f.entrees
أطباق كاري	n+f.curries
أطراف	n+m.parties@n+f.terminals@n+f.limbs@n+f.outskirts@n+f.periphery@n+f.extremities
أطراف اصطناعية	n+f.prosthetics@n+f.prostheses
أطراف الأصابع	n+f.fingertips
أطرف	a.funniest@a.funnier
أطروحات	n+f.theses@n+f.dissertations
أطروحة	n+f.thesis@n+f.dissertation
أطزج	a.freshest
أطعمة	n+f.foods@n+f.cuisines
أطفأ	v.extinguished@v.amortized@v.quenched
أطفال	n+m.children@n+m.kids@n+f.babes@n+m.kiddies
أطفال رضّع	n+m.babies
أطفال صغار	n+m.toddlers@n+m.tots@n+m.rugrats
أطفال ما قبل المدرسة	n+m.preschoolers
أطفال مشاغبون	n+m.brats
أطقم أسنان	n+f.dentures
أطلال	n+f.ruins
أطلس	n+m.atlas
أطلسي	a+m.atlantic
أطلسية	a+f.atlantic
أطلع	v.briefed
أطلق	v.shot
أطلق العنان	v.unleashed
أطلق النار	v.gunned
أطنان	n+f.tons@n+m.tonnes
أطواف	n+f.rafts
أطواق	n+f.hoops@n+f.collars
أطوال	n+f.lengths@n+f.longs
أطوال موجية	n+f.wavelengths
أطول	a.longer@ad.longer@a.taller@a.tallest
أطياف	n+f.spectra
أظافر	n+f.nails@n+f.fingernails
أظلم	a.darkest@v.darkened
أظن	v.methinks
أظهر	v.showed
أعاد	v.reiterated@v.reinstated
أعاد إتقان	v.remastered
أعاد إدراج	v.relisted
أعاد إرسال	v.retransmitted
أعاد إصدار	v.reissued
أعاد إنشاء	v.recreated
أعاد اختراع	v.reinvented
أعاد استثمار	v.reinvested
أعاد استخدام	v.reused
أعاد اكتشاف	v.rediscovered
أعاد التشغيل	v.restarted@v.rebooted
أعاد الحيوية	v.revitalized
أعاد العدّ	v.recounted
أعاد المال	v.refunded
أعاد النظر	v.reconsidered
أعاد الهيكلة	v.restructured
أعاد بناء	v.rebuilt@v.reconstructed
أعاد بيع	v.resold
أعاد تأهيل	v.rehabilitated
أعاد تثبيت	v.reinstalled
أعاد تحميل	v.reloaded
أعاد ترتيب	v.rearranged
أعاد ترقيم	v.renumbered
أعاد تسمية	v.renamed
أعاد تصميم	v.redesigned
أعاد تصنيف	v.reclassified
أعاد تعريف	v.redefined
أعاد تعيين	v.reassigned
أعاد تقديم	v.reintroduced
أعاد تكوين	v.reconstituted@v.reconfigured
أعاد تمويل	v.refinanced
أعاد تنسيق	v.reformatted
أعاد تنشيط	v.reactivated
أعاد تنظيم	v.reorganized
أعاد توجيه	v.redirected
أعاد جدولة	v.rescheduled
أعاد حساب	v.recalculated
أعاد زيارة	v.revisited
أعاد شحن	v.recharged
أعاد صنع	v.remade
أعاد صياغة	v.restated@v.reworked@v.reformulated
أعاد فتح	v.reopened
أعاد كتابة	v.rewrote
أعاد مزج	v.remixed
أعاد ملء	v.refilled
أعاد نشر	v.republished
أعاصير	n+f.hurricanes@n+f.cyclones@n+f.tornadoes
أعاق	v.hampered@v.hindered@v.obstructed@v.impeded
أعاق النمو	v.stunted
أعباء	n+f.burdens@n+f.encumbrances
أعباء العمل	n+m.workloads
أعجاز	n+f.rumps
أعجب بـ	v.admired
أعجز	v.incapacitated
أعجوبة	n+f.marvel
أعد	v.prepared
أعداء	n+m.enemies@n+m.foes
أعداد أولية	n+m.primes
أعداد زوجية	n+m.evens
أعداد صحيحة	n+m.integers
أعدل	a.fairest
أعذار	n+f.excuses
أعراض	n+f.symptoms
أعراف	n+f.mores
أعز	a.dearest
أعزب	a+m.single@n+m.bachelor@a.unmarried
أعزل	a.unarmed
أعسر	n+m.lefty
أعشاب	n+f.herbs@n+f.grasses@n+f.herbals
أعشاب بحرية	n+m.seaweed
أعشاب ضارة	n+m.weeds
أعشار	n+f.tenths
أعشاش	n+f.nests
أعصاب	n+f.nerves
أعضاء	n+m.members@n+m.organs
أعضاء تناسلية	n+f.genitals@n+f.genitalia@n+f.privates
أعضاء داخليون	n+m.insiders
أعضاء ذكرية	n+m.penises
أعضاء كونغرس	n+m.congressmen
أعضاء مجلس	n+m.councillors@n+m.selectmen
أعضاء مجلس الشيوخ	n+m.senators
أعضاء مجلس بلدي	n+m.aldermen
أعطال	n+f.glitches@n+f.breakdowns@n+f.malfunctions
أعطني	v.gimme
أعطى	v.gave@v.accorded
أعظم	a.greater@a.greatest
أعفى	v.excused@v.exempted
أعقل	a.wiser
أعلام	n+f.flags
أعلاه	ad.above@ad.supra
أعلن	v.announced@v.proclaimed@v.publicized@v.publicised
أعلى	n+m.top@a.higher@a.highest@a+m.supreme@a.excelsior@a.superlative
أعلى صوتاً	a.louder@a.loudest
أعمار	n+f.ages@n+f.lifetimes
أعماق	n+f.depths
أعمال	n+f.works@n+f.businesses@n+m.biz
أعمال ترابية	n+f.earthworks
أعمال خشبية	n+m.woodwork
أعمال خطرة	n+f.stunts
أعمال درامية	n+f.dramas
أعمال زراعية	n+m.agribusiness
أعمال شاقة	n+f.labours@n+m.fags
أعمال شغب	n+f.riots
أعمال عدائية	n+f.hostilities
أعمال فنية	n+f.artworks@n+f.oeuvres
أعمال معدنية	n+f.metalwork
أعمال منزلية	n+f.chores@n+m.housework
أعمال نجارة	n+m.millwork
أعمال ورقية	n+m.paperwork
أعمام	n+m.uncles
أعمدة	n+f.columns@n+m.poles@n+f.pillars@n+f.shafts@n+f.cols
أعمدة دخان	n+f.plumes
أعمدة كريكت	n+f.wickets
أعمق	a.deeper@a.deepest@a.innermost
أعمى	a+m.blind@v.blinded@a.blinded
أعنة	n+f.reins
أعوام	n+m.years
أعياد	n+f.feasts
أعياد ميلاد	n+f.birthdays
أعيد توزيعه	v.redistributed
أغاثا	n+f.agatha
أغادير	n+f.agadir
أغاسي	n+m.agassi
أغام	v.clouded
أغاني	n+f.songs
أغانٍ ألمانية	n+f.lieder
أغانٍ فرنسية	n+f.chansons
أغانٍ قديمة	n+f.oldies
أغانٍ قصيرة	n+f.jingles
أغبى	a.dumbest@a.dumber
أغبياء	n+m.idiots@n+m.jerks
أغرا	n+f.agra
أغراض	n+f.purposes
أغرب	a.strangest
أغرق	v.overwhelmed@v.swamped
أغرى	v.tempted@v.lured
أغريبا	n+m.agrippa
أغريكولا	n+m.agricola
أغسطس	n+m.august@n+m.aug
أغشية	n+f.membranes
أغصان صغيرة	n+f.twigs
أغضب	v.outraged@v.irritated@v.angered@v.enraged@v.exasperated
أغطية	n+f.covers@n+f.caps@n+f.lids@n+f.coverings@n+m.housings@n+f.veils
أغطية أثاث	n+f.slipcovers
أغطية أسرة	n+f.bedspreads
أغطية رأس	n+f.hoods@n+f.headgear
أغطية عجلات	n+f.hubcaps
أغطية قماشية	n+f.tarps
أغطية وسائد	n+f.shams@n+f.pillowcases
أغلال	n+f.shackles
أغلبيات	n+f.majorities
أغلبية	n+f.majority@n+m.plurality
أغلبية ساحقة	n+f.landslide
أغلفة	n+f.skins@n+f.wrappers@n+f.casings
أغلق	v.closed@v.bolted
أغمدة	n+f.holsters
أغمق	a.darker
أغنام	n+f.sheep
أغنى	a.richest@a.richer@a.wealthiest
أغني	n+m.agni
أغنية	n+f.song@n+f.canzone
أغنية بحارة	n+f.shanty
أغنية فرنسية	n+f.chanson
أغنية قصيرة	n+f.ditty
أغنية منفردة	n+f.aria
أغنيس	n+f.agnes
أغنيو	n+m.agnew
أغوال	n+m.ghouls
أغورا	n+f.agora
أغوستين	n+m.agustin
أغوى	v.seduced
أغيري	n+m.aguirre
أغيلار	n+m.aguilar
أف	int.ugh@int.fie@int.yuk
أفارقة	n+m.africans
أفاريز	n+f.eaves@n+f.ledges
أفاعي البايثون	n+f.pythons
أفاعي بواء	n+f.boas
أفاعٍ	n+f.asps@n+f.vipers@n+f.serpents
أفاعٍ مجلجلة	n+f.rattlers
أفالون	n+f.avalon
أفخاذ	n+m.thighs
أفخاذ خنزير	n+f.hams
أفدنة	n+f.acres
أفراح	n+f.joys
أفراد	n+m.individuals@n+m.personnel
أفراد العائلة المالكة	n+m.royals
أفراس	n+f.mares
أفران	n+f.ovens@n+f.furnaces@n+f.kilns
أفران ميكروويف	n+f.microwaves
أفرز	v.secreted@v.excreted
أفرغ	v.emptied@v.unloaded@v.gutted
أفرغ الهواء	v.deflated
أفرو	n+m.afro
أفروديت	n+f.aphrodite
أفريقي	a+m.african@n+m.african@a.afro
أفريقيا	n+f.africa@n+f.afr
أفريقية	a+f.african@n+f.african
أفريكانا	n+f.africana
أفزع	v.horrified@v.dismayed
أفسد	v.screwed@v.corrupted@v.spoiled@v.messed@v.spoilt@v.botched@v.blighted
أفسس	n+m.eph@n+f.ephesus
أفسنتين	n+m.absinthe
أفشى	v.divulged
أفضل	a.best@ad.best@a.better@ad.better@n+m.superiors@n+m.bests
أفضلية	n+f.superiority
أفعال	n+f.actions@n+f.acts@n+f.deeds@n+m.verbs@n+f.doings
أفعواني	a.serpentine
أفعى	n+m.asp@n+f.viper@n+f.serpent@n+f.adder
أفعى بوا	n+f.boa
أفعى جانبية	n+m.sidewinder
أفعى جرس	n+m.rattlesnake
أفعى ماسية	n+m.diamondback
أفغان	n+m.afghans
أفغانستان	n+m.afghanistan
أفغاني	a.afghan@n+m.afghan@n+m.afghani@a.afghani
أفق	n+m.horizon@n+m.skyline
أفقد أنفاسه	v.winded
أفقر	a.poorest@a.poorer@v.impoverished
أفقي	a.horizontal
أفقياً	ad.horizontally
أفكار	n+f.ideas@n+f.thoughts@n+f.insights@n+f.notions
أفلاطون	n+m.plato
أفلاطوني	a.platonic
أفلام	n+f.movies@n+f.films@n+m.flicks
أفلام إثارة	n+f.thrillers
أفلام رعب	n+f.chillers
أفلام غربية	n+f.westerns
أفلام ناجحة	n+f.blockbusters
أفلام ناطقة	n+f.talkies
أفلام وثائقية	n+f.documentaries
أفلت من	v.eluded
أفنية	n+f.patios@n+f.atria
أفواج	n+m.cohorts@n+f.regiments
أفواه	n+f.mouths
أفوكادو	n+f.avocado@n+f.avo@n+m.avocados
أفون	n+f.avon
أفيري	n+m.avery
