अँधेरा कमरा	n+m.darkroom
अनजान	a.unaware@a.clueless@a.oblivious@a.uninitiated
अनजाने में	ad.inadvertently@a.unintentional@a.inadvertent@ad.unintentionally@ad.unwittingly@ad.unknowingly
अनदेखा	a.undiscovered@a.unnoticed@a.unobserved
अनदेखा करना	v.ignore@v.ignoring@v.overlook@v.ignores@v.disregarding
अनदेखा किया	v.ignored@v.overlooked
अनदेखी करना	v.overlooking
अनधिकार प्रवेश	n+m.trespassing
अनधिकृत	a.unauthorized@a.unauthorised
अनधिकृत कब्जा	n+m.squatting
अनन्य	a.exclusive@a.excl
अनपढ़	a.illiterate
अनपेक्षित	a.unintended@a.undetected
अनप्लग किया	v.unplugged
अनफ़िल्टर्ड	a.unfiltered
अनबाउंड	a.unbound
अनभिज्ञ	a.uninformed
अनम्य	a.inflexible
अनर्जित	a.unearned
अनलॉक	a.unlocked
अनस	n+m.anas
अनसुना	a.unheard@a.unsung
अनसुलझा	a.unresolved@a.unsolved
अनसेट करना	v.unset
अनाकर्षक	a.unattractive
अनाकार	a.amorphous
अनाचार	n+m.incest
अनाज	n+m.corn@n+m.grain@n+m.grains@n+m.cereal@n+m.cereals@n+m.grist
अनाड़ी	a.clumsy@a.gauche
अनातोलिया	n+f.anatolia
अनातोलियाई	a.anatolian
अनाथ	n+m.orphan@a.orphan@n+m.orphans@a.orphaned
अनाथ बनाया	v.orphaned
अनाथालय	n+m.orphanage
अनादर	n+m.disrespect@n+m.desecration
अनादर करना	v.disrespect
अनानास	n+m.pineapple
अनाम	a.unnamed@a.nameless@a.uncredited
अनायास	ad.spontaneously
अनार	n+m.pomegranate
अनावंटित	a.unallocated
अनावरण	n+m.unveiling
अनावरण करता है	v.unveils
अनावरण करना	v.unveil@v.unveiling
अनावरण किया	v.unveiled
अनावश्यक	a.unnecessary@a.redundant@a.needless@a.superfluous@a.gratuitous@a.unneeded@a.inessential
अनावश्यक रूप से	ad.unnecessarily@ad.needlessly
अनावश्यक वस्तु	n+m.inessential
अनावृत	a.unveiled
अनास्तासिया	n+f.anastasia
अनाहाइम	n+m.anaheim
अनिगमित	a.unincorporated
अनिच्छा	n+f.reluctance@n+f.unwillingness
अनिच्छा से	ad.reluctantly@ad.involuntarily
अनिच्छुक	a.reluctant@a.unwilling
अनिदान	a.undiagnosed
अनिद्रा	n+f.insomnia
अनिद्रा रोगी	n+m.insomniac
अनिद्राग्रस्त	a.insomniac
अनियंत्रणीय	a.uncontrollable
अनियंत्रित	a.rogue@a.rampant@a.uncontrolled@a.unchecked@a.unregulated@a.unrestrained
अनियमित	a.irregular@a.erratic@a.unregulated
अनियमित रूप से	ad.irregularly
अनियमितता	n+f.irregularity
अनियमितताएं	n+f.irregularities
अनियोजित	a.wildcat@a.unplanned
अनिरीक्षित	a.unaudited@a.unsupervised
अनिर्णायक	a.inconclusive
अनिर्णीत	a.undecided
अनिर्दिष्ट	a.unspecified
अनिर्धारित	a.unassigned@a.undetermined@a.unscheduled
अनिल	n+m.anil
अनिवार्य	a.mandatory@a.compulsory@a.imperative@a.indispensable@a.obligatory@a.inescapable
अनिवार्य करना	v.mandating
अनिवार्य किया	v.mandated
अनिवार्य भर्ती	n+f.conscription
अनिवार्य रूप से	ad.necessarily@ad.inevitably
अनिवार्यता	n+f.inevitability
अनिवार्यताएँ	n+m.imperatives
अनिवासी	a.nonresident@n+m.nonresident
अनिश्चय	n+f.indecision
अनिश्चित	a.uncertain@a.unsure@a.doubtful@a.indefinite@a.indeterminate@a.precarious
अनिश्चित काल के लिए	ad.indefinitely
अनिश्चितता	n+f.uncertainty@n+m.limbo
अनिश्चितताएँ	n+f.uncertainties
अनीता	n+f.anita
अनीलन	n+m.annealing
अनु	n+m.anu
अनुकरण	n+m.simulation@n+f.emulation
अनुकरण कर रहा	v.simulating
अनुकरण करता है	v.simulates
अनुकरण करना	v.simulated@v.simulate@v.emulate@v.imitate@v.emulating@v.emulates
अनुकरण किया	v.emulated
अनुकरणीय	a.exemplary
अनुकूल	a.favourable@a.conducive
अनुकूल बनाना	v.tailor
अनुकूल रूप से	ad.favourably
अनुकूलक	n+m.optimizers
अनुकूलन	n+m.optimization@n+m.conditioning@n+m.adaptation@n+m.customization@n+f.optimisation@n+f.optimizations@n+f.adaptations@n+f.customisation@n+f.customizations
अनुकूलनशीलता	n+f.adaptability
अनुकूलनीय	a.adaptable
अनुकूलित	a.personalized@a.customized@a.adapted@a.optimized@a.tailored@a.customised@a.optimised
अनुकूलित करता है	v.optimizes
अनुकूलित करना	v.customize@v.customise@v.optimize@v.adapt@v.optimizing@v.customizing@v.adapting@v.optimise@v.optimising
अनुकूलित किया	v.adapted@v.optimised
अनुकूलित होता है	v.adapts
अनुकूली	a.adaptive
अनुक्रम	n+f.sequence@n+m.sequences@n+f.seq
अनुक्रमण	n+m.indexing@n+f.sequencing
अनुक्रमणिका	n+f.index
अनुक्रमिक	a.sequential@a.sequent
अनुक्रमित	a.indexed@a.sequenced
अनुक्रमित किया	v.indexed@v.sequenced
अनुग्रह	n+m.grace
अनुग्रह करना	v.indulge
अनुचर	n+m.minions@n+m.minion@n+m.henchmen
अनुचर वर्ग	n+m.entourage
अनुचित	a.inappropriate@a.unfair@a.improper@a.unreasonable@a.undue@a.unwarranted@a.unjustified
अनुचित रूप से	ad.improperly@ad.unfairly@ad.unduly@ad.unreasonably@ad.inappropriately
अनुच्छेद	n+m.paragraph
अनुत्तरदायी	a.unresponsive
अनुत्तरित	a.unanswered
अनुत्पादक	a.unproductive
अनुदान	n+m.grant@n+m.grants
अनुदान देना	v.subsidizing
अनुदान प्राप्तकर्ता	n+m.grantee@n+m.grantees
अनुदानित	a.subsidized
अनुदैर्घ्य	a.longitudinal
अनुनाद	n+m.resonance@n+f.resonances
अनुनादक	n+m.resonator
अनुपचारित	a.untreated
अनुपयुक्त	a.unsuitable
अनुपयुक्त लोग	n+m.misfits
अनुपयुक्त व्यक्ति	n+m.misfit
अनुपयोगी	a.unhelpful@a.unusable
अनुपलब्ध	a.unavailable
अनुपलब्धता	n+f.unavailability
अनुपलब्धित	a.unrealized
अनुपस्थित	a.absent@a.absentee
अनुपस्थित व्यक्ति	n+m.absentee
अनुपस्थिति	n+f.absence@n+m.absenteeism
अनुपस्थितियाँ	n+f.absences
अनुपात	n+m.ratio@n+m.proportion@n+m.ratios@n+m.proportions
अनुपातिक	a.proportioned
अनुपातिक रूप से	ad.proportionately
अनुपालक	a.compliant
अनुपालन	n+m.compliance
अनुपालन करता है	v.complies
अनुपालन करना	v.comply@v.complying
अनुपालन किया	v.complied
अनुपूरक	n+m.supp
अनुप्रयोग	n+m.app
अनुप्रस्थ	a.transverse
अनुप्रस्थ काट	n+m.transects
अनुप्रस्थण	n+m.traversal
अनुबंध	n+m.contract@n+m.contracts@n+m.annex@n+m.covenant@n+m.covenants@n+m.annexes@n+f.indenture@n+m.contr
अनुबंध करना	v.contracting@v.contracted
अनुबंधात्मक रूप से	ad.contractually
अनुबंधित करना	v.indenture
अनुबिस	n+m.anubis
अनुभव	n+m.experience@n+m.experiences@n+m.exp
अनुभव करना	v.experience@v.experiencing
अनुभव किया	v.experienced
अनुभवजन्य	a.empirical
अनुभवजन्य रूप से	ad.empirically
अनुभवहीन	a.inexperienced
अनुभवात्मक	a.experiential
अनुभवी	a.experienced@a.veteran@a.seasoned
अनुभाग	n+m.section@n+m.sections
अनुभूत	a.perceived
अनुभूति	n+f.realisation
अनुभूतियां	n+f.realizations
अनुमत	a.allowed@a.permitted@a.permissible
अनुमति	n+f.license@n+f.permission@n+f.licence@n+f.authorization
अनुमति दी	v.allowed@v.permitted
अनुमति दे रहा	v.allowing
अनुमति देता है	v.allows@v.lets@v.permits
अनुमति देना	v.let@v.allow@v.permit@v.permitting
अनुमतियां	n+f.permissions
अनुमस्तिष्क	n+m.cerebellum
अनुमस्तिष्कीय	a.cerebellar
अनुमान	n+m.estimates@n+m.guess@n+m.estimate@n+m.assumption@n+m.estimation@n+f.projections@n+m.presumption@n+f.approximations@n+m.guesses@n+f.estimations@n+m.supposition@n+f.conjectures
अनुमान लगाता है	v.estimates@v.guesses
अनुमान लगाना	v.guess@v.estimate@v.approximate@v.estimating@v.anticipate@v.guessing@v.conjecture@v.presume@v.infer@v.speculate@v.approximating@v.speculating@v.extrapolate@v.inferring
अनुमान लगाया	v.estimated@v.guessed@v.inferred@v.deduced@v.approximated@v.speculated
अनुमानक	n+m.estimators
अनुमानिकी	n+f.heuristic
अनुमानित	a.estimated@a.projected@a.anticipated@a.predictable@a.presumed@a.speculative@a.ballpark@a.approximated@a.presumptive@a.extrapolated@a.approximates
अनुमानी	a.heuristic
अनुमानी विधि	n+f.heuristics
अनुमापन	n+f.titration
अनुमापांक	n+m.titres
अनुमेय	a.allowable
अनुमोदक	n+m.approver
अनुमोदन	n+f.approbation
अनुमोदन करना	v.approve@v.ratify
अनुमोदित	a.endorsed@a.ratified
अनुमोदित किया	v.sanctioned
अनुयायी	n+m.followers@n+m.follower@n+m.followings@n+m.adherent
अनुरक्षित	a.maintained
अनुरूप	a.analogue@a.conforming@a.consonant@n+m.analogues
अनुरूप हुआ	v.conformed
अनुरूप होता है	v.conforms
अनुरूप होना	v.conform@v.conforming
अनुरूपता	n+f.conformity@n+f.conformance@n+m.congruence
अनुरेखक	n+m.tracer
अनुरेखित	a.traced
अनुरोध	n+m.request@n+m.requests@n+m.req
अनुरोध करता है	v.requests
अनुरोध करना	v.request@v.requesting
अनुरोध किया	v.requested
अनुरोधकर्ता	n+m.requester
अनुरोधित	a.requested
अनुलग्नक	n+f.attachment
अनुवर्ती	n+m.followup@n+m.followups
अनुवाद	n+m.translation@n+m.translations@n+m.rendition@n+m.transl
अनुवाद करता है	v.translates
अनुवाद करना	v.translate@v.translating
अनुवाद किया	v.translated
अनुवाद रहित	a.untranslated
अनुवादक	n+m.translator@n+m.translators
अनुवादात्मक	a.translational
अनुवादित	a.translated@a.interpreted
अनुशंसित	a.recommended@a.advised
अनुशासन	n+f.discipline
अनुशासनात्मक	a.disciplinary
अनुशासित	a.disciplined
अनुशासित करता है	v.disciplines
अनुष्ठान	n+m.ceremony@n+m.ritual@n+m.rituals
अनुसंधान	n+m.research
अनुसमर्थन	n+f.ratification
अनुसरण	n+m.following@n+f.pursuance
अनुसरण करता है	v.follows@v.pursues@v.ensues
अनुसरण करना	v.follow@v.pursue@v.pursuing@v.ensue
अनुसरण किया	v.followed
अनुसरित	a.followed@a.pursued
अनुसार	n+m.accordance
अनुसूची	n+m.schedule@n+f.schedules
अनुस्मारक	n+m.reminder@n+m.reminders
अनूठा	a.irresistible
अनूठे ढंग से	ad.uniquely
अनेक	a.many@a.numerous
अनैच्छिक	a.involuntary
अनैच्छिक रूप से	ad.involuntarily
अनैतिक	a.immoral@a.unethical
अनैतिकता	n+f.immorality
अनोखा	a.unique@a.unusual@a.exotic@a.quirky
