অ	a.non
অধিকার করে	vt.occupies
অধিকার দেওয়া	v.entitled@v.franchising@v.entitle
অধিকার দেয়	vt.invests@v.entitles
অধিকার বঞ্চিত	v.disenfranchised
অধিকার সুবিধা	n+m.easement
অধিকার হরণ	n+f.infringement
অধিকারী	a.entitled@a.possessive@n+m.possessor
অধিকৃত নয়	a.unoccupied
অধিগ্রহণ	n+f.acquisition@n+f.appropriations@n+f.acquisitions@n+f.accession@n+m.takeover@n+m.buyout@n+f.accessions@n+m.takeovers
অধিগ্রহণ করা	v.acquire@v.acquiring
অধিগ্রহণকারী	n+m.acquirer
অধিদপ্তর	n+m.directorates
অধিনায়ক	n+m.skipper
অধিপতি	n+m.overlord
অধিপরিবার	n+f.superfamily
অধিবাসী	n+m.inhabitants@n+m.occupant@n.dwellers@n+m.inhabitant@n+m.denizens
অধিবিদ্যা	n+f.metaphysics
অধিবিদ্যার	a.metaphysical
অধিবৃক্ক সংক্রান্ত	a.adrenal
অধিবেশন	n+f.session@n+f.sessions@n+m.sittings
অধিভুক্ত	n+m.affiliates@a.affiliated
অধিভুক্ত করা	v.affiliate
অধিভুক্তি	n+f.affiliation@n+f.affiliations
অধীক্ষক	n+m.superintendents
অধীন	a+m.subject@a+f.subject@a.subservient
অধীন করছে	v.subjecting
অধীন করা	v.subjected
অধীন করে	v.subordinates
অধীনতা	n+f.subordination@n+f.subjection
অধীনস্থ	a.subsidiary@a.subordinate
অধীনস্থ করেছিল	v.subordinated
অধীনে	prep.under
অধৈর্য	a.impatient@n+f.impatience
অধৈর্যভাবে	ad.impatiently
অধোগমন	n+f.subduction
অধোমুখে	ad.downwards
অধ্যক্ষ	n+m.principals@n+m.deans
অধ্যবসায়	n+f.persistence@n+m.diligence@n+m.perseverance@n+f.tenacity
অধ্যবসায় করা	v.persevere
অধ্যবসায়ী	a.persistent@a.tenacious@a.diligent@a.dogged@a.industrious
অধ্যবসায়ের সাথে	ad.diligently
অধ্যয়ন	n+f.study@n+f.studies@n+m.studying
অধ্যয়ন করা	v.studied
অধ্যয়ন করে	v.studies
অধ্যয়ন সঙ্গীত	n+f.etudes
অধ্যয়নকৃত	a.studied
অধ্যাত্মবাদ	n+m.spiritualism
অধ্যাদেশ	n+f.ordinance@n+f.ordinances
অধ্যাপক	n+m.professor@n+m.professors@n+m.prof@n+m.dons
অধ্যাপক পদ	n+m.professorship
অধ্যাপনা	n+f.professorship
অধ্যাপিকা	n+f.professor
অধ্যায়	n+m.chapter@n+m.chapters
অনকোজিন	n+m.oncogene
অনকোলজি	n+f.oncology
অনকোলজিস্ট	n+m.oncologist@n+m.oncologists
অনগ্রসর	a.disadvantaged
অনধিকার প্রবেশ	n+m.trespass@n+m.encroachment@n+m.trespassing
অনধিকার প্রবেশ করছে	v.trespassing
অনধিকার প্রবেশ করা	vi.infringe@vi.tamper@vi.trespass
অনধিকার প্রবেশকারী	n+m.crashers@a.intrusive
অনধিকারচর্চাকারী	a.interfering@a.infringing
অনধিগম্য	a.unreachable
অননুমোদন	n+f.disapproval
অননুমোদিত	a.unauthorized@a.unauthorised@a.wildcat@a.unlicensed
অনন্ত	n+m.infinity@a.everlasting
অনন্তকাল	n+f.eternity
অনন্তকাল ধরে	ad.eternally
অনন্য	a+m.unique@a+f.unique
অনন্যতা	n+f.uniqueness
অনন্যভাবে	ad.uniquely
অনভিজ্ঞ	a.naive@a.inexperienced
অনমনীয়	a.rigid@a.adamant@a.uncompromising@a.inflexible@a.unrelenting@a.diehard
অনমনীয়তা	n+f.rigidity
অনর্গল	a.fluent
অনর্গলভাবে	ad.fluently
অনলাইন	a.online
অনলাইন সেমিনার	n+m.webinar
অনলাইনে	ad.online
অনস্বীকার্য	a.undeniable
অনস্বীকার্যভাবে	ad.undeniably
অনাকর্ষণীয়	a.unattractive
অনাকাঙ্ক্ষিত	a.unexpected@a.unwanted@a.undesirable@a.unwelcome@a.undesired
অনাক্রম্য	a.immune
অনাক্রম্যতা	n+f.immunity@n+f.immunities
অনাখোলা	a.unopened
অনাগ্রহ	n+f.indifference@n+m.apathy
অনাগ্রহী	a.disinterested
অনাড়ম্বর	a.informal@a.understated
অনাথ	n+m.orphan@n+m.orphans
অনাথাশ্রম	n+f.orphanage
অনানুষ্ঠানিক	a.casual@a.informal@a.unofficial
অনানুষ্ঠানিকভাবে	ad.casually@ad.informally
অনাবশ্যক	a.unnecessary@a.needless
অনাবাসিক	n+m.nonresident@a.nonresidential
অনাবিষ্কৃত	a.undiscovered@a.undetected@a.untapped@a.unexplored
অনাবৃত অবস্থা	n+m.undress
অনাবৃত করছে	v.baring
অনাবৃষ্টি	n+m.drought@n+m.droughts
অনামা	a.unnamed
অনায়াস	a.effortless
অনায়াসে	ad.effortlessly
অনার্স	n+m.hons
অনার্স ছাত্র	n+m.undergraduates
অনাহার	n+f.starvation
অনাহারে কষ্ট পাচ্ছে	v.starving
অনাহারে মরা	vi.starve
অনাহারে মরেছিল	v.starved
অনিক্স	n+m.onyx
অনিচ্ছা	n+m.reluctance@n+m.aversion@n+f.unwillingness
অনিচ্ছাকৃত	a.involuntary@a.unintended@a.unintentional@a.inadvertent
অনিচ্ছাকৃত হত্যা	n+m.manslaughter
অনিচ্ছাকৃতভাবে	ad.inadvertently@ad.unintentionally@ad.unwittingly@ad.involuntarily
অনিচ্ছায়	ad.reluctantly
অনিচ্ছুক	a.reluctant@a.unwilling@a.averse
অনিতা	n+f.anita
অনিদ্র	a.sleepless
অনিদ্রা	n+f.insomnia
অনিদ্রায় আক্রান্ত	a.insomniac
অনিবন্ধিত	a.unregistered@a.unincorporated
অনিবার্য	a.inevitable@a.unavoidable@a.inescapable
অনিবার্যতা	n+f.inevitability
অনিবার্যভাবে	ad.necessarily@ad.inevitably@ad.perforce
অনিবাসী	a.nonresident
অনিয়ন্ত্রণ	n+m.deregulation
অনিয়ন্ত্রিত	a.uncontrolled@a.unchecked@a.wayward@a.unregulated@a.uncontrollable@a.unsupervised@a.deregulated
অনিয়ম	n.irregularities
অনিয়মিত	a.irregular@a.sporadic@a.erratic@a.infrequent@a.haphazard
অনিয়মিত কর্মী	n+m.casuals
অনিয়মিত যোদ্ধা	n+m.guerrillas
অনিয়মিত রূপের	a.freeform
অনিয়মিত হৃদস্পন্দন	n+f.arrhythmia
অনিয়মিততা	n+f.irregularity
অনিয়মিতভাবে	ad.irregularly
অনিরাপদ	a.unsafe@a.insecure
অনিরীক্ষিত	a.unaudited
অনির্ণীত	a.undiagnosed
অনির্দিষ্ট	a.undefined@a.unspecified@a.indefinite@a.nonspecific
অনির্দিষ্ট আকারের	a.amorphous
অনির্দিষ্টকালের জন্য	ad.indefinitely
অনির্দিষ্টতা	n+f.randomness
অনির্ধারিত	a.undefined@n+m.wildcard@a.unset@a.unassigned@a.undetermined@a.unplanned@a.indeterminate@a.unscheduled@a.unallocated
অনির্বাচিত করা হয়েছে	v.deselected
অনির্ভরযোগ্য	a.unreliable
অনির্ভুল	a.inaccurate@a.imprecise
অনিল	n+m.anil
অনিশ্চয়তা	n+f.uncertainty@n+f.suspense@n+f.uncertainties@n+f.insecurity@n+m.limbo@n+f.vagueness@n+f.insecurities
অনিশ্চিত	a.uncertain@a.unclear@a.unsure@a.unpredictable@a.doubtful@a.dubious@a.undecided@a.undetermined@a.unconfirmed@a.indeterminate@a.precarious@a.inconclusive
অনিশ্চিতভাবে	ad.tentatively
অনুকরণ	n+m.simulation@n+f.simulations@n+f.emulation@n+f.imitation@n+f.imitations@n+f.impersonation
অনুকরণ করছে	v.imitating@v.emulating@v.mimicking
অনুকরণ করল	v.emulated
অনুকরণ করা	v.simulated@vt.ape@vt.simulate@vt.emulate@v.simulating@vt.imitate@v.impersonate
অনুকরণ করা হয়েছে	v.imitated
অনুকরণ করে	v.simulates@v.mimics@v.emulates
অনুকরণকারী	n+m.emulator@a.wannabe@n+m.copycat@n+m.imitators@n+m.impersonators
অনুকরণীয়	a.exemplary
অনুকরণীয় নয়	a.inimitable
অনুকারক	n+m.simulator
অনুকারী	n+m.mimic
অনুকারী পাখি	n+m.mockingbird
অনুকূল	a.favourable@a.conducive@a.congenial
অনুকূল নয়	a.unfavourable
অনুকূলভাবে	ad.favourably
অনুকূলিত	a.optimised
অনুকূলের নিচে	a.suboptimal
অনুকৃত	a.emulated
অনুক্ত	a.unspoken
অনুক্রমিক	a.sequenced
অনুগত	a.compliant@a.loyal@a.submissive@a.obedient@a.leal
অনুগত ব্যক্তি	n+m.loyalist
অনুগত সমর্থক	n+m.loyalists
অনুগামী	n+m.followers@n+m.follower@n+m.adherents
অনুগ্রহ	n+f.grace@n+m.favour@n.favours@n+f.graces
অনুগ্রহ করে	v.please
অনুগ্রহ করেছে	v.graced
অনুগ্রহপ্রাপ্ত	a.favoured
অনুঘটক	n+m.catalyst@a.catalytic@n.catalysts
অনুঘটন	n+f.catalysis
অনুচর	n+m.retainer@n.stooges@n+m.minions@n+m.minion@n+m.retainers@n+m.henchmen
অনুচিত	a.improper@a.undue
অনুচিতভাবে	ad.improperly@ad.inappropriately
অনুচ্ছেদ	n+m.paragraph@n+m.passage@n+m.paragraphs@n+m.clauses@n+m.passages@n+m.paras
অনুজ্জ্বল করা	v.dimmed
অনুজ্জ্বল করে	v.dims
অনুতাপ	n+m.repentance@n+f.remorse
অনুতাপ করা	vt.rue@vt.regret@vi.repent
অনুতাপ করেছিল	v.regretted
অনুদান	n+m.grant@n+m.grants@n+m.donations@n+m.donation@n+f.endowment@n+f.subsidy
অনুদান দেওয়া	v.donate
অনুদান দেয়	vt.donates
অনুদানপ্রাপ্ত	n+m.grantee@n.grantees
অনুধাবন করে	v.understands
অনুনয়	n+m.pleas
অনুনয় করা	v.pleading@v.beseech
অনুনয় করেছিল	v.begged
অনুন্নত	a.undeveloped@a.underdeveloped
অনুন্নত এলাকা	n+m.backwater
অনুপযুক্ত	a.inappropriate@a.ineligible@a.unsuitable
অনুপযুক্ত ব্যক্তি	n+m.misfit
অনুপযুক্তভাবে	ad.incorrectly
অনুপলব্ধ	a.unavailable
অনুপলব্ধতা	n+f.unavailability
অনুপস্থিত	v.missing@a.absent@a.absentee@n.awol
অনুপস্থিত ব্যক্তি	n+m.absentee
অনুপস্থিতি	n+f.absence@n+f.defaults@n+f.misses@n+f.absences@n+m.absenteeism
অনুপস্থিতির প্রমাণ	n+m.alibi
অনুপাত	n+m.ratio@n+f.proportion@n+m.ratios@n+f.proportions@n+f.rata
অনুপার্জিত	a.unearned
অনুপ্রবেশ	n+f.penetration@n+f.intrusion@n+f.infiltration@n+m.invasions@n+f.inroads@n+f.intrusions@n+f.incursions@n+f.incursion
অনুপ্রবেশ করছে	v.invading
অনুপ্রবেশ করা	vt.invade@v.infiltrate@v.intrude@v.infiltrating
অনুপ্রবেশ করেছে	v.invaded@v.infiltrated
অনুপ্রবেশকারী	a.invasive@n+m.intruder@n+m.intruders
অনুপ্রস্থ	a.transverse
অনুপ্রস্থ কাটা	v.crosscut
অনুপ্রাণিত	a.inspired@a.motivated@a.spurred
অনুপ্রাণিত করছে	v.motivating
অনুপ্রাণিত করা	v.encourage@v.inspired@v.motivated@vt.inspire@v.inspiring@vt.motivate
অনুপ্রাণিত করে	vt.inspires@v.motivates
অনুপ্রেরণা	n+f.inspiration@n+f.motivation@n.inspirations
অনুপ্রেরণাদায়ক	a.inspiring@a.motivating
অনুপ্রেরণামূলক	a.inspirational@a.motivational
অনুবর্তী	a.subsequent@a.sequent
অনুবাদ	n+f.translation@n+m.interpretation@n+f.translations@n+m.paraphrasing@n.transl
অনুবাদ করা	v.translate@v.translated@v.translates@v.translating
অনুবাদ করে	vt.interprets
অনুবাদক	n+m.translator@n+m.translators
অনুবাদমূলক	a.translational
অনুবাদহীন	a.untranslated
অনুবাদিত	a.translated
অনুভব করছে	v.feeling
অনুভব করা	v.feel@v.sense@v.feels@v.sensing@vt.senses@vt.perceive@v.perceiving
অনুভব করে	v.perceives
অনুভব করেছিল	v.felt@v.sensed
অনুভবযোগ্য	a.perceptible
অনুভূত	a.perceived@a.sensed
অনুভূতি	n+m.feel@n+m.sense@n+m.feeling@n+m.feels@n+f.feelings@n+f.emotions@n+f.emotion@n+f.sensation@n+f.sentiment@n+f.vibe@n+f.sensations@n+m.sentiments@n+f.vibes@n+m.sensibility@n+f.sensibilities
অনুভূতিপ্রধান	a.sentimental
অনুভূতিমূলক	a.affective
অনুভূমিক	a.horizontal
অনুভূমিকভাবে	ad.horizontally
অনুমতি	n+f.permission@n+m.permits@n+f.permissions@n+m.clearances@n+f.admittance
অনুমতি দিয়েছে	v.licenced
অনুমতি দেওয়া	v.let@v.allow@v.permit@v.allowing@v.lets@v.permitted@v.permits@v.letting@v.permitting
অনুমতি দেওয়া হয়েছে	v.allowed
অনুমতি দেয়	v.allows
অনুমতি প্রদান	n+f.licensing
অনুমতিপত্র	n+m.license@n+m.permit@n+m.licence@n+f.licences
অনুমতিপ্রাপ্ত	n+m.licensees
অনুমান	n+m.estimates@n+m.guess@n+m.estimate@n+m.projection@n+f.assumption@n+f.assumptions@n+f.hypothesis@n+f.estimation@n+f.projections@n+f.deduction@n+f.approximation@n+f.premise@n+f.speculation@n+m.deductions@n+f.inference@n+m.anticipation@n+m.guessing@n+f.hypotheses@n+f.presumption@n+f.conjecture@n.inferences@n+f.extrapolation@n+f.speculations@n+f.estimations@n+m.guesswork@n+f.supposition@n+m.hunch@n+f.conjectures@n.hyp
অনুমান করছে	v.figuring@v.gauging@v.speculating
অনুমান করল	v.hypothesized@v.speculated
