the	art+m.der@art+f.die@art+n.das
entertainment	n+f.Unterhaltung
agreement	n+f.Vereinbarung@n+m.Vertrag@n+f.Zustimmung
format	n+n.Format@v.formatieren
least	ad.am wenigsten@a+m.geringster@a+f.geringste@a+n.geringstes
society	n+f.Gesellschaft
months	n+m.Monate
log	n+n.Protokoll@n+m.Baumstamm@v.protokollieren
safety	n+f.Sicherheit
friends	n+m.Freunde
sure	a.sicher@ad.sicher
trade	n+m.Handel@n+n.Gewerbe@v.handeln
edition	n+f.Ausgabe@n+f.Auflage@n+f.Edition
cars	n+n.Autos@n+m.Wagen
messages	n+f.Nachrichten@n+f.Mitteilungen
marketing	n+n.Marketing@n+f.Vermarktung
tell	v.erzählen@v.sagen
further	ad.weiter@a+m.weiterer@a+f.weitere@a+n.weiteres
updated	a.aktualisiert@v.aktualisierte
association	n+f.Vereinigung@n+m.Verband@n+f.Assoziation
able	a.fähig@a.imstande
having	v.habend
provides	v.bietet@v.stellt bereit
david	n+m.David
fun	n+m.Spaß@a.lustig
already	ad.schon@ad.bereits
green	a+m.grüner@a+f.grüne@a+n.grünes@n+n.Grün
studies	n+f.Studien@v.studiert
close	a+m.naher@a+f.nahe@a+n.nahes@v.schließen@ad.nah
common	a.gemeinsam@a.üblich@a+m.gewöhnlicher@a+f.gewöhnliche@a+n.gewöhnliches
drive	n+f.Fahrt@n+n.Laufwerk@n+m.Antrieb@v.fahren@v.treiben
specific	a.spezifisch@a+m.bestimmter@a+f.bestimmte@a+n.bestimmtes
several	a.mehrere@pron.einige
gold	n+n.Gold@a+m.goldener@a+f.goldene@a+n.goldenes
feb	n+m.Feb@n+m.Februar
living	n+n.Leben@n+m.Lebensunterhalt@a.lebend@v.lebend
sep	n+m.Sep@n+m.September
collection	n+f.Sammlung@n+f.Kollektion
called	v.genannt@v.rief
short	a+m.kurzer@a+f.kurze@a+n.kurzes
arts	n+f.Künste
lot	n+n.Los@n+f.Menge@n+m.Haufen
ask	v.fragen@v.bitten
display	n+f.Anzeige@n+n.Display@v.anzeigen@v.zeigen
limited	a.begrenzt@a.limitiert
powered	a.angetrieben@v.angetrieben
solutions	n+f.Lösungen
means	n+n.Mittel@v.bedeutet
director	n+m.Direktor@n+m.Regisseur@n+f.Direktorin
daily	a.täglich@ad.täglich
beach	n+m.Strand
past	n+f.Vergangenheit@a+m.vergangener@a+f.vergangene@a+n.vergangenes@prep.vorbei
natural	a.natürlich
whether	conj.ob
due	a.fällig@prep.wegen
electronics	n+f.Elektronik
five	n+f.Fünf@a.fünf
upon	prep.auf@prep.über
period	n+f.Periode@n+m.Zeitraum@n+m.Punkt
planning	n+f.Planung@v.planend
database	n+f.Datenbank
says	v.sagt
official	a.offiziell@a.amtlich@n+m.Beamter
weather	n+n.Wetter
mar	n+m.März@v.verunstalten
land	n+n.Land@n+m.Boden@v.landen
average	n+m.Durchschnitt@a.durchschnittlich
done	a.fertig@v.getan@a.erledigt
technical	a.technisch
window	n+n.Fenster
france	n+n.Frankreich
pro	n+m.Profi@prep.pro@a.professionell
region	n+f.Region@n+n.Gebiet
island	n+f.Insel
record	n+m.Rekord@n+f.Aufnahme@n+f.Akte@v.aufnehmen@v.aufzeichnen
direct	a.direkt@v.leiten@v.richten
microsoft	n+n.Microsoft
conference	n+f.Konferenz@n+f.Tagung
environment	n+f.Umwelt@n+f.Umgebung
records	n+f.Aufzeichnungen@n+f.Akten@v.zeichnet auf
st	n+f.Straße@n+m.Sankt
district	n+m.Bezirk@n+m.Distrikt
calendar	n+m.Kalender
costs	n+f.Kosten@v.kostet
style	n+m.Stil@n+f.Art@v.stylen
front	n+f.Front@n+f.Vorderseite@a+m.vorderer@a+f.vordere@a+n.vorderes
statement	n+f.Aussage@n+f.Erklärung@n+m.Kontoauszug
update	n+n.Update@n+f.Aktualisierung@v.aktualisieren
parts	n+m.Teile
aug	n+m.Aug@n+m.August
ever	ad.jemals@ad.je
downloads	n+m.Downloads@v.lädt herunter
early	a+m.früher@a+f.frühe@a+n.frühes@ad.früh
miles	n+f.Meilen
sound	n+m.Klang@n+m.Ton@n+n.Geräusch@v.klingen
resource	n+f.Ressource@n+n.Hilfsmittel
present	n+n.Geschenk@n+f.Gegenwart@a+m.anwesender@a+f.anwesende@a+n.anwesendes@v.präsentieren
applications	n+f.Anwendungen@n+f.Bewerbungen
either	conj.entweder@ad.auch
ago	ad.vor
document	n+n.Dokument@n+f.Urkunde@v.dokumentieren
word	n+n.Wort
works	n+f.Werke@v.funktioniert@v.arbeitet
material	n+n.Material@n+m.Stoff
bill	n+f.Rechnung@n+m.Gesetzentwurf@n+m.Geldschein
apr	n+m.Apr@n+m.April
written	a.geschrieben@v.geschrieben
talk	n+n.Gespräch@n+m.Vortrag@v.sprechen@v.reden
federal	a.föderativ@a.bundes
hosting	n+n.Hosting@v.hostend
rules	n+f.Regeln@v.regiert
final	a.endgültig@a+m.letzter@a+f.letzte@a+n.letztes@n+n.Finale
adult	n+m.Erwachsener@a.erwachsen
tickets	n+f.Tickets@n+f.Eintrittskarten@n+f.Fahrkarten
thing	n+n.Ding@n+f.Sache
centre	n+n.Zentrum@n+f.Mitte
requirements	n+f.Anforderungen
via	prep.über@prep.via
cheap	a+m.billiger@a+f.billige@a+n.billiges@a+m.günstiger@a+f.günstige@a+n.günstiges
nude	a.nackt@n+m.Akt
kids	n+n.Kinder
finance	n+f.Finanz@n+n.Finanzwesen@v.finanzieren
true	a.wahr@a+m.echter@a+f.echte@a+n.echtes
minutes	n+f.Minuten@n+n.Protokoll
else	ad.sonst@conj.andernfalls
mark	n+f.Marke@n+m.Zeichen@n+m.Mark@v.markieren
third	a+m.dritter@a+f.dritte@a+n.drittes@n+n.Drittel
rock	n+m.Fels@n+m.Stein@n+m.Rock@v.schaukeln
gifts	n+n.Geschenke
europe	n+n.Europa
reading	n+n.Lesen@n+f.Lesung@v.lesend
topics	n+n.Themen
bad	a+m.schlechter@a+f.schlechte@a+n.schlechtes@a+m.böser@a+f.böse@a+n.böses
individual	n+n.Individuum@n+m.Einzelner@a.individuell@a+m.einzelner@a+f.einzelne@a+n.einzelnes
tips	n+m.Tipps@n+f.Spitzen
plus	prep.plus@n+n.Plus@conj.und
auto	n+n.Auto@a.automatisch
cover	n+f.Abdeckung@n+m.Umschlag@n+n.Cover@v.abdecken@v.bedecken
usually	ad.gewöhnlich@ad.normalerweise
edit	v.bearbeiten@v.editieren@n+f.Bearbeitung
together	ad.zusammen@ad.gemeinsam
videos	n+n.Videos
percent	n+n.Prozent
fast	a+m.schneller@a+f.schnelle@a+n.schnelles@ad.schnell
function	n+f.Funktion@v.funktionieren
fact	n+f.Tatsache@n+n.Faktum
unit	n+f.Einheit
getting	v.bekommend@v.erhaltend
global	a.global@a.weltweit
tech	n+f.Technik@n+f.Technologie
meet	v.treffen@n+n.Treffen
far	a+m.weit@a+f.weite@a+n.weites@ad.weit
economic	a.wirtschaftlich@a.ökonomisch
player	n+m.Spieler@n+m.Player
projects	n+n.Projekte@v.projiziert
lyrics	n+m.Liedtext@n+f.Texte
often	ad.oft@ad.häufig
subscribe	v.abonnieren@v.anmelden
submit	v.einreichen@v.absenden@v.unterwerfen
germany	n+n.Deutschland
amount	n+f.Menge@n+m.Betrag
watch	n+f.Uhr@n+f.Armbanduhr@v.beobachten@v.ansehen
included	a.enthalten@v.enthielt
feel	v.fühlen@n+n.Gefühl
though	conj.obwohl@ad.jedoch
bank	n+f.Bank
risk	n+n.Risiko@n+f.Gefahr@v.riskieren
thanks	n+m.Dank@int.danke
everything	pron.alles
deals	n+n.Angebote@n+m.Geschäfte@v.handelt
various	a.verschiedene@a.diverse
words	n+n.Wörter
linux	n+n.Linux
jul	n+m.Jul@n+m.Juli
production	n+f.Produktion@n+f.Herstellung
commercial	a.kommerziell@a.geschäftlich@n+m.Werbespot
james	n+m.James
weight	n+n.Gewicht
town	n+f.Stadt@n+m.Ort
heart	n+n.Herz
advertising	n+f.Werbung@v.werbend
received	v.erhielt@a.erhalten
choose	v.wählen@v.auswählen
treatment	n+f.Behandlung
newsletter	n+m.Newsletter@n+m.Rundbrief
archives	n+n.Archive
points	n+m.Punkte@v.zeigt
knowledge	n+n.Wissen@n+f.Kenntnis
magazine	n+f.Zeitschrift@n+n.Magazin
error	n+m.Fehler@n+m.Irrtum
camera	n+f.Kamera
jun	n+m.Jun@n+m.Juni
girl	n+n.Mädchen@n+f.Frau
currently	ad.derzeit@ad.aktuell
construction	n+m.Bau@n+f.Konstruktion@n+f.Bauarbeit
toys	n+n.Spielzeug@n+n.Spielsachen
registered	a.registriert@v.registrierte
clear	a+m.klarer@a+f.klare@a+n.klares@v.klären@v.löschen
golf	n+n.Golf
receive	v.erhalten@v.empfangen
domain	n+f.Domäne@n+f.Domain@n+n.Gebiet
methods	n+f.Methoden
chapter	n+n.Kapitel
makes	v.macht
protection	n+m.Schutz@n+f.Protektion
policies	n+f.Richtlinien@n+f.Policen
loan	n+n.Darlehen@n+m.Kredit@v.leihen
wide	a+m.breiter@a+f.breite@a+n.breites@a+m.weiter@a+f.weite@a+n.weites
beauty	n+f.Schönheit
manager	n+m.Manager@n+m.Leiter@n+f.Managerin
india	n+n.Indien
position	n+f.Position@n+f.Stellung@n+m.Standpunkt@v.positionieren
taken	v.genommen@a.eingenommen
sort	n+f.Art@n+f.Sorte@v.sortieren
listings	n+f.Listen@n+m.Einträge
models	n+n.Modelle
michael	n+m.Michael
known	a.bekannt@v.gekannt
half	n+f.Hälfte@a.halb@ad.halb
cases	n+m.Fälle@n+f.Kisten
step	n+m.Schritt@n+f.Stufe@v.treten
engineering	n+n.Ingenieurwesen@n+f.Technik
florida	n+n.Florida
simple	a+m.einfacher@a+f.einfache@a+n.einfaches
quick	a+m.schneller@a+f.schnelle@a+n.schnelles@ad.schnell
none	pron.keiner@pron.keine@pron.keines@pron.nichts
wireless	a.drahtlos@a.kabellos@n+n.WLAN
license	n+f.Lizenz@n+f.Genehmigung@v.lizenzieren
paul	n+m.Paul
friday	n+m.Freitag
lake	n+m.See
whole	a+m.ganzer@a+f.ganze@a+n.ganzes@n+n.Ganze
annual	a.jährlich@a+m.alljährlicher@a+f.alljährliche@a+n.alljährliches
published	a.veröffentlicht@v.veröffentlichte
later	ad.später@a+m.späterer@a+f.spätere@a+n.späteres
basic	a.grundlegend@a+m.einfacher@a+f.einfache@a+n.einfaches@a.basic
sony	n+n.Sony
shows	n+f.Shows@n+f.Sendungen@v.zeigt
corporate	a.geschäftlich@a.unternehmerisch
google	n+n.Google@v.googeln
church	n+f.Kirche
method	n+f.Methode@n+n.Verfahren
purchase	n+m.Kauf@n+f.Anschaffung@v.kaufen
customers	n+m.Kunden@n+f.Kundinnen
active	a.aktiv@a+m.aktiver@a+f.aktive@a+n.aktives
response	n+f.Antwort@n+f.Reaktion
practice	n+f.Praxis@n+f.Übung@v.üben@v.praktizieren
hardware	n+f.Hardware
figure	n+f.Figur@n+f.Zahl@n+f.Gestalt@v.rechnen
materials	n+n.Materialien@n+m.Stoffe
fire	n+n.Feuer@n+m.Brand@v.feuern
holiday	n+m.Urlaub@n+m.Feiertag
chat	n+m.Chat@n+f.Unterhaltung@v.chatten
enough	a.genug@ad.genug
designed	a.entworfen@v.entwarf
along	prep.entlang@ad.mit
among	prep.unter@prep.zwischen
death	n+m.Tod
writing	n+n.Schreiben@n+f.Schrift@v.schreibend
speed	n+f.Geschwindigkeit@n+n.Tempo@v.beschleunigen
countries	n+n.Länder
loss	n+m.Verlust
face	n+n.Gesicht@n+f.Fläche@v.gegenüberstehen
brand	n+f.Marke@n+n.Brandzeichen
discount	n+m.Rabatt@n+m.Preisnachlass@v.rabattieren
higher	a+m.höherer@a+f.höhere@a+n.höheres
effects	n+f.Effekte@n+f.Auswirkungen
created	v.erstellt@v.schuf@a.erschaffen
remember	v.erinnern@v.sich erinnern
standards	n+m.Standards@n+f.Normen
oil	n+n.Öl
bit	n+n.Bit@n+n.Stück@n+n.bisschen
yellow	a+m.gelber@a+f.gelbe@a+n.gelbes@n+n.Gelb
political	a.politisch
increase	n+f.Erhöhung@n+f.Zunahme@v.erhöhen@v.steigern
advertise	v.werben@v.inserieren
kingdom	n+n.Königreich
base	n+f.Basis@n+f.Grundlage@v.basieren
near	prep.nahe@a+m.naher@a+f.nahe@a+n.nahes@ad.in der Nähe
environmental	a.umwelt@a.ökologisch
thought	n+m.Gedanke@n+f.Überlegung@v.dachte
stuff	n+n.Zeug@n+m.Stoff@v.stopfen
french	a.französisch@n+n.Französisch
storage	n+f.Lagerung@n+m.Speicher
japan	n+n.Japan
doing	v.tuend@v.machend
loans	n+n.Darlehen@n+m.Kredite
shoes	n+m.Schuhe
entry	n+m.Eintrag@n+m.Eingang@n+f.Einreise
stay	n+m.Aufenthalt@v.bleiben
nature	n+f.Natur
orders	n+f.Bestellungen@n+m.Befehle@v.bestellt
availability	n+f.Verfügbarkeit
africa	n+n.Afrika
summary	n+f.Zusammenfassung@n+n.Resümee
turn	n+f.Wende@n+m.Drehen@v.drehen@v.wenden
mean	v.meinen@v.bedeuten@a+m.gemeiner@a+f.gemeine@a+n.gemeines
growth	n+n.Wachstum
notes	n+f.Notizen@n+f.Anmerkungen@v.notiert
agency	n+f.Agentur@n+n.Amt
king	n+m.König
monday	n+m.Montag
european	a.europäisch@n+m.Europäer
activity	n+f.Aktivität@n+f.Tätigkeit
copy	n+f.Kopie@n+n.Exemplar@v.kopieren
although	conj.obwohl
drug	n+f.Droge@n+n.Medikament@n+n.Arzneimittel
pics	n+n.Bilder@n+n.Fotos
western	a+m.westlicher@a+f.westliche@a+n.westliches@n+m.Western
income	n+n.Einkommen@n+f.Einnahme
force	n+f.Kraft@n+f.Gewalt@v.zwingen
cash	n+n.Bargeld@n+f.Kasse
employment	n+f.Beschäftigung@n+f.Anstellung
overall	a.gesamt@ad.insgesamt@n+m.Overall
bay	n+f.Bucht
river	n+m.Fluss
commission	n+f.Kommission@n+f.Provision
package	n+n.Paket@n+f.Verpackung
contents	n+m.Inhalt@n+n.Inhaltsverzeichnis
seen	v.gesehen
players	n+m.Spieler
engine	n+m.Motor@n+f.Maschine@n+f.Suchmaschine
port	n+m.Hafen@n+m.Port
album	n+n.Album
regional	a.regional
stop	n+m.Stopp@n+f.Haltestelle@v.stoppen@v.aufhören
supplies	n+m.Vorräte@n+f.Lieferungen@v.versorgt
started	v.begann@v.startete@a.gestartet
administration	n+f.Verwaltung@n+f.Administration
bar	n+f.Bar@n+m.Riegel@n+m.Balken
institute	n+n.Institut@v.einführen
views	n+f.Ansichten@n+m.Ausblicke@v.betrachtet
plans	n+m.Pläne@v.plant
double	a+m.doppelter@a+f.doppelte@a+n.doppeltes@v.verdoppeln@n+n.Doppel
dog	n+m.Hund
build	v.bauen@n+m.Bau
screen	n+m.Bildschirm@n+f.Leinwand@v.überprüfen
exchange	n+m.Austausch@n+f.Börse@v.austauschen
types	n+m.Typen@n+f.Arten
soon	ad.bald
sponsored	a.gesponsert@v.sponserte
lines	n+f.Linien@n+f.Zeilen
electronic	a.elektronisch
continue	v.fortsetzen@v.weitermachen
across	prep.über@ad.hinüber@ad.quer
benefits	n+m.Vorteile@n+f.Leistungen@v.profitiert
needed	a.benötigt@v.brauchte
season	n+f.Saison@n+f.Jahreszeit
apply	v.anwenden@v.bewerben
someone	pron.jemand
held	v.hielt@a.gehalten
anything	pron.irgendetwas@pron.alles
printer	n+m.Drucker
condition	n+m.Zustand@n+f.Bedingung
effective	a.wirksam@a.effektiv
believe	v.glauben
organization	n+f.Organisation
effect	n+m.Effekt@n+f.Wirkung
asked	v.fragte@v.bat
eur	n+m.Euro
mind	n+m.Geist@n+m.Verstand@v.stören
sunday	n+m.Sonntag
selection	n+f.Auswahl@n+f.Selektion
casino	n+n.Kasino@n+n.Casino
lost	a.verloren@v.verlor
tour	n+f.Tour@n+f.Reise@v.touren
menu	n+n.Menü@n+f.Speisekarte
volume	n+n.Volumen@n+f.Lautstärke@n+m.Band
cross	n+n.Kreuz@v.überqueren@v.kreuzen
anyone	pron.jeder@pron.irgendjemand
mortgage	n+f.Hypothek
hope	n+f.Hoffnung@v.hoffen
silver	n+n.Silber@a+m.silberner@a+f.silberne@a+n.silbernes
corporation	n+f.Körperschaft@n+n.Unternehmen@n+f.AG
wish	n+m.Wunsch@v.wünschen
inside	prep.innerhalb@ad.innen@n+n.Innere
solution	n+f.Lösung
mature	a+m.reifer@a+f.reife@a+n.reifes@a.erwachsen@v.reifen
role	n+f.Rolle
rather	ad.eher@ad.ziemlich
weeks	n+f.Wochen
addition	n+f.Hinzufügung@n+m.Zusatz
came	v.kam
supply	n+f.Versorgung@n+m.Vorrat@v.versorgen@v.liefern
nothing	pron.nichts
certain	a+m.sicherer@a+f.sichere@a+n.sicheres@a+m.bestimmter@a+f.bestimmte@a+n.bestimmtes
executive	n+m.Manager@n+f.Führungskraft@a.ausführend@a.leitend
running	n+n.Laufen@a.laufend@v.laufend
lower	a+m.niedrigerer@a+f.niedrigere@a+n.niedrigeres@v.senken
necessary	a.notwendig@a.nötig
union	n+f.Union@n+f.Vereinigung@n+f.Gewerkschaft
according	prep.gemäß@ad.entsprechend
clothing	n+f.Kleidung@n+f.Bekleidung
mon	n+m.Mo@n+m.Montag
com	n+f.Com
particular	a+m.besonderer@a+f.besondere@a+n.besonderes@a.bestimmt
fine	a+m.feiner@a+f.feine@a+n.feines@a.gut@n+f.Geldstrafe@v.mit Geldstrafe belegen
names	n+m.Namen
robert	n+m.Robert
homepage	n+f.Homepage@n+f.Startseite
hour	n+f.Stunde
gas	n+n.Gas@n+n.Benzin
skills	n+f.Fähigkeiten@n+f.Fertigkeiten
six	n+f.Sechs@a.sechs
bush	n+m.Busch@n+m.Strauch
islands	n+f.Inseln
advice	n+m.Rat@n+m.Ratschlag
career	n+f.Karriere@n+m.Beruf
military	a.militärisch@n+n.Militär
rental	n+f.Miete@n+f.Vermietung@a.Miet
decision	n+f.Entscheidung
leave	v.verlassen@v.gehen@n+m.Urlaub
british	a.britisch
teens	n+m.Teenager@n+m.Jugendliche
huge	a+m.riesiger@a+f.riesige@a+n.riesiges
sat	v.saß@n+m.Samstag
woman	n+f.Frau
facilities	n+f.Einrichtungen@n+f.Anlagen
zip	n+f.Postleitzahl@v.zippen
bid	n+n.Gebot@n+m.Versuch@v.bieten
kind	n+f.Art@n+f.Sorte@a+m.freundlicher@a+f.freundliche@a+n.freundliches
sellers	n+m.Verkäufer
middle	n+f.Mitte@a+m.mittlerer@a+f.mittlere@a+n.mittleres
move	n+m.Zug@n+f.Bewegung@v.bewegen@v.umziehen
cable	n+n.Kabel@n+n.Kabelfernsehen
opportunities	n+f.Möglichkeiten@n+f.Gelegenheiten
taking	v.nehmend@n+f.Einnahme
values	n+m.Werte
division	n+f.Abteilung@n+f.Division@n+f.Teilung
coming	a.kommend@v.kommend
tuesday	n+m.Dienstag
object	n+n.Objekt@n+m.Gegenstand@v.einwenden
lesbian	n+f.Lesbe@a.lesbisch
appropriate	a.angemessen@a.passend@v.aneignen
machine	n+f.Maschine
logo	n+n.Logo
length	n+f.Länge
actually	ad.tatsächlich@ad.eigentlich
nice	a+m.netter@a+f.nette@a+n.nettes@a+m.schöner@a+f.schöne@a+n.schönes
score	n+m.Punktestand@n+n.Ergebnis@v.punkten
statistics	n+f.Statistik@n+f.Statistiken
client	n+m.Kunde@n+m.Klient@n+m.Client
returns	n+f.Rückgaben@n+f.Erträge@v.kehrt zurück
capital	n+f.Hauptstadt@n+n.Kapital@a.Groß
follow	v.folgen
sample	n+f.Probe@n+n.Muster@v.probieren
investment	n+f.Investition@n+f.Anlage
sent	v.sandte@v.schickte
shown	v.gezeigt
saturday	n+m.Samstag
christmas	n+n.Weihnachten
england	n+n.England
culture	n+f.Kultur
band	n+f.Band@n+n.Band@n+m.Streifen
flash	n+m.Blitz@n+n.Flash@v.blitzen
lead	n+f.Führung@n+n.Blei@v.führen@v.leiten
george	n+m.Georg
choice	n+f.Wahl@n+f.Auswahl
went	v.ging
starting	a.beginnend@v.startend
registration	n+f.Registrierung@n+f.Anmeldung
fri	n+m.Fr@n+m.Freitag
thursday	n+m.Donnerstag
courses	n+m.Kurse
consumer	n+m.Verbraucher@n+m.Konsument
airport	n+m.Flughafen
foreign	a.fremd@a.ausländisch
artist	n+m.Künstler@n+f.Künstlerin
outside	prep.außerhalb@ad.draußen@n+n.Außenseite
furniture	n+f.Möbel@n+n.Mobiliar
levels	n+n.Niveaus@n+f.Ebenen
channel	n+m.Kanal@n+m.Sender
letter	n+m.Brief@n+m.Buchstabe
mode	n+m.Modus@n+f.Art
phones	n+n.Telefone@n+n.Handys
ideas	n+f.Ideen
wednesday	n+m.Mittwoch
structure	n+f.Struktur@n+m.Aufbau@v.strukturieren
fund	n+m.Fonds@n+n.Kapital@v.finanzieren
summer	n+m.Sommer
allow	v.erlauben@v.zulassen
degree	n+m.Grad@n+m.Abschluss
contract	n+m.Vertrag@v.zusammenziehen
button	n+m.Knopf@n+f.Taste@n+m.Button
releases	n+f.Veröffentlichungen@v.veröffentlicht
wed	n+m.Mi@n+m.Mittwoch@v.heiraten
homes	n+n.Häuser@n+n.Heime
super	a.super@ad.super
male	n+n.Männchen@a.männlich
matter	n+f.Angelegenheit@n+f.Materie@n+f.Sache@v.wichtig sein
custom	n+m.Brauch@n+f.Gewohnheit@a.kundenspezifisch
virginia	n+n.Virginia
almost	ad.fast@ad.beinahe
took	v.nahm
located	a.gelegen@v.befand
multiple	a+m.mehrfacher@a+f.mehrfache@a+n.mehrfaches@a.vielfach
asian	a.asiatisch@n+m.Asiat
distribution	n+f.Verteilung@n+m.Vertrieb
editor	n+m.Redakteur@n+m.Editor@n+f.Redakteurin
inn	n+n.Gasthaus@n+m.Gasthof
industrial	a.industriell
cause	n+f.Ursache@n+m.Grund@v.verursachen
potential	n+n.Potenzial@a.potenziell
song	n+n.Lied@n+m.Song
ltd	n+f.GmbH
los	n+n.Los
focus	n+m.Fokus@n+m.Schwerpunkt@v.fokussieren
late	a+m.später@a+f.späte@a+n.spätes@ad.spät
fall	n+m.Fall@n+m.Herbst@v.fallen
featured	a.vorgestellt@v.präsentierte
idea	n+f.Idee@n+m.Einfall
rooms	n+n.Zimmer@n+m.Räume
female	n+n.Weibchen@a.weiblich
responsible	a.verantwortlich
inc	n+f.AG@n+f.Inc
communications	n+f.Kommunikation@n+f.Mitteilungen
win	n+m.Sieg@n+m.Gewinn@v.gewinnen
associated	a.verbunden@a.assoziiert
thomas	n+m.Thomas
primary	a.primär@a+m.erster@a+f.erste@a+n.erstes@a.Grund
cancer	n+m.Krebs
numbers	n+f.Zahlen@n+f.Nummern
reason	n+m.Grund@n+f.Vernunft
tool	n+n.Werkzeug@n+n.Tool
browser	n+m.Browser
spring	n+m.Frühling@n+f.Feder@n+f.Quelle@v.springen
foundation	n+f.Stiftung@n+f.Grundlage@n+n.Fundament
answer	n+f.Antwort@v.antworten
voice	n+f.Stimme@v.äußern
friendly	a+m.freundlicher@a+f.freundliche@a+n.freundliches
schedule	n+m.Zeitplan@n+m.Plan@v.planen
documents	n+n.Dokumente@n+f.Unterlagen
communication	n+f.Kommunikation
purpose	n+m.Zweck@n+f.Absicht
feature	n+f.Funktion@n+n.Merkmal@n+f.Eigenschaft@v.präsentieren
bed	n+n.Bett
comes	v.kommt
police	n+f.Polizei
everyone	pron.jeder@pron.alle
independent	a.unabhängig@a.selbständig
approach	n+f.Herangehensweise@n+m.Ansatz@v.sich nähern
cameras	n+f.Kameras
brown	a+m.brauner@a+f.braune@a+n.braunes@n+n.Braun
physical	a.physisch@a.körperlich
operating	a.betrieblich@v.bedienend@a.operierend
hill	n+m.Hügel@n+m.Berg
maps	n+f.Karten@n+m.Pläne
medicine	n+f.Medizin@n+n.Medikament
deal	n+n.Geschäft@n+m.Deal@v.handeln@v.sich befassen
hold	v.halten@n+m.Griff@n+m.Halt
ratings	n+f.Bewertungen@n+f.Einschaltquoten
chicago	n+n.Chicago
forms	n+n.Formulare@n+f.Formen
glass	n+n.Glas
happy	a+m.glücklicher@a+f.glückliche@a+n.glückliches@a+m.fröhlicher@a+f.fröhliche@a+n.fröhliches
tue	n+m.Di@n+m.Dienstag
smith	n+m.Schmied
wanted	a.gesucht@v.wollte
developed	a.entwickelt@v.entwickelte
thank	v.danken
safe	a+m.sicherer@a+f.sichere@a+n.sicheres@n+m.Tresor@n+m.Safe
unique	a.einzigartig@a+m.einmaliger@a+f.einmalige@a+n.einmaliges
survey	n+f.Umfrage@n+f.Übersicht@v.befragen
prior	a+m.vorheriger@a+f.vorherige@a+n.vorheriges@prep.vor
telephone	n+n.Telefon@v.telefonieren
sport	n+m.Sport
ready	a.bereit@a+m.fertiger@a+f.fertige@a+n.fertiges
feed	n+n.Futter@n+m.Feed@v.füttern
animal	n+n.Tier
sources	n+f.Quellen
mexico	n+n.Mexiko
population	n+f.Bevölkerung
regular	a.regelmäßig@a+m.normaler@a+f.normale@a+n.normales
secure	a+m.sicherer@a+f.sichere@a+n.sicheres@v.sichern
navigation	n+f.Navigation
operations	n+f.Operationen@n+m.Betrieb
therefore	ad.daher@ad.deshalb
ass	n+m.Arsch@n+m.Esel
simply	ad.einfach@ad.schlicht
evidence	n+m.Beweis@n+f.Beweislage
station	n+m.Bahnhof@n+f.Station@n+m.Sender
christian	a.christlich@n+m.Christ
round	a+m.runder@a+f.runde@a+n.rundes@n+f.Runde@v.runden
paypal	n+n.PayPal
understand	v.verstehen
option	n+f.Option@n+f.Möglichkeit
master	n+m.Meister@n+m.Master@v.meistern
valley	n+n.Tal
recently	ad.kürzlich@ad.neulich
probably	ad.wahrscheinlich@ad.vermutlich
thu	n+m.Do@n+m.Donnerstag
rentals	n+f.Mietobjekte@n+f.Vermietungen
sea	n+f.See@n+n.Meer
built	a.gebaut@v.baute
publications	n+f.Veröffentlichungen@n+f.Publikationen
blood	n+n.Blut
cut	n+m.Schnitt@v.schneiden
worldwide	ad.weltweit@a.weltweit
improve	v.verbessern
connection	n+f.Verbindung@n+m.Anschluss
publisher	n+m.Verleger@n+m.Verlag@n+f.Verlegerin
hall	n+f.Halle@n+m.Saal
larger	a+m.größerer@a+f.größere@a+n.größeres
anti	pref.anti@pref.gegen
networks	n+n.Netzwerke
earth	n+f.Erde
parents	n+m.Eltern
nokia	n+n.Nokia
impact	n+m.Einfluss@n+m.Aufprall@n+f.Auswirkung@v.beeinflussen
transfer	n+m.Transfer@n+f.Übertragung@v.übertragen
introduction	n+f.Einführung@n+f.Einleitung
kitchen	n+f.Küche
strong	a+m.starker@a+f.starke@a+n.starkes
tel	n+n.Tel@n+n.Telefon
carolina	n+n.Carolina
wedding	n+f.Hochzeit@n+f.Trauung
properties	n+f.Eigenschaften@n+f.Immobilien
hospital	n+n.Krankenhaus@n+f.Klinik
ground	n+m.Boden@n+m.Grund@n+n.Gelände
overview	n+f.Übersicht
ship	n+n.Schiff@v.versenden
accommodation	n+f.Unterkunft@n+f.Unterbringung
owners	n+m.Besitzer@n+m.Eigentümer
disease	n+f.Krankheit
excellent	a.ausgezeichnet@a+m.hervorragender@a+f.hervorragende@a+n.hervorragendes
paid	a.bezahlt@v.zahlte
italy	n+n.Italien
perfect	a+m.perfekter@a+f.perfekte@a+n.perfektes@a.vollkommen
hair	n+n.Haar@n+f.Haare
opportunity	n+f.Gelegenheit@n+f.Möglichkeit
kit	n+n.Kit@n+m.Bausatz@n+f.Ausrüstung
classic	a+m.klassischer@a+f.klassische@a+n.klassisches@n+m.Klassiker
basis	n+f.Basis@n+f.Grundlage
command	n+m.Befehl@n+n.Kommando@v.befehlen
cities	n+f.Städte
william	n+m.Wilhelm
express	v.ausdrücken@a.Express@n+m.Express
anal	a.anal
