29	n.xxix
ابدیت	n+f.eternity
ابر آلود	a.cloudy@a.overcast@a.clouded
ابرام	n+m.abram
ابرامز	n+m.abrams
ابراہیم	n+m.abraham
ابرق	n+f.mica
ابرن	n+m.auburn
ابرو	n+f.brow
ابرڈین	n+m.aberdeen
ابسن	n+m.ibsen
ابلا ہوا	a.boiled
ابلتا ہوا	a.boiling
ابلنا	v.boils@v.welling@v.seething
ابلیس	n+m.devil@n+m.lucifer
ابنر	n+m.abner
ابو	n+m.daddies
ابواب	n+m.chapters
ابوالہول	n+m.sphinx
ابوجا	n+f.abuja
ابھار	n+m.emergence@n+m.ridges@n+m.bulge@n+f.bulges
ابھار نقش	n+f.embossing
ابھارا	v.prompted@v.embossed
ابھارنا	v.stimulate@v.induce@v.spurred@vt.arouse@v.emboss
ابھرا	v.emerged
ابھرا ہوا	a.embossed@a.bulging@a.protruding
ابھرتا	a.rising
ابھرتا ہوا	a.emerging@a.emergent@a.nascent
ابھرنا	v.emerging@v.emerge@v.emerges@v.loom@v.bulging@v.protruding@v.surged@v.bulges
ابھرنے والا	a.popup
ابھی	ad.just@ad.presently
ابھی بھی	ad.still
ابھی تک	ad.yet
ابہام	n+f.ambiguity@n+f.ambiguities@n+f.obfuscation
ابہام دور کرنا	n+f.disambiguation
ابی	n+m.aby
ابی شالوم	n+m.absalom
ابی گیل	n+f.abigail
ابیدجان	n+m.abidjan
اتار چڑھاؤ	n+f.fluctuations@n+f.fluctuation
اتار چڑھاؤ آنا	vi.fluctuate
اتار چڑھاؤ والا	a.fluctuating
اتارا	v.stripped@v.unloaded
اتارتا ہے	v.strips
اتارنا	v.strip@v.stripping@v.unloading@v.unload
اتحاد	n+m.union@n+m.alliance@n+f.coalition@n+m.unions@n+f.unity@n+m.consortium@n+m.communion@n+f.coalitions
اتحاد پذیری	n+f.valence
اتحاد کرنا	v.ally
اتحادی	a.allied@n+m.allies@n+m.ally@n+m.confederate
اتحادیت	n+m.unionism
اتحادیں	n+f.alliances
اترا	v.landed@v.descended
اترا ہوا	v.skimmed
اترائی	n+m.descent
اترتا ہے	v.lands
اترنا	v.land@v.landing@v.slough@v.descend@v.ebb@v.descends@n+m.prolapse@v.alight
اترنے والا	n+m.lander
اترنے کی جگہ	n+f.landings
اتفاق	n+f.coincidence@n+m.hap
اتفاق رائے	n+m.consensus@n+f.concurrence@n+m.unanimity
اتفاق کرنا	v.subscribes
اتفاقات	n+m.coincidences
اتفاقاً	ad.incidentally@ad.coincidentally
اتفاقی	a.accidental@a.incidental@a.coincidental
اتفاقی خوشی	n+f.serendipity
اتفاقی طور پر	ad.accidentally
اتفاقی کامیابی	n+f.fluke
اتنا	ad.so
اتوار	n+m.sunday@n+m.sundays
اتھاباسکا	n+m.athabasca
اتھارٹی	n+f.authority
اتھاکا	n+f.ithaca
اتھاہ گڑھا	n+m.abyss
اتھل پتھل	n+f.upheaval
اتھلا	a.shallow
اثاثہ	n+m.asset
اثاثے	n+m.assets
اثبات	n+m.confirmation
اثر	n+m.effect@n+m.impact@n+m.influence@n+m.leverages
اثر انداز	a.affecting@a.impacting
اثر انگیز	a.telling@a.dramatic
اثر ڈالتا ہے	v.impacts@v.affects@v.influences
اثر ڈالنا	v.influence@v.impacted@v.influencing@v.impacting@v.effecting
اثر کرنا	v.effect
اثر کنندہ	n+m.effector
اثرات	n+m.effects@n+f.implications@n+m.impacts@n+f.influences@n+m.spillovers
اثنا عشری	a.duodenal
اجارہ دارانہ	a.monopolistic
اجارہ داری	n+f.monopoly
اجارہ داری مخالف	a.antitrust
اجارہ داریاں	n+f.monopolies
اجازت	n+f.permission@n+f.authorization@n+f.authorisation
اجازت دی	v.allowed@v.authorized
اجازت دی گئی	v.permitted
اجازت دیتا ہے	v.allows@v.lets@v.enables@v.permits
اجازت دیتے ہوئے	v.allowing
اجازت دینا	v.let@v.allow@v.permit@v.letting@v.permitting@v.authorizing@vt.authorise
اجازت دینے والا	a.permissive
اجازت نامہ	n+f.licence
اجازت نامے	n+m.permits@n+f.authorizations
اجازت یافتہ	a.allowed@a.permitted
اجازتیں	n+f.permissions
اجتماع	n+m.collective@n+m.gathering@n+m.convergence
اجتماعی	a.mass@a.collective@a.communal@n+m.collectives
اجتماعی طور پر	ad.collectively
اجتناب	n+m.avoidance@n+f.abstinence
اجتناب شدہ	a.avoided
اجتناب کرنا	v.avoid@v.avoids@v.shun
اجتناب کیا	v.shunned
اجراء	n+f.issuing
اجرت	n+f.wage@n+f.wages
اجزاء	n+m.components@n+m.ingredients@n+m.constituents
اجلاس	n+m.summit
اجلاس بلانا	v.convene@v.convening
اجمیر	n+m.ajmer
اجنبی	n+m.alien@n+m.stranger@n+m.aliens@n+m.strangers@a.unfamiliar@n+m.outsider
اجوائن	n+f.parsley@n+f.celery
اجوائن خراسانی	n+m.thyme
احاب	n.ahab
احاطہ	n+m.premises@n+m.enclosure
احاطہ کرنے والا	a.ambient
احاطے	n+f.enclosures
احبار	n+m.leviticus
احتجاج	n+m.protest@n+f.protests@n+m.protesting
احتجاج کرتا ہے	v.protests
احتجاج کرنا	v.protest@v.protesting@v.protested
احتجاج کرنے والا	n+m.protester
احتراز	n+m.abstentions
احتراق	n+f.combustion
احترام	n+m.respect@n+m.regard@n+f.deference
احترام کرنا	v.respect@v.respecting@v.revere
احتقانی	a.congestive
احتمال	n+m.probability@n+m.likelihood
احتیاط	n+f.caution@n+f.precaution
احتیاط سے	ad.carefully@ad.cautiously
احتیاطی	a.preventive@a.preventative@a.precautionary
احتیاطی تدابیر	n+f.precautions
احساس	n+m.feel@n+m.sense@n+m.feeling@n+f.sensing@n+f.sensation@n+f.realization@n+f.vibes@n+f.realisation@n+f.realizations
احساس جرم	n+m.guilt
احساس کرنا	v.realize@v.realise@v.realizing@v.realizes@v.realising
احساس ہوا	v.realized@v.realised
احساسات	n+f.feelings@n+f.sensations
احساساتی	a.emotional
احسان	n+m.courtesy
احسان کرنا	vt.oblige
احسانات	n+m.favours
احشائی	a.visceral
احمد	n+m.ahmed@n+m.ahmad
احمدی نژاد	n+m.ahmadinejad
احمق	a.stupid@n+m.idiot@n+m.idiots@a.goofy@n+m.moron@n+m.retard
احمقانہ	a.silly@a.foolish
احمقانہ طور پر	ad.foolishly@ad.stupidly
احکام	n+m.commandments@n+m.precepts
احکامات	n+m.ordinances
احیا	n+m.renewal
احیاء	n+m.revival
اخبار	n+m.newspaper
اخبار فروش	n+m.newsagents
اخبار کی دکان	n+m.newsstand@n+m.newsstands
اخبارات	n+m.newspapers
اخباری کاغذ	n+m.newsprint
اختتام	n+m.end@n+m.ending@n+f.expiration@n+f.closes@n+f.endings
اختتام پذیر ہونا	v.culminate
اختتام پر پہنچتا ہے	v.culminates
اختتام کرتا ہے	v.concludes
اختتام کرنا	v.conclude@v.concluding
اختتامات	n+f.terminations
اختتامی	a.closing@n+f.closings
اختتامی نقطہ	n+m.endpoint
اختتامی نقطے	n+m.endpoints
اختتامیہ	n+f.coda
اختراع	n+f.innovation
اختراعی	a.innovative
اختصار	n+f.brevity
اختصارات	n+f.abbreviations
اختلاف	n+m.dissent@n+m.disagreement@n+f.divergence@n+f.discord
اختلاف رائے رکھنے والا	n+m.dissident
اختلاف رائے رکھنے والے	n+m.dissidents@n+m.dissenters
اختلاف منظر	n+m.parallax
اختلاف کرنا	v.disagree@v.dissent@v.dissenting@v.disagreed@v.disagrees@v.disagreeing
اختلاف کیا	v.differed
اختلافات	n+f.disagreements
اختلافی	a.dissenting
اختیار	n+m.option@n+m.authority@n+m.discretion
اختیار دیا	v.authorised@v.empowered
اختیار دینا	v.authorize@v.empowering@v.empower@v.authorizes@v.empowers@v.authorising
اختیار کیا	a.undertaken@v.espoused
اختیارات	n+m.options
اختیارات کی منتقلی	n+f.devolution
اختیاری	a.optional@a.voluntary@a.elective
اختیاری طور پر	ad.optionally
اختیاری مضامین	n+m.electives
اخذ	n+f.derivation
اخذ کرنا	v.derive@v.derives@v.extrapolate
اخذ کیا	v.inferred
اخراج	n+f.emissions@n+m.discharge@n+m.emission@n+m.extraction@n+m.exclusion@n+m.elimination@n+f.exclusions@n+f.expulsion@n+f.emitting@n+m.outflow@n+f.excretion@n+m.outfall@n+f.outflows@n+m.outpouring@n+m.efflux@n+m.effluents
اخراج منی	n+f.ejaculations
اخراجات	n+m.expenses@n+f.expenditure@n+m.expenditures@n+m.outlays
اخروٹ	n+m.walnut@n+m.walnuts
اخروٹ توڑ	n+m.nutcracker
اخلاق	n+m.ethos
اخلاقی	a.moral@a.ethical
اخلاقی سبق دینے والا	a.didactic
اخلاقی طور پر	ad.morally@ad.ethically
اخلاقیات	n+f.ethics@n+f.morality@n+f.morals@n+f.ethic
ادا کر رہا ہے	v.performing@v.paying
ادا کرتا ہے	v.pays@v.performs
ادا کرنا	v.pay@v.perform
ادا کرنے والے	n+m.payers
ادا کیا	v.paid@v.performed@v.disbursed@v.payed
ادائیگی	n+f.payment@n+m.repayment@n+m.payout@n+f.repayments@n+f.payoff@n+f.disbursement
ادائیگی کرنا	vt.defray
ادائیگی کرنے والا	n+m.payer
ادائیگی کی صلاحیت	n+f.solvency
ادائیگیاں	n+f.payments@n+m.payouts@n+f.disbursements
ادارتی	a.editorial@a.institutional
ادارہ	n+m.institute@n+m.institution@n+f.establishment@n+m.inst
ادارہ جاتی	a.institutional@a.institutionalized@n+f.institutionalization
اداریہ	n+m.editorial
اداریے	n+m.editorials
ادارے	n+f.institutions@n+m.foundations@n+m.institutes@n+f.establishments
اداس	a.sad@a.dismal@a.gloomy@a.dreary@a.forlorn@a.sullen@a.sombre
اداس کرنا	v.saddened@vt.depress
اداس کن	a.bleak
اداس ہونا	v.moped
اداسی	n+f.blues@n+f.sorrow@n+f.sadness@n+f.melancholy@n+f.gloom
اداکار	n+m.actor@n+m.actors@n+m.performer
اداکارائیں	n+f.actresses
اداکارہ	n+f.actress
اداکاری	n+f.acting
اداکاری کر رہا ہے	v.acting
اداکاری کرنا	v.starring@vi.hams
اداکاری کی	v.acted@v.starred
ادب	n+m.literature
ادبی	a.literary
ادراک	n+f.perception@n+m.realization@n+f.cognition
ادراکی	a.cognitive@a.perceptual
ادرک	n+f.ginger
ادرک کا کیک	n+m.gingerbread
ادریہ پسند	n+m.agnostic
ادغام	n+f.merger
ادل بدل کرنا	vt.transpose
ادوار	n+m.periods@n+f.eras
ادوم	n+m.edom
ادویات	n+m.pharmaceutical@n+f.medications@n+f.pharmaceuticals
ادھار	a.borrowed
ادھار دینا	v.lending@v.lend@v.lent@v.lends
ادھار لیا	v.borrowed
ادھار لیتا ہے	vt.borrows
ادھار لینا	v.borrow@v.borrowing
ادھر	ad.hither@ad.thither
ادھر کا	a.hither
ادھورا	a.undone
ادھڑنا	v.fray
ادھیڑ عمر	n+f.midlife
اذیت	n+f.torture@n+f.agony@n+f.anguish
اذیت دیتا ہے	v.tortures
اذیت ناک	a.racking
اذیتیں	n+f.tortures
ارابیلا	n+f.arabella
ارادتاً	ad.purposefully
ارادہ	n+m.intent@n+m.intention@n+f.volition
ارادہ رکھتا ہے	v.intends
ارادہ کرنا	v.intend@v.intending
ارادہ کیا	v.intended
ارادی	a.willed
ارادے	n+f.intentions
اراکنے	n+f.arachne
ارب	n+m.billion@n+m.billions
ارب پتی	n+m.billionaire@n+m.billionaires
ارتباطات	n+f.correlations
ارتداد	n+f.apostasy
ارتعاش	n+f.vibrations@n+f.oscillation
ارتعاشی	a.vibrational
ارتقا پانا	v.evolves
ارتقاء	n+f.evolution@n+m.elevation@n+m.evolutions
ارتقاء پانا	v.evolve
ارتقاء پایا	v.evolved
ارتقاء پذیر	v.evolving
ارتقائی	a.evolutionary
ارتکاب کرنا	v.commit@v.committing
ارتکاب کیا	v.committed@v.perpetrated
ارتکاز	n+f.concentration@n+f.concentrations@n+m.erection@n+m.concentrates@n+m.conc
ارتکاز کنندہ	n+m.concentrator@n+m.concentrators
ارجن	n.arjuna
ارجنٹائنی	a.argentine@n+m.argentine
ارجنٹینا	n+m.argentina
ارجنٹینی	n+m.argentinian@a.argentinian@a.argentinean
ارد گرد	ad.around
ارد گرد کا	a.surrounding
اردن	n+m.jordan
اردنی	a.jordanian@n+m.jordanian
اردو	n+f.urdu
ارسطو	n+m.aristotle
ارسلا	n+f.ursula
ارسکین	n+m.erskine
ارضی جیومیٹری	a.geodetic
ارضی حرکیات	n+f.tectonics
ارضی طبیعی	a.geophysical
ارضی طبیعیات	n+f.geophysics
ارضی مقناطیسی	a.geomagnetic
ارضی کیمیا	n+f.geochemistry
ارضی کیمیائی	a.geochemical
ارضیات	n+f.geology@n+f.geol
ارضیاتی	a.geological@a.geologic@a.tectonic
ارضیاتی شکلیات	n+f.geomorphology
ارل	n+m.earl@n+m.earle@n+m.earls
ارما	n+f.irma@n+f.erma
ارمانی	n+m.armani
ارن ہارٹ	n+m.earnhardt
ارنسٹ	n+m.ernest@n+m.ernst
ارنڈ	n+m.castor
ارنڈل	n+m.arundel
ارنی	n+m.ernie
ارنیسٹو	n+m.ernesto
ارنیکا	n+f.arnica
اروبا	n+f.aruba
ارون	n+m.irwin@n+m.erwin@n+m.irvin@n+m.ervin
ارونگ	n+m.irving
اروکوائی	n+m.iroquois
اروی	n+m.taro
ارپ	n+m.earp
ارڈ	n+m.ard
ارک	n.erk
ارکان	n+m.members
ارکہارٹ	n.urquhart
ارگ	n+m.erg
ارگائل	n+m.argyll
ارگونومک	a.ergonomic
ارگونومک طریقے سے	ad.ergonomically
ارگونومکس	n+f.ergonomics
اریتھرومائسن	n+f.erythromycin
اریزو	n+m.arezzo
اریل	n+m.ariel
اریٹرین	a.eritrean@n+m.eritrean
اریٹیریا	n+f.eritrea
اریڈیم	n+m.iridium
ارے	int.hey@int.heck@int.gee@int.hoy@int.jeez
از سر نو	ad.anew
ازابیل	n+f.isabelle
ازابیلا	n+f.isabella
ازالہ کرنا	v.redress
ازبک	n+m.uzbek@a.uzbek
ازبکستان	n+m.uzbekistan
ازدواجی	a.marital@a.spousal
ازلنگٹن	n+m.islington
ازمیر	n+m.izmir
ازورس	n+m.azores
ازیلیا	n+f.azalea
اس تک	ad.hereto
اس جگہ سے	ad.thence
اس دوران	ad.meanwhile@ad.meantime
اس سے	ad.thereby@ad.therefrom
اس سے متعلق	prep.hereof
اس سے پہلے کہ	conj.before
اس طرح	ad.thus@ad.thereby
اس لیے	conj.so@ad.therefore@ad.hence@ad.consequently@ad.thence@ad.ergo@ad.therefor@ad.wherefore
اس میں	ad.herein@ad.therein
اس پر	ad.thereon@ad.thereupon
اس کا	pron+m.his@pron.its@ad.thereof@pron.hers@ad.hereof
اس کو	pron+m.him
اس کی	pron.its@pron+f.her
اس کے بجائے	ad.instead
اس کے برعکس	ad.conversely
اس کے بعد	ad.thereafter@ad.hereinafter@ad.hereafter
اس کے تحت	ad.thereunder
اس کے ذریعے	ad.hereby
اس کے ساتھ	ad.hereto@ad.therewith@ad.herewith@ad.withal
اس کے علاوہ	ad.besides@ad.thereto
اس کے مطابق	ad.accordingly
اسائکلووائر	n+m.acyclovir
اساتذہ	n+m.teachers@n+m.masters@n+m.instructors@n+m.tutors
اساطیر	n+m.mythos
استاد	n+m.master@n+m.teacher@n+m.guru@n+m.mentor@n+m.tutor@n+m.maestro@n+m.preceptor
استانی	n+f.teacher
استبداد	n+m.despotism
استثنا	n+m.deuteronomy@n+f.dispensation
استثناء	n+m.exception@n+f.exceptions@n+m.exemption@n+f.immunity@n+m.exc@n+f.exemptions
استثنائی	a.exceptional
استحالہ	n+f.metabolism
استحالی	a.metabolic
استحصال	n+f.exploitation
استحصال شدہ	a.exploited
استحصال کرنا	v.exploits@v.exploiting
استحصال کیا	v.exploited
استحقاق	n+m.merit@n+f.privilege@n+f.prerogative
استحکام	n+f.consolidation@n+f.stability@n+m.integrity@n+f.stabilization@n+f.stabilisation@n+f.constancy@n+m.consolidations
استحکام دینے والا	n+m.stabilizer
استحکام کرنے والے	n+m.stabilizers
استدعائیں	n+f.pleadings
استدلال	n+m.reasoning
استدلال کرنا	v.reason
استر	n+f.lining@n+f.liner
استرا	n+m.razor@n+m.shaver
استرگالس	n+m.astragalus
استری	n+f.iron@n+m.irons@n+f.ironing@n+f.flatiron
استری کرتا ہے	v.irons
استری کرنا	v.iron@v.ironing
استریں	n+f.linings
استرے	n+f.razors
استصواب رائے	n+m.referendum
استطاعت	n+f.affordability
استعاراتی	a.metaphorical
استعارہ	n+f.metaphor
استعارے	n+m.metaphors
استعفیٰ	n+f.resignation
استعفیٰ دینا	v.resigned@v.resign@v.resigns@v.resigning
استعفے	n+m.resignations
استعماریت	n+m.colonialism
استعمال	n+m.use@n+m.uses@n+m.usage@n+m.consumption@n+m.deployment@n+f.utilization@n+f.utilisation
استعمال شدہ	a.used@a.utilized@a.exercised@a.secondhand
استعمال میں آسان	a.handy
استعمال کر کے پھینکنے والا	a.disposable
استعمال کرتا ہے	v.uses@vt.exerts
استعمال کرتے ہوئے	v.using
استعمال کرنا	v.use@v.utilize@v.consuming@v.utilizing@v.consume@v.utilizes@v.harnesses@v.exert@v.utilise@v.utilised@v.consumes@v.utilising@v.harnessing@vt.wield@v.exerting@v.utilises
استعمال کی اشیاء	n+m.consumables
استعمال کی صلاحیت	n+f.usability
استعمال کیا	v.used@v.utilized@v.consumed@v.wielded
استعمال ہونے والا	a.consumable
استعمالات	n+f.usages
استغاثہ	n+f.prosecution@n+m.prosecutors
استفادہ	n+m.utilization
استفسار	n+f.enquiry
استفسار کیا	v.inquired
استفسارات	n+f.queries@n+f.inquiries@n+f.enquiries
استفساریہ	n+m.interrogatories
استقامت	n+f.perseverance@n+f.tenacity
استقبال	n+m.welcome@n+m.reception
استقبال کرنا	v.welcoming@v.greet
استقبالیہ	n+f.reception@n+m.receptionist@n+f.receptions
استقراء	n+m.induction
استقرائی	a.inductive
استقرائی طور پر	ad.inductively
استقلال	n+m.independence
استنباط	n+f.inference
استنباط کرنا	v.infer
استنبول	n+m.istanbul
استنتاج	n+m.deduction
استنتاجی	a.deductive
استوائی	a.equatorial
استوائی علاقے	n+m.tropics
استہلاک	n+f.amortisation
استیئر	n.astaire
اسحاق	n+m.isaac@n+m.issac
اسد	n+m.assad
اسرائیل	n+m.israel
اسرائیلی	a.israeli@n+m.israelis@a.israelite
اسرائیلی شخص	n+m.israeli
اسفالٹ	n+m.asphalt
اسفنج	n+f.sponges
اسفنجی شکل	a.spongiform
اسقاط حمل	n+m.abortion@n+f.abortions@n+m.miscarriage
اسقاطی	a.projective
اسقفی	a.episcopal
اسقفی حلقہ	n+m.archdiocese
اسقفیہ	n+m.diocese
اسلام	n+m.islam
اسلام آباد	n+m.islamabad
اسلامی	a.islamic@a.muslim@n+m.islamist@a.islamist
اسلحہ	n+f.ammunition@n+m.munitions@n+m.weaponry@n+m.armament@n+m.armaments
اسلحہ خانہ	n+m.arsenal@n+f.armoury
اسلوبی	a.stylistic
اسم	n+m.noun@n+m.nouns
اسم فاعل	n+m.participle
اسمارٹ فون	n+m.smartphones
اسماعیل	n+m.ismail@n+m.ishmael@n+m.ismael
اسمبلر	n+m.assembler
اسمبلی	n+f.assembly
اسمبلیاں	n+f.assemblies
اسمگلر	n+m.smuggler
اسمگلنگ	n+f.trafficking@n+f.smuggling@n+m.bootleg
اسناد	n+m.qualifications@n+f.credentials
اسناد والا	a.credentialed
اسناد کی تصدیق	n+f.credentialing
اسوان	n+m.aswan
اسٹائلنگ	n+f.styling
اسٹاپ	n+m.stop
اسٹاپ واچ	n+f.stopwatch
اسٹاک	n+m.stock@n+m.stocks
اسٹاک ایکسچینج	n+f.bourse
اسٹاک پورٹ	n+m.stockport
اسٹاک ہوم	n+m.stockholm
اسٹرائیکر	n+m.striker
اسٹرائیکرز	n+m.strikers
اسٹرابیری	n+f.strawberry@n+f.strawberries
اسٹراسبرگ	n+m.strasbourg
اسٹرپر	n+m.stripper
اسٹریسینڈ	n+f.streisand
اسٹریپ	n+m.strep
اسٹریپٹوکوکس	n+m.streptococcus
اسٹریپٹوکوکل	a.streptococcal
اسٹریچر	n+m.gurney
اسٹلر	n+m.stiller
اسٹنگ رے	n+f.stingray
اسٹورز	n+m.stores
اسٹوریاس	n+f.asturias
اسٹوریج	n+f.storage
اسٹول	n+m.stool@n+m.stools
اسٹونین	a.estonian@n+m.estonian
اسٹوڈیو	n+m.studio
اسٹیبان	n+m.esteban
اسٹیج	n+m.stage
اسٹیج پر	ad.onstage
اسٹیج کے پیچھے	ad.backstage
اسٹیج کے پیچھے کا حصہ	n+m.backstage
اسٹیجنگ	n+f.staging
اسٹیشن	n+m.station@n+m.stations@n+f.sta
اسٹیشنری	n+f.stationery
اسٹیفن	n+m.stefan
اسٹینٹ	n+m.stent
اسٹینڈ	n+m.stand@n+m.easel
اسٹینڈش	n+m.standish
اسٹیوینج	n+m.stevenage
اسٹیٹ	n+m.estate
اسٹیپر	n+m.stepper
اسٹیڈیم	n+m.stadium@n+m.stadiums
اسٹیک ہولڈر	n+m.stakeholder
اسٹیک ہولڈرز	n+m.stakeholders
اسپائلرز	n+m.spoilers
اسپارٹیم	n+m.aspartame
اسپاک	n+m.spock
اسپرانزا	n+f.esperanza
اسپراگس	n+m.asparagus
اسپرنگ فیلڈ	n+m.springfield
اسپرنگر	n+m.springer
اسپرین	n+f.aspirin
اسپریڈ شیٹ	n+f.spreadsheet
اسپریڈ شیٹس	n+f.spreadsheets
اسپرے کرنے والا	n+m.sprayer
اسپوکین	n+m.spokane
اسپیر	n+m.speer
اسپیسر	n+m.spacer
اسپیل	n+m.aspell
اسپیمر	n+m.spammer
اسپینسر	n+m.spencer
اسپیکر	n+m.speaker
اسپیکر فون	n+m.speakerphone
